Time,Open,High,Low,Last,Change,%Chg,Volume
1999-01-04,603.0,603.0,603.0,603.0,,,
1999-01-05,382.0,382.0,382.0,382.0,,,
1999-01-06,578.0,578.0,578.0,578.0,,,
1999-01-07,351.0,351.0,351.0,351.0,,,
1999-01-08,450.0,450.0,450.0,450.0,,,
1999-01-11,328.0,328.0,328.0,328.0,,,
1999-01-12,183.0,183.0,183.0,183.0,,,
1999-01-13,99.0,99.0,99.0,99.0,,,
1999-01-14,99.0,99.0,99.0,99.0,,,
1999-01-15,145.0,145.0,145.0,145.0,,,
1999-01-18,145.0,145.0,145.0,145.0,,,
1999-01-19,232.0,232.0,232.0,232.0,,,
1999-01-20,262.0,262.0,262.0,262.0,,,
1999-01-21,152.0,152.0,152.0,152.0,,,
1999-01-22,129.0,129.0,129.0,129.0,,,
1999-01-25,145.0,145.0,145.0,145.0,,,
1999-01-26,162.0,162.0,162.0,162.0,,,
1999-01-27,152.0,152.0,152.0,152.0,,,
1999-01-28,151.0,151.0,151.0,151.0,,,
1999-01-29,198.0,198.0,198.0,198.0,,,
1999-02-01,177.0,177.0,177.0,177.0,,,
1999-02-02,107.0,107.0,107.0,107.0,,,
1999-02-03,146.0,146.0,146.0,146.0,,,
1999-02-04,134.0,134.0,134.0,134.0,,,
1999-02-05,92.0,92.0,92.0,92.0,,,
1999-02-08,96.0,96.0,96.0,96.0,,,
1999-02-09,67.0,67.0,67.0,67.0,,,
1999-02-10,59.0,59.0,59.0,59.0,,,
1999-02-11,96.0,96.0,96.0,96.0,,,
1999-02-12,72.0,72.0,72.0,72.0,,,
1999-02-15,72.0,72.0,72.0,72.0,,,
1999-02-16,93.0,93.0,93.0,93.0,,,
1999-02-17,81.0,81.0,81.0,81.0,,,
1999-02-18,88.0,88.0,88.0,88.0,,,
1999-02-19,129.0,129.0,129.0,129.0,,,
1999-02-22,193.0,193.0,193.0,193.0,,,
1999-02-23,155.0,155.0,155.0,155.0,,,
1999-02-24,147.0,147.0,147.0,147.0,,,
1999-02-25,68.0,68.0,68.0,68.0,,,
1999-02-26,89.0,89.0,89.0,89.0,,,
1999-03-01,101.0,101.0,101.0,101.0,,,
1999-03-02,151.0,151.0,151.0,151.0,,,
1999-03-03,115.0,115.0,115.0,115.0,,,
1999-03-04,180.0,180.0,180.0,180.0,,,
1999-03-05,342.0,342.0,342.0,342.0,,,
1999-03-08,283.0,283.0,283.0,283.0,,,
1999-03-09,237.0,237.0,237.0,237.0,,,
1999-03-10,295.0,295.0,295.0,295.0,,,
1999-03-11,420.0,420.0,420.0,420.0,,,
1999-03-12,330.0,330.0,330.0,330.0,,,
1999-03-15,308.0,308.0,308.0,308.0,,,
1999-03-16,273.0,273.0,273.0,273.0,,,
1999-03-17,229.0,229.0,229.0,229.0,,,
1999-03-18,292.0,292.0,292.0,292.0,,,
1999-03-19,297.0,297.0,297.0,297.0,,,
1999-03-22,198.0,198.0,198.0,198.0,,,
1999-03-23,116.0,116.0,116.0,116.0,,,
1999-03-24,154.0,154.0,154.0,154.0,,,
1999-03-25,225.0,225.0,225.0,225.0,,,
1999-03-26,238.0,238.0,238.0,238.0,,,
1999-03-29,347.0,347.0,347.0,347.0,,,
1999-03-30,260.0,260.0,260.0,260.0,,,
1999-03-31,322.0,322.0,322.0,322.0,,,
1999-04-01,213.0,213.0,213.0,213.0,,,
1999-04-02,216.0,216.0,216.0,216.0,,,
1999-04-05,254.0,254.0,254.0,254.0,,,
1999-04-06,226.0,226.0,226.0,226.0,,,
1999-04-07,216.0,216.0,216.0,216.0,,,
1999-04-08,276.0,276.0,276.0,276.0,,,
1999-04-09,309.0,309.0,309.0,309.0,,,
1999-04-12,367.0,367.0,367.0,367.0,,,
1999-04-13,445.0,445.0,445.0,445.0,,,
1999-04-14,603.0,603.0,603.0,603.0,,,
1999-04-15,590.0,590.0,590.0,590.0,,,
1999-04-16,722.0,722.0,722.0,722.0,,,
1999-04-19,965.0,965.0,965.0,965.0,,,
1999-04-20,370.0,370.0,370.0,370.0,,,
1999-04-21,437.0,437.0,437.0,437.0,,,
1999-04-22,431.0,431.0,431.0,431.0,,,
1999-04-23,350.0,350.0,350.0,350.0,,,
1999-04-26,380.0,380.0,380.0,380.0,,,
1999-04-27,401.0,401.0,401.0,401.0,,,
1999-04-28,491.0,491.0,491.0,491.0,,,
1999-04-29,521.0,521.0,521.0,521.0,,,
1999-04-30,471.0,471.0,471.0,471.0,,,
1999-05-03,506.0,506.0,506.0,506.0,,,
1999-05-04,542.0,542.0,542.0,542.0,,,
1999-05-05,361.0,361.0,361.0,361.0,,,
1999-05-06,400.0,400.0,400.0,400.0,,,
1999-05-07,419.0,419.0,419.0,419.0,,,
1999-05-10,507.0,507.0,507.0,507.0,,,
1999-05-11,513.0,513.0,513.0,513.0,,,
1999-05-12,398.0,398.0,398.0,398.0,,,
1999-05-13,479.0,479.0,479.0,479.0,,,
1999-05-14,190.0,190.0,190.0,190.0,,,
