Time,Open,High,Low,Last,Change,%Chg,Volume
2005-01-04,31.0,31.0,31.0,31.0,14.0,,0.0
2005-01-05,54.0,54.0,54.0,54.0,23.0,,0.0
2005-01-06,38.0,38.0,38.0,38.0,-16.0,,0.0
2005-01-07,42.0,42.0,42.0,42.0,4.0,,0.0
2005-01-10,27.0,27.0,27.0,27.0,-15.0,,0.0
2005-01-11,43.0,43.0,43.0,43.0,16.0,,0.0
2005-01-12,63.0,63.0,63.0,63.0,20.0,,0.0
2005-01-13,31.0,31.0,31.0,31.0,-32.0,,0.0
2005-01-14,30.0,30.0,30.0,30.0,-1.0,,0.0
2005-01-18,26.0,26.0,26.0,26.0,-4.0,,0.0
2005-01-19,24.0,24.0,24.0,24.0,-2.0,,0.0
2005-01-20,53.0,53.0,53.0,53.0,29.0,,0.0
2005-01-21,61.0,61.0,61.0,61.0,8.0,,0.0
2005-01-24,80.0,80.0,80.0,80.0,19.0,,0.0
2005-01-25,74.0,74.0,74.0,74.0,-6.0,,0.0
2005-01-26,49.0,49.0,49.0,49.0,-25.0,,0.0
2005-01-27,59.0,59.0,59.0,59.0,10.0,,0.0
2005-01-28,74.0,74.0,74.0,74.0,15.0,,0.0
2005-01-31,37.0,37.0,37.0,37.0,-37.0,,0.0
2005-02-01,25.0,25.0,25.0,25.0,-12.0,,0.0
2005-02-02,20.0,20.0,20.0,20.0,-5.0,,0.0
2005-02-03,33.0,33.0,33.0,33.0,13.0,,0.0
2005-02-04,24.0,24.0,24.0,24.0,-9.0,,0.0
2005-02-07,25.0,25.0,25.0,25.0,1.0,,0.0
2005-02-08,27.0,27.0,27.0,27.0,2.0,,0.0
2005-02-09,51.0,51.0,51.0,51.0,24.0,,0.0
2005-02-10,57.0,57.0,57.0,57.0,6.0,,0.0
2005-02-11,36.0,36.0,36.0,36.0,-21.0,,0.0
2005-02-14,17.0,17.0,17.0,17.0,-19.0,,0.0
2005-02-15,24.0,24.0,24.0,24.0,7.0,,0.0
2005-02-16,20.0,20.0,20.0,20.0,-4.0,,0.0
2005-02-17,25.0,25.0,25.0,25.0,5.0,,0.0
2005-02-18,42.0,42.0,42.0,42.0,17.0,,0.0
2005-02-22,125.0,125.0,125.0,125.0,83.0,,0.0
2005-02-23,83.0,83.0,83.0,83.0,-42.0,,0.0
2005-02-24,96.0,96.0,96.0,96.0,13.0,,0.0
2005-02-25,22.0,22.0,22.0,22.0,-74.0,,0.0
2005-02-28,32.0,32.0,32.0,32.0,10.0,,0.0
2005-03-01,18.0,18.0,18.0,18.0,-14.0,,0.0
2005-03-02,22.0,22.0,22.0,22.0,4.0,,0.0
2005-03-03,28.0,28.0,28.0,28.0,6.0,,0.0
2005-03-04,14.0,14.0,14.0,14.0,-14.0,,0.0
2005-03-07,15.0,15.0,15.0,15.0,1.0,,0.0
2005-03-08,16.0,16.0,16.0,16.0,1.0,,0.0
2005-03-09,42.0,42.0,42.0,42.0,26.0,,0.0
2005-03-10,44.0,44.0,44.0,44.0,2.0,,0.0
2005-03-11,42.0,42.0,42.0,42.0,-2.0,,0.0
2005-03-14,31.0,31.0,31.0,31.0,-11.0,,0.0
2005-03-15,42.0,42.0,42.0,42.0,11.0,,0.0
2005-03-16,95.0,95.0,95.0,95.0,53.0,,0.0
2005-03-17,68.0,68.0,68.0,68.0,-27.0,,0.0
2005-03-18,86.0,86.0,86.0,86.0,18.0,,0.0
2005-03-21,90.0,90.0,90.0,90.0,4.0,,0.0
2005-03-22,126.0,126.0,126.0,126.0,36.0,,0.0
2005-03-23,209.0,209.0,209.0,209.0,83.0,,0.0
2005-03-24,93.0,93.0,93.0,93.0,-116.0,,0.0
