Time,Open,High,Low,Last,Change,%Chg,Volume
1990-01-02,111.0,111.0,111.0,111.0,,,0
1990-01-03,111.0,111.0,111.0,111.0,0.0,0.0,0
1990-01-04,58.0,58.0,58.0,58.0,-53.0,-47.7477,0
1990-01-05,34.0,34.0,34.0,34.0,-24.0,-41.3793,0
1990-01-08,31.0,31.0,31.0,31.0,-3.0,-8.82353,0
1990-01-09,53.0,53.0,53.0,53.0,22.0,70.9677,0
1990-01-10,39.0,39.0,39.0,39.0,-14.0,-26.4151,0
1990-01-11,48.0,48.0,48.0,48.0,9.0,23.0769,0
1990-01-12,21.0,21.0,21.0,21.0,-27.0,-56.25,0
1990-01-15,8.0,8.0,8.0,8.0,-13.0,-61.9048,0
1990-01-16,8.0,8.0,8.0,8.0,0.0,0.0,0
1990-01-17,14.0,14.0,14.0,14.0,6.0,75.0,0
1990-01-18,13.0,13.0,13.0,13.0,-1.0,-7.14286,0
1990-01-19,14.0,14.0,14.0,14.0,1.0,7.69231,0
1990-01-22,9.0,9.0,9.0,9.0,-5.0,-35.7143,0
1990-01-23,10.0,10.0,10.0,10.0,1.0,11.1111,0
1990-01-24,9.0,9.0,9.0,9.0,-1.0,-10.0,0
1990-01-25,9.0,9.0,9.0,9.0,0.0,0.0,0
1990-01-26,8.0,8.0,8.0,8.0,-1.0,-11.1111,0
1990-01-29,9.0,9.0,9.0,9.0,1.0,12.5,0
1990-01-30,9.0,9.0,9.0,9.0,0.0,0.0,0
1990-01-31,8.0,8.0,8.0,8.0,-1.0,-11.1111,0
1990-02-01,17.0,17.0,17.0,17.0,9.0,112.5,0
1990-02-02,16.0,16.0,16.0,16.0,-1.0,-5.88235,0
1990-02-05,20.0,20.0,20.0,20.0,4.0,25.0,0
1990-02-06,17.0,17.0,17.0,17.0,-3.0,-15.0,0
1990-02-07,31.0,31.0,31.0,31.0,14.0,82.3529,0
1990-02-08,42.0,42.0,42.0,42.0,11.0,35.4839,0
1990-02-09,22.0,22.0,22.0,22.0,-20.0,-47.619,0
1990-02-12,11.0,11.0,11.0,11.0,-11.0,-50.0,0
1990-02-13,16.0,16.0,16.0,16.0,5.0,45.4545,0
1990-02-14,24.0,24.0,24.0,24.0,8.0,50.0,0
1990-02-15,31.0,31.0,31.0,31.0,7.0,29.1667,0
1990-02-16,30.0,30.0,30.0,30.0,-1.0,-3.22581,0
1990-02-20,13.0,13.0,13.0,13.0,-17.0,-56.6667,0
1990-02-21,10.0,10.0,10.0,10.0,-3.0,-23.0769,0
1990-02-22,21.0,21.0,21.0,21.0,11.0,110.0,0
1990-02-23,3.0,3.0,3.0,3.0,-18.0,-85.7143,0
1990-02-26,6.0,6.0,6.0,6.0,3.0,100.0,0
1990-02-27,17.0,17.0,17.0,17.0,11.0,183.333,0
1990-02-28,28.0,28.0,28.0,28.0,11.0,64.7059,0
1990-03-01,30.0,30.0,30.0,30.0,2.0,7.14286,0
1990-03-02,29.0,29.0,29.0,29.0,-1.0,-3.33333,0
1990-03-05,27.0,27.0,27.0,27.0,-2.0,-6.89655,0
1990-03-06,32.0,32.0,32.0,32.0,5.0,18.5185,0
1990-03-07,40.0,40.0,40.0,40.0,8.0,25.0,0
1990-03-08,38.0,38.0,38.0,38.0,-2.0,-5.0,0
1990-03-09,28.0,28.0,28.0,28.0,-10.0,-26.3158,0
1990-03-12,24.0,24.0,24.0,24.0,-4.0,-14.2857,0
1990-03-13,22.0,22.0,22.0,22.0,-2.0,-8.33333,0
1990-03-14,17.0,17.0,17.0,17.0,-5.0,-22.7273,0
1990-03-15,19.0,19.0,19.0,19.0,2.0,11.7647,0
1990-03-16,42.0,42.0,42.0,42.0,23.0,121.053,0
1990-03-19,32.0,32.0,32.0,32.0,-10.0,-23.8095,0
1990-03-20,48.0,48.0,48.0,48.0,16.0,50.0,0
1990-03-21,20.0,20.0,20.0,20.0,-28.0,-58.3333,0
1990-03-22,10.0,10.0,10.0,10.0,-10.0,-50.0,0
1990-03-23,18.0,18.0,18.0,18.0,8.0,80.0,0
1990-03-26,31.0,31.0,31.0,31.0,13.0,72.2222,0
1990-03-27,21.0,21.0,21.0,21.0,-10.0,-32.2581,0
1990-03-28,21.0,21.0,21.0,21.0,0.0,0.0,0
1990-03-29,20.0,20.0,20.0,20.0,-1.0,-4.7619,0
1990-03-30,12.0,12.0,12.0,12.0,-8.0,-40.0,0
1990-04-02,6.0,6.0,6.0,6.0,-6.0,-50.0,0
1990-04-03,30.0,30.0,30.0,30.0,24.0,400.0,0
1990-04-04,34.0,34.0,34.0,34.0,4.0,13.3333,0
1990-04-05,25.0,25.0,25.0,25.0,-9.0,-26.4706,0
1990-04-06,25.0,25.0,25.0,25.0,0.0,0.0,0
1990-04-09,17.0,17.0,17.0,17.0,-8.0,-32.0,0
1990-04-10,19.0,19.0,19.0,19.0,2.0,11.7647,0
1990-04-11,22.0,22.0,22.0,22.0,3.0,15.7895,0
1990-04-12,28.0,28.0,28.0,28.0,6.0,27.2727,0
