Time,Open,High,Low,Last,Change,%Chg,Volume
1990-01-02,6.0,6.0,6.0,6.0,,,0
1990-01-03,7.0,7.0,7.0,7.0,1.0,16.6667,0
1990-01-04,13.0,13.0,13.0,13.0,6.0,85.7143,0
1990-01-05,7.0,7.0,7.0,7.0,-6.0,-46.1538,0
1990-01-08,22.0,22.0,22.0,22.0,15.0,214.286,0
1990-01-09,18.0,18.0,18.0,18.0,-4.0,-18.1818,0
1990-01-10,34.0,34.0,34.0,34.0,16.0,88.8889,0
1990-01-11,28.0,28.0,28.0,28.0,-6.0,-17.6471,0
1990-01-12,59.0,59.0,59.0,59.0,31.0,110.714,0
1990-01-15,67.0,67.0,67.0,67.0,8.0,13.5593,0
1990-01-16,86.0,86.0,86.0,86.0,19.0,28.3582,0
1990-01-17,44.0,44.0,44.0,44.0,-42.0,-48.8372,0
1990-01-18,84.0,84.0,84.0,84.0,40.0,90.9091,0
1990-01-19,54.0,54.0,54.0,54.0,-30.0,-35.7143,0
1990-01-22,105.0,105.0,105.0,105.0,51.0,94.4444,0
1990-01-23,123.0,123.0,123.0,123.0,18.0,17.1429,0
1990-01-24,194.0,194.0,194.0,194.0,71.0,57.7236,0
1990-01-25,76.0,76.0,76.0,76.0,-118.0,-60.8247,0
1990-01-26,154.0,154.0,154.0,154.0,78.0,102.632,0
1990-01-29,134.0,134.0,134.0,134.0,-20.0,-12.987,0
1990-01-30,193.0,193.0,193.0,193.0,59.0,44.0299,0
1990-01-31,87.0,87.0,87.0,87.0,-106.0,-54.9223,0
1990-02-01,69.0,69.0,69.0,69.0,-18.0,-20.6897,0
1990-02-02,47.0,47.0,47.0,47.0,-22.0,-31.8841,0
1990-02-05,37.0,37.0,37.0,37.0,-10.0,-21.2766,0
1990-02-06,61.0,61.0,61.0,61.0,24.0,64.8649,0
1990-02-07,68.0,68.0,68.0,68.0,7.0,11.4754,0
1990-02-08,39.0,39.0,39.0,39.0,-29.0,-42.6471,0
1990-02-09,49.0,49.0,49.0,49.0,10.0,25.641,0
1990-02-12,73.0,73.0,73.0,73.0,24.0,48.9796,0
1990-02-13,85.0,85.0,85.0,85.0,12.0,16.4384,0
1990-02-14,62.0,62.0,62.0,62.0,-23.0,-27.0588,0
1990-02-15,55.0,55.0,55.0,55.0,-7.0,-11.2903,0
1990-02-16,37.0,37.0,37.0,37.0,-18.0,-32.7273,0
1990-02-20,78.0,78.0,78.0,78.0,41.0,110.811,0
1990-02-21,91.0,91.0,91.0,91.0,13.0,16.6667,0
1990-02-22,51.0,51.0,51.0,51.0,-40.0,-43.956,0
1990-02-23,94.0,94.0,94.0,94.0,43.0,84.3137,0
1990-02-26,88.0,88.0,88.0,88.0,-6.0,-6.38298,0
1990-02-27,46.0,46.0,46.0,46.0,-42.0,-47.7273,0
1990-02-28,43.0,43.0,43.0,43.0,-3.0,-6.52174,0
1990-03-01,34.0,34.0,34.0,34.0,-9.0,-20.9302,0
1990-03-02,26.0,26.0,26.0,26.0,-8.0,-23.5294,0
1990-03-05,28.0,28.0,28.0,28.0,2.0,7.69231,0
1990-03-06,26.0,26.0,26.0,26.0,-2.0,-7.14286,0
1990-03-07,17.0,17.0,17.0,17.0,-9.0,-34.6154,0
1990-03-08,17.0,17.0,17.0,17.0,0.0,0.0,0
1990-03-09,18.0,18.0,18.0,18.0,1.0,5.88235,0
1990-03-12,28.0,28.0,28.0,28.0,10.0,55.5556,0
1990-03-13,36.0,36.0,36.0,36.0,8.0,28.5714,0
1990-03-14,36.0,36.0,36.0,36.0,0.0,0.0,0
1990-03-15,31.0,31.0,31.0,31.0,-5.0,-13.8889,0
1990-03-16,21.0,21.0,21.0,21.0,-10.0,-32.2581,0
1990-03-19,37.0,37.0,37.0,37.0,16.0,76.1905,0
1990-03-20,37.0,37.0,37.0,37.0,0.0,0.0,0
1990-03-21,46.0,46.0,46.0,46.0,9.0,24.3243,0
1990-03-22,73.0,73.0,73.0,73.0,27.0,58.6957,0
1990-03-23,36.0,36.0,36.0,36.0,-37.0,-50.6849,0
1990-03-26,40.0,40.0,40.0,40.0,4.0,11.1111,0
1990-03-27,39.0,39.0,39.0,39.0,-1.0,-2.5,0
1990-03-28,43.0,43.0,43.0,43.0,4.0,10.2564,0
1990-03-29,37.0,37.0,37.0,37.0,-6.0,-13.9535,0
1990-03-30,42.0,42.0,42.0,42.0,5.0,13.5135,0
1990-04-02,62.0,62.0,62.0,62.0,20.0,47.619,0
1990-04-03,40.0,40.0,40.0,40.0,-22.0,-35.4839,0
1990-04-04,47.0,47.0,47.0,47.0,7.0,17.5,0
1990-04-05,55.0,55.0,55.0,55.0,8.0,17.0213,0
1990-04-06,81.0,81.0,81.0,81.0,26.0,47.2727,0
1990-04-09,65.0,65.0,65.0,65.0,-16.0,-19.7531,0
1990-04-10,58.0,58.0,58.0,58.0,-7.0,-10.7692,0
1990-04-11,54.0,54.0,54.0,54.0,-4.0,-6.89655,0
1990-04-12,26.0,26.0,26.0,26.0,-28.0,-51.8519,0
1990-04-16,32.0,32.0,32.0,32.0,6.0,23.0769,0
