Time,Open,High,Low,Last,Change,%Chg,Volume
2020-01-03,0.85,0.85,0.85,0.85,-0.15,,0
2020-01-06,0.76,0.76,0.76,0.76,-0.09,,0
2020-01-07,0.97,0.97,0.97,0.97,0.21,,0
2020-01-08,0.86,0.86,0.86,0.86,-0.11,,0
2020-01-09,0.88,0.88,0.88,0.88,0.02,,0
2020-01-10,1.04,1.04,1.04,1.04,0.16,,0
2020-01-13,1.47,1.47,1.47,1.47,0.43,,0
2020-01-14,1.13,1.13,1.13,1.13,-0.34,,0
2020-01-15,0.84,0.84,0.84,0.84,-0.29,,0
2020-01-16,1.88,1.88,1.88,1.88,1.04,,0
2020-01-17,1.55,1.55,1.55,1.55,-0.33,,0
2020-01-21,0.69,0.69,0.69,0.69,-0.86,,0
2020-01-22,0.87,0.87,0.87,0.87,0.18,,0
2020-01-23,0.98,0.98,0.98,0.98,0.11,,0
2020-01-24,1.07,1.07,1.07,1.07,0.09,,0
2020-01-27,0.86,0.86,0.86,0.86,-0.21,,0
2020-01-28,0.97,0.97,0.97,0.97,0.11,,0
2020-01-29,1.09,1.09,1.09,1.09,0.12,,0
2020-01-30,1.2,1.2,1.2,1.2,0.11,,0
2020-01-31,1.22,1.22,1.22,1.22,0.02,,0
2020-02-03,1.26,1.26,1.26,1.26,0.04,,0
2020-02-04,1.32,1.32,1.32,1.32,0.06,,0
2020-02-05,0.9,0.9,0.9,0.9,-0.42,,0
2020-02-06,0.86,0.86,0.86,0.86,-0.04,,0
2020-02-07,1.22,1.22,1.22,1.22,0.36,,0
2020-02-10,1.14,1.14,1.14,1.14,-0.08,,0
2020-02-11,1.28,1.28,1.28,1.28,0.14,,0
2020-02-12,1.0,1.0,1.0,1.0,-0.28,,0
2020-02-13,1.17,1.17,1.17,1.17,0.17,,0
2020-02-14,0.9,0.9,0.9,0.9,-0.27,,0
2020-02-18,0.96,0.96,0.96,0.96,0.06,,0
2020-02-19,0.81,0.81,0.81,0.81,-0.15,,0
2020-02-20,1.09,1.09,1.09,1.09,0.28,,0
2020-02-21,0.98,0.98,0.98,0.98,-0.11,,0
2020-02-24,0.85,0.85,0.85,0.85,-0.13,,0
2020-02-25,1.07,1.07,1.07,1.07,0.22,,0
2020-02-26,0.72,0.72,0.72,0.72,-0.35,,0
2020-02-27,0.81,0.81,0.81,0.81,0.09,,0
2020-02-28,0.93,0.93,0.93,0.93,0.12,,0
2020-03-02,1.06,1.06,1.06,1.06,0.13,,0
2020-03-03,1.44,1.44,1.44,1.44,0.38,,0
2020-03-04,1.1,1.1,1.1,1.1,-0.34,,0
2020-03-05,0.81,0.81,0.81,0.81,-0.29,,0
2020-03-06,0.75,0.75,0.75,0.75,-0.06,,0
2020-03-09,0.77,0.77,0.77,0.77,0.02,,0
2020-03-10,1.34,1.34,1.34,1.34,0.57,,0
2020-03-11,1.24,1.24,1.24,1.24,-0.1,,0
2020-03-12,1.16,1.16,1.16,1.16,-0.08,,0
2020-03-13,1.3,1.3,1.3,1.3,0.14,,0
2020-03-16,1.57,1.57,1.57,1.57,0.27,,0
2020-03-17,2.43,2.43,2.43,2.43,0.86,,0
2020-03-18,1.93,1.93,1.93,1.93,-0.5,,0
2020-03-19,3.39,3.39,3.39,3.39,1.46,,0
2020-03-20,1.7,1.7,1.7,1.7,-1.69,,0
2020-03-23,1.1,1.1,1.1,1.1,-0.6,,0
2020-03-24,0.92,0.92,0.92,0.92,-0.18,,0
2020-03-25,1.02,1.02,1.02,1.02,0.1,,0
2020-03-26,1.26,1.26,1.26,1.26,0.24,,0
2020-03-27,0.71,0.71,0.71,0.71,-0.55,,0
2020-03-30,1.22,1.22,1.22,1.22,0.51,,0
2020-03-31,1.36,1.36,1.36,1.36,0.14,,0
2020-04-01,0.88,0.88,0.88,0.88,-0.48,,0
2020-04-02,2.55,2.55,2.55,2.55,1.67,,0
2020-04-03,1.98,1.98,1.98,1.98,-0.57,,0
2020-04-06,0.96,0.96,0.96,0.96,-1.02,,0
2020-04-07,1.01,1.01,1.01,1.01,0.05,,0
2020-04-08,1.45,1.45,1.45,1.45,0.44,,0
2020-04-09,1.06,1.06,1.06,1.06,-0.39,,0
2020-04-13,1.67,1.67,1.67,1.67,0.61,,0
2020-04-14,1.72,1.72,1.72,1.72,0.05,,0
2020-04-15,0.83,0.83,0.83,0.83,-0.89,,0
2020-04-16,0.79,0.79,0.79,0.79,-0.04,,0
2020-04-17,1.01,1.01,1.01,1.01,0.22,,0
2020-04-20,0.92,0.92,0.92,0.92,-0.09,,0
2020-04-21,0.7,0.7,0.7,0.7,-0.22,,0
2020-04-22,0.87,0.87,0.87,0.87,0.17,,0
2020-04-23,0.75,0.75,0.75,0.75,-0.12,,0
2020-04-24,0.91,0.91,0.91,0.91,0.16,,0
2020-04-27,1.0,1.0,1.0,1.0,0.09,,0
2020-04-28,1.07,1.07,1.07,1.07,0.07,,0
2020-04-29,1.44,1.44,1.44,1.44,0.37,,0
2020-04-30,1.52,1.52,1.52,1.52,0.08,,0
2020-05-01,0.92,0.92,0.92,0.92,-0.6,,0
2020-05-04,0.87,0.87,0.87,0.87,-0.05,,0
2020-05-05,1.82,1.82,1.82,1.82,0.95,,0
2020-05-06,1.08,1.08,1.08,1.08,-0.74,,0
2020-05-07,0.52,0.52,0.52,0.52,-0.56,,0
2020-05-08,0.8,0.8,0.8,0.8,0.28,,0
2020-05-11,1.68,1.68,1.68,1.68,0.88,,0
