Time,Open,High,Low,Last,Change,%Chg,Volume
2007-11-13,26.75,26.781,23.688,24.688,,,0
2007-11-14,24.469,26.188,24.313,25.656,0.968,3.92093,0
2007-11-15,26.27,28.1,25.98,27.44,1.784,6.95354,0
2007-11-16,27.07,27.91,26.26,26.44,-1.0,-3.64431,0
2007-11-19,25.5,25.99,25.16,25.66,-0.78,-2.95008,0
2007-11-20,27.36,28.01,25.47,26.09,0.43,1.67576,0
2007-11-21,27.31,28.29,26.16,27.42,1.33,5.09774,0
2007-11-23,26.6,26.71,25.78,25.97,-1.45,-5.28811,0
2007-11-26,26.27,28.55,25.83,28.44,2.47,9.51097,0
2007-11-27,27.83,28.16,26.45,26.59,-1.85,-6.50492,0
2007-11-28,25.58,25.66,24.01,24.25,-2.34,-8.8003,0
2007-11-29,24.75,25.01,24.03,24.5,0.25,1.03093,0
2007-11-30,23.35,24.39,23.02,23.93,-0.57,-2.32653,0
2007-12-03,24.23,24.95,24.08,24.3,0.37,1.54618,0
2007-12-04,24.8,25.01,24.15,24.65,0.35,1.44033,0
2007-12-05,23.82,23.84,22.91,23.33,-1.32,-5.35497,0
2007-12-06,23.43,23.49,20.34,22.1,-1.23,-5.27218,0
2007-12-07,21.92,22.32,21.67,22.18,0.08,0.361991,0
2007-12-10,22.24,22.45,21.7,21.93,-0.25,-1.12714,0
2007-12-11,21.93,24.2,21.31,24.12,2.19,9.98632,0
2007-12-12,22.07,24.39,21.87,23.29,-0.83,-3.44113,0
2007-12-13,23.99,24.49,23.41,23.52,0.23,0.987548,0
2007-12-14,24.35,24.35,23.45,24.21,0.69,2.93367,0
2007-12-17,24.66,25.73,24.59,25.53,1.32,5.45229,0
2007-12-18,24.89,25.8,24.44,24.67,-0.86,-3.36859,0
2007-12-19,24.67,24.69,23.6,23.81,-0.86,-3.48602,0
2007-12-20,23.19,23.97,22.87,22.87,-0.94,-3.94792,0
2007-12-21,22.21,22.29,21.47,21.5,-1.37,-5.99038,0
2007-12-24,21.37,21.57,21.07,21.14,-0.36,-1.67442,0
2007-12-26,21.41,21.43,20.9,20.93,-0.21,-0.993377,0
2007-12-27,21.2,22.22,21.2,22.05,1.12,5.35117,0
2007-12-28,21.63,22.71,21.52,22.56,0.51,2.31293,0
2007-12-31,22.84,23.41,22.79,23.31,0.75,3.32447,0
2008-01-02,23.1,24.1,23.04,23.6,0.29,1.2441,0
2008-01-03,23.47,23.57,22.71,22.81,-0.79,-3.34746,0
2008-01-04,23.36,23.88,23.32,23.69,0.88,3.85796,0
2008-01-07,23.57,23.89,23.02,23.22,-0.47,-1.98396,0
2008-01-08,23.86,25.63,23.45,25.49,2.27,9.77606,0
2008-01-09,25.51,25.7,24.15,24.5,-0.99,-3.88388,0
2008-01-10,24.85,24.9,23.46,23.95,-0.55,-2.2449,0
2008-01-11,24.33,24.9,23.97,24.5,0.55,2.29645,0
2008-01-14,24.25,24.44,23.59,23.67,-0.83,-3.38776,0
2008-01-15,24.49,24.87,24.04,24.39,0.72,3.04183,0
2008-01-16,24.7,24.7,23.62,24.36,-0.03,-0.123001,0
2008-01-17,24.23,26.52,24.11,26.44,2.08,8.53859,0
2008-01-18,26.04,27.07,24.55,25.99,-0.45,-1.70197,0
2008-01-22,30.22,30.29,26.22,27.39,1.4,5.38669,0
2008-01-23,28.95,29.23,22.45,26.25,-1.14,-4.1621,0
2008-01-24,25.89,26.41,25.5,26.0,-0.25,-0.952381,0
2008-01-25,25.23,27.2,24.95,26.86,0.86,3.30769,0
2008-01-28,26.9,27.27,25.83,25.97,-0.89,-3.31348,0
2008-01-29,25.34,25.94,25.33,25.65,-0.32,-1.23219,0
2008-01-30,25.74,26.18,24.22,26.08,0.43,1.67641,0
2008-01-31,26.72,26.83,24.61,25.21,-0.87,-3.33589,0
2008-02-01,24.94,25.09,24.1,24.11,-1.1,-4.36335,0
2008-02-04,24.44,25.38,24.34,25.36,1.25,5.18457,0
2008-02-05,26.06,27.19,26.0,26.99,1.63,6.42744,0
2008-02-06,26.63,27.8,26.24,27.61,0.62,2.29715,0
2008-02-07,27.89,28.07,26.23,26.74,-0.87,-3.15103,0
2008-02-08,26.97,27.87,26.45,27.06,0.32,1.19671,0
2008-02-11,27.34,27.73,26.47,26.67,-0.39,-1.44124,0
2008-02-12,25.66,26.45,25.39,26.11,-0.56,-2.09974,0
2008-02-13,25.64,25.92,25.01,25.29,-0.82,-3.14056,0
2008-02-14,25.11,25.86,24.99,25.47,0.18,0.711744,0
2008-02-15,25.63,25.91,25.16,25.44,-0.03,-0.117786,0
2008-02-19,25.14,25.64,22.13,25.47,0.03,0.117925,0
2008-02-20,26.1,26.24,24.59,24.67,-0.8,-3.14095,0
2008-02-21,24.79,25.31,24.1,25.09,0.42,1.70247,0
2008-02-22,25.04,25.66,24.38,24.4,-0.69,-2.7501,0
2008-02-25,24.7,24.9,23.66,23.93,-0.47,-1.92623,0
2008-02-26,24.03,24.05,22.74,23.11,-0.82,-3.42666,0
2008-02-27,23.46,23.74,22.9,23.69,0.58,2.50974,0
2008-02-28,24.04,24.31,23.63,24.29,0.6,2.53271,0
2008-02-29,24.76,26.58,24.72,26.39,2.1,8.64553,0
2008-03-03,27.01,27.27,26.07,26.08,-0.31,-1.17469,0
2008-03-04,26.61,26.91,25.71,25.76,-0.32,-1.22699,0
2008-03-05,25.65,25.97,24.49,24.91,-0.85,-3.29969,0
2008-03-06,25.24,27.28,25.23,27.0,2.09,8.3902,0
2008-03-07,27.56,28.1,26.25,27.11,0.11,0.407407,0
2008-03-10,27.44,29.11,26.8,28.33,1.22,4.50018,0
2008-03-11,26.41,27.6,26.09,26.09,-2.24,-7.90681,0
2008-03-12,26.17,27.38,25.49,27.37,1.28,4.90609,0
2008-03-13,28.26,29.11,26.19,27.18,-0.19,-0.694191,0
2008-03-14,27.11,30.26,26.15,29.36,2.18,8.0206,0
2008-03-17,31.22,31.65,28.67,29.58,0.22,0.749319,0
2008-03-18,27.95,28.06,25.89,26.01,-3.57,-12.069,0
2008-03-19,25.88,28.87,25.45,28.78,2.77,10.6498,0
2008-03-20,28.66,28.66,26.51,27.29,-1.49,-5.17721,0
2008-03-24,26.97,26.98,25.38,25.96,-1.33,-4.87358,0
2008-03-25,26.11,26.51,25.74,26.18,0.22,0.847458,0
2008-03-26,26.38,26.85,26.08,26.61,0.43,1.64248,0
2008-03-27,26.13,26.54,25.7,26.28,-0.33,-1.24014,0
2008-03-28,26.18,26.35,25.67,26.24,-0.04,-0.152207,0
2008-03-31,26.58,26.62,25.49,25.64,-0.6,-2.28659,0
2008-04-01,24.89,24.89,23.53,23.61,-2.03,-7.91732,0
2008-04-02,23.59,24.45,23.38,24.3,0.69,2.92249,0
2008-04-03,24.57,24.87,23.94,24.12,-0.18,-0.740741,0
2008-04-04,24.01,24.27,23.09,23.52,-0.6,-2.48756,0
2008-04-07,23.38,23.44,22.28,23.2,-0.32,-1.36054,0
2008-04-08,23.46,23.67,23.07,23.07,-0.13,-0.560345,0
2008-04-09,23.15,24.07,23.13,23.55,3.85,,0
2008-04-10,23.73,23.86,22.85,23.06,-0.49,,0
2008-04-11,23.81,24.35,23.45,24.19,1.13,,0
2008-04-14,24.63,24.74,24.28,24.41,0.22,,0
2008-04-15,24.06,24.47,23.65,23.7,-0.71,,0
2008-04-16,22.98,23.03,21.8,21.82,-1.88,,0
2008-04-17,22.16,22.52,21.72,21.75,-0.07,,0
2008-04-18,21.13,21.37,20.84,21.37,-0.38,,0
2008-04-21,21.76,21.77,21.34,21.46,0.09,,0
2008-04-22,21.67,22.29,21.55,21.8,0.34,,0
2008-04-23,21.65,22.0,21.22,21.58,-0.22,,0
2008-04-24,21.43,21.83,20.48,21.18,-0.4,,0
2008-04-25,20.76,21.33,20.42,20.58,-0.6,,0
2008-04-28,20.68,20.81,20.16,20.41,-0.17,,0
2008-04-29,20.51,21.01,20.37,20.82,0.41,,0
2008-04-30,20.75,21.26,20.3,21.25,0.43,,0
2008-05-01,21.28,21.32,19.77,19.78,-1.47,,0
2008-05-02,19.3,20.07,19.3,19.53,-0.25,,0
2008-05-05,19.7,20.22,19.4,20.02,0.49,,0
2008-05-06,20.36,20.59,19.68,19.75,-0.27,,0
2008-05-07,19.92,21.13,19.88,20.96,1.21,,0
2008-05-08,20.79,21.09,20.49,20.88,-0.08,,0
2008-05-09,21.2,21.22,20.77,20.87,-0.01,,0
2008-05-12,21.07,21.26,19.97,20.24,-0.63,,0
2008-05-13,20.11,20.54,20.03,20.15,-0.09,,0
2008-05-14,20.03,20.05,19.31,20.0,-0.15,,0
2008-05-15,20.02,20.09,19.28,19.28,-0.72,,0
2008-05-16,19.23,20.22,19.23,19.57,0.29,,0
2008-05-19,19.97,20.12,19.11,19.84,0.27,,0
2008-05-20,20.28,21.24,20.28,20.81,0.97,,0
2008-05-21,20.93,22.16,20.71,22.11,1.3,,0
2008-05-22,22.2,22.2,21.39,21.52,-0.59,,0
2008-05-23,21.74,22.73,21.7,22.51,0.99,,0
2008-05-27,22.94,23.29,21.99,22.16,-0.35,,0
2008-05-28,22.06,22.41,21.47,21.66,-0.5,,0
2008-05-29,21.79,21.79,20.54,20.8,-0.86,,0
2008-05-30,20.9,20.9,20.31,20.53,-0.27,,0
2008-06-02,21.03,22.26,21.03,21.72,1.19,,0
2008-06-03,21.64,22.58,20.8,22.11,0.39,,0
2008-06-04,22.31,22.84,21.64,22.59,0.48,,0
2008-06-05,22.44,22.45,20.67,21.08,-1.51,,0
2008-06-06,21.69,24.44,21.68,24.2,3.12,,0
2008-06-09,23.64,24.55,19.72,23.85,-0.35,,0
2008-06-10,24.6,24.68,23.1,23.84,-0.01,,0
2008-06-11,23.93,24.51,23.6,24.32,0.48,,0
2008-06-12,24.07,24.27,21.68,23.7,-0.62,,0
2008-06-13,23.66,23.86,22.46,22.6,-1.1,,0
2008-06-16,23.18,23.39,22.11,22.43,-0.17,,0
2008-06-17,22.01,22.68,21.7,22.48,0.05,,0
2008-06-18,22.96,23.98,22.55,23.55,1.07,,0
2008-06-19,23.57,24.18,22.11,22.84,-0.71,,0
2008-06-20,23.21,24.34,22.78,23.57,0.73,,0
2008-06-23,23.51,23.73,23.23,23.3,-0.27,,0
2008-06-24,23.42,24.07,22.75,23.21,-0.09,,0
2008-06-25,22.91,22.99,21.71,22.32,-0.89,,0
2008-06-26,22.92,24.33,22.88,24.31,1.99,,0
2008-06-27,24.03,24.47,23.81,23.93,-0.38,,0
2008-06-30,24.06,24.14,23.36,23.77,-0.16,,0
2008-07-01,24.42,24.83,23.67,23.67,-0.1,,0
2008-07-02,23.43,25.06,23.12,25.02,1.35,,0
2008-07-03,24.41,25.22,24.04,24.41,-0.61,,0
2008-07-07,24.58,25.32,24.0,24.75,0.34,,0
2008-07-08,24.67,24.87,23.01,23.06,-1.69,,0
