Time,Open,High,Low,Last,Change,%Chg,Volume
2018-06-11,16.19,16.22,15.99,16.12,-6.11,,0
2018-06-12,16.14,16.26,16.08,16.17,0.05,,0
2018-06-13,16.08,16.65,16.01,16.43,0.26,,0
2018-06-14,16.09,16.31,15.98,16.09,-0.34,,0
2018-06-15,16.36,16.67,16.18,16.32,0.23,,0
2018-06-18,16.8,16.9,16.3,16.35,0.03,,0
2018-06-19,17.21,17.25,16.8,16.89,0.54,,0
2018-06-20,16.52,16.92,16.48,16.52,-0.37,,0
2018-06-21,16.68,17.36,16.67,17.2,0.68,,0
2018-06-22,16.6,17.0,16.6,16.92,-0.28,,0
2018-06-25,17.33,19.17,17.3,18.27,1.35,,0
2018-06-26,17.9,18.13,17.54,17.79,-0.48,,0
2018-06-27,17.71,18.78,17.31,18.66,0.87,,0
2018-06-28,18.73,19.25,18.01,18.29,-0.37,,0
2018-06-29,17.81,18.22,17.44,18.09,-0.2,,0
2018-07-02,18.76,18.84,17.95,17.97,-0.12,,0
2018-07-03,17.75,18.36,17.57,18.23,0.26,,0
2018-07-05,17.73,18.17,17.57,17.63,-0.6,,0
2018-07-06,17.64,17.7,17.02,17.07,-0.56,,0
2018-07-09,16.81,16.81,16.27,16.29,-0.78,,0
2018-07-10,16.19,16.38,16.05,16.11,-0.18,,0
2018-07-11,16.67,16.67,16.34,16.54,0.43,,0
2018-07-12,16.15,16.4,16.05,16.1,-0.44,,0
2018-07-13,16.16,16.34,15.9,15.9,-0.2,,0
2018-07-16,16.0,16.16,15.91,16.1,0.2,,0
2018-07-17,16.22,16.22,15.7,15.83,-0.27,,0
2018-07-18,15.86,16.0,15.77,15.88,0.05,,0
2018-07-19,16.12,16.35,16.0,16.22,0.34,,0
2018-07-20,16.38,16.46,16.17,16.41,0.19,,0
2018-07-23,16.5,16.67,16.23,16.24,-0.17,,0
2018-07-24,15.98,16.46,15.93,16.09,-0.15,,0
2018-07-25,16.21,16.21,15.61,15.89,-0.2,,0
2018-07-26,15.88,16.13,15.76,15.87,-0.02,,0
2018-07-27,15.88,16.7,15.84,16.22,0.35,,0
2018-07-30,16.25,16.77,16.21,16.68,0.46,,0
2018-07-31,16.31,16.54,16.21,16.21,-0.47,,0
2018-08-01,16.25,16.52,16.04,16.41,0.2,,0
2018-08-02,16.87,16.9,16.06,16.08,-0.33,,0
2018-08-03,16.19,16.19,15.82,15.9,-0.18,,0
2018-08-06,16.06,16.09,15.61,15.68,-0.22,,0
2018-08-07,15.54,15.57,15.36,15.41,-0.27,,0
2018-08-08,15.5,15.59,15.28,15.45,0.04,,0
2018-08-09,15.45,15.6,15.34,15.54,0.09,,0
2018-08-10,16.14,16.43,15.92,16.29,0.75,,0
2018-08-13,16.42,17.0,16.14,16.97,0.68,,0
2018-08-14,16.61,16.87,16.35,16.39,-0.58,,0
2018-08-15,17.04,17.9,16.9,16.94,0.55,,0
2018-08-16,16.51,16.63,16.22,16.47,-0.47,,0
2018-08-17,16.61,16.75,16.14,16.26,-0.21,,0
2018-08-20,16.13,16.2,16.06,16.15,-0.11,,0
2018-08-21,16.13,16.33,15.93,16.33,0.18,,0
2018-08-22,16.35,16.41,16.11,16.25,-0.08,,0
2018-08-23,16.25,16.41,15.95,16.28,0.03,,0
2018-08-24,16.09,16.14,15.9,16.07,-0.21,,0
2018-08-27,15.99,16.08,15.95,16.0,-0.07,,0
2018-08-28,15.97,16.26,15.93,16.25,0.25,,0
2018-08-29,16.22,16.32,16.06,16.2,-0.05,,0
2018-08-30,16.38,16.91,16.28,16.69,0.49,,0
2018-08-31,16.7,16.94,16.37,16.43,-0.26,,0
2018-09-04,16.85,17.09,16.59,16.59,0.16,,0
2018-09-05,16.84,17.15,16.73,16.93,0.34,,0
2018-09-06,16.91,17.46,16.87,17.26,0.33,,0
2018-09-07,17.57,17.67,17.14,17.47,0.21,,0
2018-09-10,17.22,17.3,17.03,17.15,-0.32,,0
2018-09-11,17.34,17.41,16.64,16.64,-0.51,,0
2018-09-12,16.71,16.74,16.3,16.4,-0.24,,0
2018-09-13,16.12,16.14,15.84,15.86,-0.54,,0
2018-09-14,15.82,15.92,15.6,15.6,-0.26,,0
2018-09-17,15.75,16.16,15.69,16.1,0.5,,0
2018-09-18,15.96,16.09,15.76,15.99,-0.11,,0
2018-09-19,15.8,15.89,15.66,15.85,-0.14,,0
2018-09-20,15.67,15.78,15.6,15.7,-0.15,,0
2018-09-21,15.67,15.93,15.57,15.9,0.2,,0
2018-09-24,16.21,16.41,15.94,15.96,0.06,,0
2018-09-25,15.87,16.12,15.85,16.05,0.09,,0
2018-09-26,16.03,16.39,15.65,16.2,0.15,,0
2018-09-27,16.0,16.12,15.8,16.07,-0.13,,0
2018-09-28,16.22,16.26,15.93,15.98,-0.09,,0
2018-10-01,15.78,16.14,15.63,15.95,-0.03,,0
2018-10-02,16.05,16.15,15.78,16.03,0.08,,0
2018-10-03,15.82,16.13,15.78,15.96,-0.07,,0
2018-10-04,16.3,17.34,16.3,16.7,0.74,,0
2018-10-05,16.55,18.03,16.35,17.14,0.44,,0
2018-10-08,17.67,18.32,17.34,17.36,0.22,,0
2018-10-09,17.64,17.88,17.14,17.4,0.04,,0
2018-10-10,17.79,20.31,17.76,20.31,2.91,,0
2018-10-11,19.79,22.2,19.44,20.88,0.57,,0
2018-10-12,19.7,21.66,19.51,19.87,-1.01,,0
2018-10-15,20.06,20.57,19.37,20.27,0.4,,0
2018-10-16,19.41,19.6,18.54,18.58,-1.69,,0
2018-10-17,18.7,19.55,18.62,18.64,0.06,,0
2018-10-18,19.12,20.54,18.94,19.93,1.29,,0
2018-10-19,19.71,20.44,19.26,20.03,0.1,,0
2018-10-22,19.59,20.46,19.52,20.01,-0.02,,0
2018-10-23,21.55,21.72,20.12,20.29,0.28,,0
2018-10-24,20.4,22.49,20.27,22.04,1.75,,0
2018-10-25,21.7,22.08,20.99,21.84,-0.2,,0
2018-10-26,22.68,23.19,21.66,21.97,0.13,,0
2018-10-29,21.41,23.58,21.06,22.27,0.3,,0
2018-10-30,22.53,22.61,21.59,21.72,-0.55,,0
2018-10-31,21.15,21.45,20.68,21.0,-0.72,,0
2018-11-01,20.76,21.05,20.21,20.23,-0.77,,0
2018-11-02,19.93,21.33,19.75,20.45,0.22,,0
2018-11-05,20.45,20.78,20.17,20.25,-0.2,,0
2018-11-06,20.27,20.27,19.67,19.7,-0.55,,0
2018-11-07,18.86,19.0,18.24,18.29,-1.41,,0
2018-11-08,18.31,18.49,18.03,18.24,-0.05,,0
2018-11-09,18.59,19.27,18.53,18.94,0.7,,0
2018-11-12,19.03,20.33,19.03,20.16,1.22,,0
2018-11-13,20.11,20.7,19.68,20.29,0.13,,0
2018-11-14,19.92,21.49,19.91,21.04,0.75,,0
2018-11-15,21.49,21.96,20.44,20.48,-0.56,,0
2018-11-16,20.95,21.03,19.8,19.82,-0.66,,0
2018-11-19,20.06,21.2,19.93,20.79,0.97,,0
2018-11-20,22.1,22.54,21.64,22.09,1.3,,0
2018-11-21,21.55,21.8,21.12,21.47,-0.62,,0
2018-11-23,22.0,22.0,21.42,21.79,0.32,,0
2018-11-26,21.18,21.23,20.43,20.55,-1.24,,0
