Time,Open,High,Low,Last,Change,%Chg,Volume
2011-01-03,16.04,16.04,16.04,16.04,0.0,0.0,0
2011-01-04,16.06,16.06,16.06,16.06,0.02,0.124688,0
2011-01-05,15.57,15.57,15.57,15.57,-0.49,-3.05106,0
2011-01-06,15.71,15.71,15.71,15.71,0.14,0.899165,0
2011-01-07,15.01,15.01,15.01,15.01,-0.7,-4.45576,0
2011-01-10,15.81,15.81,15.81,15.81,0.8,5.32978,0
2011-01-11,14.93,14.93,14.93,14.93,-0.88,-5.5661,0
2011-01-12,14.82,14.82,14.82,14.82,-0.11,-0.736772,0
2011-01-13,14.92,14.92,14.92,14.92,0.1,0.674764,0
2011-01-14,14.3,14.3,14.3,14.3,-0.62,-4.1555,0
2011-01-18,16.34,16.34,16.34,16.34,2.04,14.2657,0
2011-01-19,17.74,17.74,17.74,17.74,1.4,8.56793,0
2011-01-20,16.98,16.98,16.98,16.98,-0.76,-4.2841,0
2011-01-21,17.32,17.32,17.32,17.32,0.34,2.00236,0
2011-01-24,17.38,17.38,17.38,17.38,0.06,0.34642,0
2011-01-25,17.75,17.75,17.75,17.75,0.37,2.12888,0
2011-01-26,16.27,16.27,16.27,16.27,-1.48,-8.33803,0
2011-01-27,15.07,15.07,15.07,15.07,-1.2,-7.37554,0
2011-01-28,21.25,21.25,21.25,21.25,6.18,41.0086,0
2011-01-31,20.5,20.5,20.5,20.5,-0.75,-3.52941,0
2011-02-01,17.21,17.21,17.21,17.21,-3.29,-16.0488,0
2011-02-02,16.83,16.83,16.83,16.83,-0.38,-2.20802,0
2011-02-03,15.38,15.38,15.38,15.38,-1.45,-8.61557,0
2011-02-04,14.19,14.19,14.19,14.19,-1.19,-7.73732,0
2011-02-07,15.33,15.33,15.33,15.33,1.14,8.03383,0
2011-02-08,14.56,14.56,14.56,14.56,-0.77,-5.02283,0
2011-02-09,14.3,14.3,14.3,14.3,-0.26,-1.78571,0
2011-02-10,14.53,14.53,14.53,14.53,0.23,1.60839,0
2011-02-11,14.79,14.79,14.79,14.79,0.26,1.7894,0
2011-02-14,16.16,16.16,16.16,16.16,1.37,9.26302,0
2011-02-15,16.58,16.58,16.58,16.58,0.42,2.59901,0
2011-02-16,16.87,16.87,16.87,16.87,0.29,1.7491,0
2011-02-17,15.81,15.81,15.81,15.81,-1.06,-6.28334,0
2011-02-18,14.92,14.92,14.92,14.92,-0.89,-5.62935,0
2011-02-22,22.09,22.09,22.09,22.09,7.17,48.0563,0
2011-02-23,22.77,22.77,22.77,22.77,0.68,3.07832,0
2011-02-24,21.51,21.51,21.51,21.51,-1.26,-5.5336,0
2011-02-25,18.47,18.47,18.47,18.47,-3.04,-14.133,0
2011-02-28,18.3,18.3,18.3,18.3,-0.17,-0.920411,0
2011-03-01,21.59,21.59,21.59,21.59,3.29,17.9781,0
2011-03-02,20.78,20.78,20.78,20.78,-0.81,-3.75174,0
2011-03-03,16.85,16.85,16.85,16.85,-3.93,-18.9124,0
2011-03-04,17.69,17.69,17.69,17.69,0.84,4.98516,0
2011-03-07,20.97,20.97,20.97,20.97,3.28,18.5415,0
2011-03-08,19.34,19.34,19.34,19.34,-1.63,-7.77301,0
2011-03-09,19.93,19.93,19.93,19.93,0.59,3.05067,0
2011-03-10,22.89,22.89,22.89,22.89,2.96,14.852,0
2011-03-11,19.4,19.4,19.4,19.4,-3.49,-15.2468,0
2011-03-14,21.93,21.93,21.93,21.93,2.53,13.0412,0
2011-03-15,25.9,25.9,25.9,25.9,3.97,18.1031,0
2011-03-16,31.04,31.04,31.04,31.04,5.14,19.8456,0
2011-03-17,28.62,28.62,28.62,28.62,-2.42,-7.79639,0
2011-03-18,25.31,25.31,25.31,25.31,-3.31,-11.5653,0
2011-03-21,21.02,21.02,21.02,21.02,-4.29,-16.9498,0
2011-03-22,20.17,20.17,20.17,20.17,-0.85,-4.04377,0
2011-03-23,19.06,19.06,19.06,19.06,-1.11,-5.50322,0
2011-03-24,17.42,17.42,17.42,17.42,-1.64,-8.60441,0
2011-03-25,17.49,17.49,17.49,17.49,0.07,0.401837,0
2011-03-28,19.84,19.84,19.84,19.84,2.35,13.4362,0
2011-03-29,17.46,17.46,17.46,17.46,-2.38,-11.996,0
2011-03-30,16.98,16.98,16.98,16.98,-0.48,-2.74914,0
2011-03-31,16.31,16.31,16.31,16.31,-0.67,-3.94582,0
2011-04-01,15.15,15.15,15.15,15.15,-1.16,-7.1122,0
2011-04-04,16.72,16.72,16.72,16.72,1.57,10.363,0
2011-04-05,15.81,15.81,15.81,15.81,-0.91,-5.44258,0
2011-04-06,15.21,15.21,15.21,15.21,-0.6,-3.79507,0
2011-04-07,15.93,15.93,15.93,15.93,0.72,4.73373,0
2011-04-08,17.21,17.21,17.21,17.21,1.28,8.03515,0
2011-04-11,18.39,18.39,18.39,18.39,1.18,6.85648,0
2011-04-12,18.93,18.93,18.93,18.93,0.54,2.93638,0
2011-04-13,17.97,17.97,17.97,17.97,-0.96,-5.07132,0
2011-04-14,15.99,15.99,15.99,15.99,-1.98,-11.0184,0
2011-04-15,14.28,14.28,14.28,14.28,-1.71,-10.6942,0
2011-04-18,17.63,17.63,17.63,17.63,3.35,23.4594,0
2011-04-19,15.91,15.91,15.91,15.91,-1.72,-9.7561,0
2011-04-20,15.04,15.04,15.04,15.04,-0.87,-5.46826,0
2011-04-21,13.03,13.03,13.03,13.03,-2.01,-13.3644,0
2011-04-25,15.05,15.05,15.05,15.05,2.02,15.5027,0
2011-04-26,15.16,15.16,15.16,15.16,0.11,0.730897,0
2011-04-27,14.61,14.61,14.61,14.61,-0.55,-3.62797,0
