Time,Open,High,Low,Last,Change,%Chg,Volume
1990-01-02,17.24,17.24,17.24,17.24,,,0
1990-01-03,18.19,18.19,18.19,18.19,0.95,5.51044,0
1990-01-04,19.22,19.22,19.22,19.22,1.03,5.66245,0
1990-01-05,20.11,20.11,20.11,20.11,0.89,4.63059,0
1990-01-08,20.26,20.26,20.26,20.26,0.15,0.745898,0
1990-01-09,22.2,22.2,22.2,22.2,1.94,9.57552,0
1990-01-10,22.44,22.44,22.44,22.44,0.24,1.08108,0
1990-01-11,20.05,20.05,20.05,20.05,-2.39,-10.6506,0
1990-01-12,24.64,24.64,24.64,24.64,4.59,22.8928,0
1990-01-15,26.34,26.34,26.34,26.34,1.7,6.89935,0
1990-01-16,24.18,24.18,24.18,24.18,-2.16,-8.20046,0
1990-01-17,24.16,24.16,24.16,24.16,-0.02,-0.082713,0
1990-01-18,24.34,24.34,24.34,24.34,0.18,0.745033,0
1990-01-19,22.5,22.5,22.5,22.5,-1.84,-7.55957,0
1990-01-22,26.7,26.7,26.7,26.7,4.2,18.6667,0
1990-01-23,24.72,24.72,24.72,24.72,-1.98,-7.41573,0
1990-01-24,25.39,25.39,25.39,25.39,0.67,2.71036,0
1990-01-25,25.63,25.63,25.63,25.63,0.24,0.945254,0
1990-01-26,26.28,26.28,26.28,26.28,0.65,2.53609,0
1990-01-29,26.44,26.44,26.44,26.44,0.16,0.608828,0
1990-01-30,27.25,27.25,27.25,27.25,0.81,3.06354,0
1990-01-31,25.36,25.36,25.36,25.36,-1.89,-6.93578,0
1990-02-01,24.87,24.87,24.87,24.87,-0.49,-1.93218,0
1990-02-02,24.32,24.32,24.32,24.32,-0.55,-2.2115,0
1990-02-05,24.54,24.54,24.54,24.54,0.22,0.904605,0
1990-02-06,24.69,24.69,24.69,24.69,0.15,0.611247,0
1990-02-07,24.29,24.29,24.29,24.29,-0.4,-1.62009,0
1990-02-08,23.77,23.77,23.77,23.77,-0.52,-2.1408,0
1990-02-09,23.69,23.69,23.69,23.69,-0.08,-0.336559,0
1990-02-12,24.38,24.38,24.38,24.38,0.69,2.91262,0
1990-02-13,23.76,23.76,23.76,23.76,-0.62,-2.54307,0
1990-02-14,22.05,22.05,22.05,22.05,-1.71,-7.19697,0
1990-02-15,19.71,19.71,19.71,19.71,-2.34,-10.6122,0
1990-02-16,20.78,20.78,20.78,20.78,1.07,5.42872,0
1990-02-20,22.78,22.78,22.78,22.78,2.0,9.62464,0
1990-02-21,23.89,23.89,23.89,23.89,1.11,4.8727,0
1990-02-22,22.54,22.54,22.54,22.54,-1.35,-5.6509,0
1990-02-23,23.69,23.69,23.69,23.69,1.15,5.10204,0
1990-02-26,23.56,23.56,23.56,23.56,-0.13,-0.548755,0
1990-02-27,22.69,22.69,22.69,22.69,-0.87,-3.6927,0
1990-02-28,21.99,21.99,21.99,21.99,-0.7,-3.08506,0
1990-03-01,21.9,21.9,21.9,21.9,-0.09,-0.409277,0
1990-03-02,21.34,21.34,21.34,21.34,-0.56,-2.55708,0
1990-03-05,22.03,22.03,22.03,22.03,0.69,3.23336,0
1990-03-06,20.55,20.55,20.55,20.55,-1.48,-6.71811,0
1990-03-07,19.1,19.1,19.1,19.1,-1.45,-7.05596,0
1990-03-08,19.74,19.74,19.74,19.74,0.64,3.35079,0
1990-03-09,20.3,20.3,20.3,20.3,0.56,2.83688,0
1990-03-12,20.07,20.07,20.07,20.07,-0.23,-1.133,0
1990-03-13,21.05,21.05,21.05,21.05,0.98,4.88291,0
1990-03-14,19.65,19.65,19.65,19.65,-1.4,-6.65083,0
