Time,Open,High,Low,Last,Change,%Chg,Volume
2007-01-03,87.63,87.63,87.63,87.63,0.0,0.0,0
2007-01-04,88.19,88.19,88.19,88.19,0.56,0.639051,0
2007-01-05,90.17,90.17,90.17,90.17,1.98,2.24515,0
2007-01-08,92.04,92.04,92.04,92.04,1.87,2.07386,0
2007-01-09,92.76,92.76,92.76,92.76,0.72,0.782269,0
2007-01-10,93.78,93.78,93.78,93.78,1.02,1.09961,0
2007-01-11,85.97,85.97,85.97,85.97,-7.81,-8.328,0
2007-01-12,85.18,85.18,85.18,85.18,-0.79,-0.918925,0
2007-01-16,85.3,85.3,85.3,85.3,0.12,0.140878,0
2007-01-17,84.93,84.93,84.93,84.93,-0.37,-0.433763,0
2007-01-18,83.66,83.66,83.66,83.66,-1.27,-1.49535,0
2007-01-19,82.49,82.49,82.49,82.49,-1.17,-1.39852,0
2007-01-22,84.43,84.43,84.43,84.43,1.94,2.3518,0
2007-01-23,81.48,81.48,81.48,81.48,-2.95,-3.49402,0
2007-01-24,77.51,77.51,77.51,77.51,-3.97,-4.87236,0
2007-01-25,80.45,80.45,80.45,80.45,2.94,3.79306,0
2007-01-26,81.36,81.36,81.36,81.36,0.91,1.13114,0
2007-01-29,81.68,81.68,81.68,81.68,0.32,0.393314,0
2007-01-30,78.9,78.9,78.9,78.9,-2.78,-3.40353,0
2007-01-31,77.28,77.28,77.28,77.28,-1.62,-2.05323,0
2007-02-01,73.5,73.5,73.5,73.5,-3.78,-4.8913,0
2007-02-02,72.44,72.44,72.44,72.44,-1.06,-1.44218,0
2007-02-05,70.29,70.29,70.29,70.29,-2.15,-2.96797,0
2007-02-06,68.55,68.55,68.55,68.55,-1.74,-2.47546,0
2007-02-07,70.32,70.32,70.32,70.32,1.77,2.58206,0
2007-02-08,73.18,73.18,73.18,73.18,2.86,4.06712,0
2007-02-09,74.39,74.39,74.39,74.39,1.21,1.65346,0
2007-02-12,79.12,79.12,79.12,79.12,4.73,6.35838,0
2007-02-13,75.72,75.72,75.72,75.72,-3.4,-4.29727,0
2007-02-14,74.0,74.0,74.0,74.0,-1.72,-2.27153,0
2007-02-15,70.34,70.34,70.34,70.34,-3.66,-4.94595,0
2007-02-16,70.74,70.74,70.74,70.74,0.4,0.568666,0
2007-02-20,65.87,65.87,65.87,65.87,-4.87,-6.88437,0
2007-02-21,67.37,67.37,67.37,67.37,1.5,2.27721,0
2007-02-22,66.05,66.05,66.05,66.05,-1.32,-1.95933,0
2007-02-23,70.71,70.71,70.71,70.71,4.66,7.05526,0
2007-02-26,70.33,70.33,70.33,70.33,-0.38,-0.537406,0
2007-02-27,110.42,110.42,110.42,110.42,40.09,57.0027,0
2007-02-28,91.64,91.64,91.64,91.64,-18.78,-17.0078,0
2007-03-01,99.47,99.47,99.47,99.47,7.83,8.5443,0
2007-03-02,104.17,104.17,104.17,104.17,4.7,4.72504,0
2007-03-05,101.2,101.2,101.2,101.2,-2.97,-2.85111,0
2007-03-06,93.65,93.65,93.65,93.65,-7.55,-7.46047,0
2007-03-07,94.41,94.41,94.41,94.41,0.76,0.811532,0
2007-03-08,93.97,93.97,93.97,93.97,-0.44,-0.466052,0
2007-03-09,91.82,91.82,91.82,91.82,-2.15,-2.28796,0
2007-03-12,90.02,90.02,90.02,90.02,-1.8,-1.96036,0
2007-03-13,94.53,94.53,94.53,94.53,4.51,5.01,0
2007-03-14,98.08,98.08,98.08,98.08,3.55,3.75542,0
2007-03-15,99.55,99.55,99.55,99.55,1.47,1.49878,0
2007-03-16,102.74,102.74,102.74,102.74,3.19,3.20442,0
2007-03-19,93.9,93.9,93.9,93.9,-8.84,-8.60424,0
2007-03-20,89.55,89.55,89.55,89.55,-4.35,-4.63259,0
2007-03-21,94.13,94.13,94.13,94.13,4.58,5.11446,0
2007-03-22,95.52,95.52,95.52,95.52,1.39,1.47668,0
2007-03-23,96.37,96.37,96.37,96.37,0.85,0.889866,0
2007-03-26,95.95,95.95,95.95,95.95,-0.42,-0.43582,0
2007-03-27,101.0,101.0,101.0,101.0,5.05,5.26316,0
2007-03-28,104.79,104.79,104.79,104.79,3.79,3.75248,0
2007-03-29,102.31,102.31,102.31,102.31,-2.48,-2.36664,0
2007-03-30,99.78,99.78,99.78,99.78,-2.53,-2.47288,0
2007-04-02,98.92,98.92,98.92,98.92,-0.86,-0.861896,0
2007-04-03,94.98,94.98,94.98,94.98,-3.94,-3.98302,0
2007-04-04,96.12,96.12,96.12,96.12,1.14,1.20025,0
2007-04-05,93.6,93.6,93.6,93.6,-2.52,-2.62172,0
2007-04-09,92.3,92.3,92.3,92.3,-1.3,-1.38889,0
2007-04-10,87.37,87.37,87.37,87.37,-4.93,-5.34128,0
2007-04-11,93.47,93.47,93.47,93.47,6.1,6.9818,0
2007-04-12,91.38,91.38,91.38,91.38,-2.09,-2.23601,0
2007-04-13,88.71,88.71,88.71,88.71,-2.67,-2.92186,0
2007-04-16,83.98,83.98,83.98,83.98,-4.73,-5.33198,0
2007-04-17,83.68,83.68,83.68,83.68,-0.3,-0.357228,0
2007-04-18,80.59,80.59,80.59,80.59,-3.09,-3.69264,0
2007-04-19,77.91,77.91,77.91,77.91,-2.68,-3.32547,0
2007-04-20,79.18,79.18,79.18,79.18,1.27,1.63009,0
2007-04-23,79.33,79.33,79.33,79.33,0.15,0.189442,0
2007-04-24,77.83,77.83,77.83,77.83,-1.5,-1.89084,0
2007-04-25,80.79,80.79,80.79,80.79,2.96,3.80316,0
