Time,Open,High,Low,Last,Change,%Chg,Volume
2000-01-03,173.88,173.88,173.88,173.88,-0.9,,
2000-01-04,174.25,174.25,174.25,174.25,0.37,,
2000-01-05,176.9,176.9,176.9,176.9,2.65,,
2000-01-06,177.73,177.73,177.73,177.73,0.83,,
2000-01-07,178.25,178.25,178.25,178.25,0.52,,
2000-01-10,176.96,176.96,176.96,176.96,-1.29,,
2000-01-11,173.66,173.66,173.66,173.66,-3.3,,
2000-01-12,175.1,175.1,175.1,175.1,1.44,,
2000-01-13,176.42,176.42,176.42,176.42,1.32,,
2000-01-14,175.55,175.55,175.55,175.55,-0.87,,
2000-01-18,172.68,172.68,172.68,172.68,-2.87,,
2000-01-19,171.07,171.07,171.07,171.07,-1.61,,
2000-01-20,170.1,170.1,170.1,170.1,-0.97,,
2000-01-21,165.77,165.77,165.77,165.77,-4.33,,
2000-01-24,166.84,166.84,166.84,166.84,1.07,,
2000-01-25,165.07,165.07,165.07,165.07,-1.77,,
2000-01-26,165.07,165.07,165.07,165.07,0.0,,
2000-01-27,164.93,164.93,164.93,164.93,-0.14,,
2000-01-28,163.83,163.83,163.83,163.83,-1.1,,
2000-01-31,158.9,158.9,158.9,158.9,-4.93,,
2000-02-01,153.45,153.45,153.45,153.45,-5.45,,
2000-02-02,153.94,153.94,153.94,153.94,0.49,,
2000-02-03,151.39,151.39,151.39,151.39,-2.55,,
2000-02-04,152.3,152.3,152.3,152.3,0.91,,
2000-02-07,156.75,156.75,156.75,156.75,4.45,,
2000-02-08,156.85,156.85,156.85,156.85,0.1,,
2000-02-09,155.78,155.78,155.78,155.78,-1.07,,
2000-02-10,157.17,157.17,157.17,157.17,1.39,,
2000-02-11,154.26,154.26,154.26,154.26,-2.91,,
2000-02-14,153.96,153.96,153.96,153.96,-0.3,,
2000-02-15,153.65,153.65,153.65,153.65,-0.31,,
2000-02-16,154.94,154.94,154.94,154.94,1.29,,
2000-02-17,153.8,153.8,153.8,153.8,-1.14,,
2000-02-18,154.96,154.96,154.96,154.96,1.16,,
2000-02-22,155.29,155.29,155.29,155.29,0.33,,
2000-02-23,155.38,155.38,155.38,155.38,0.09,,
2000-02-24,155.61,155.61,155.61,155.61,0.23,,
2000-02-25,154.81,154.81,154.81,154.81,-0.8,,
2000-02-28,153.69,153.69,153.69,153.69,-1.12,,
2000-02-29,157.5,157.5,157.5,157.5,3.81,,
2000-03-01,157.93,157.93,157.93,157.93,0.43,,
2000-03-02,158.19,158.19,158.19,158.19,0.26,,
2000-03-03,158.87,158.87,158.87,158.87,0.68,,
2000-03-06,161.38,161.38,161.38,161.38,2.51,,
2000-03-07,159.1,159.1,159.1,159.1,-2.28,,
2000-03-08,159.28,159.28,159.28,159.28,0.18,,
2000-03-09,160.86,160.86,160.86,160.86,1.58,,
2000-03-10,160.72,160.72,160.72,160.72,-0.14,,
2000-03-13,161.4,161.4,161.4,161.4,0.68,,
2000-03-14,162.57,162.57,162.57,162.57,1.17,,
2000-03-15,162.14,162.14,162.14,162.14,-0.43,,
2000-03-16,162.37,162.37,162.37,162.37,0.23,,
2000-03-17,164.63,164.63,164.63,164.63,2.26,,
2000-03-20,164.19,164.19,164.19,164.19,-0.44,,
2000-03-21,161.83,161.83,161.83,161.83,-2.36,,
2000-03-22,164.14,164.14,164.14,164.14,2.31,,
2000-03-23,165.22,165.22,165.22,165.22,1.08,,
2000-03-24,168.87,168.87,168.87,168.87,3.65,,
2000-03-27,167.8,167.8,167.8,167.8,-1.07,,
2000-03-28,167.55,167.55,167.55,167.55,-0.25,,
2000-03-29,157.9,157.9,157.9,157.9,-9.65,,
2000-03-30,152.13,152.13,152.13,152.13,-5.77,,
2000-03-31,166.32,166.32,166.32,166.32,14.19,,
2000-04-03,166.2,166.2,166.2,166.2,-0.12,,
2000-04-04,165.85,165.85,165.85,165.85,-0.35,,
2000-04-05,166.37,166.37,166.37,166.37,0.52,,
2000-04-06,167.64,167.64,167.64,167.64,1.27,,
2000-04-07,166.8,166.8,166.8,166.8,-0.84,,
2000-04-10,164.98,164.98,164.98,164.98,-1.82,,
2000-04-11,164.88,164.88,164.88,164.88,-0.1,,
2000-04-12,164.77,164.77,164.77,164.77,-0.11,,
2000-04-13,165.53,165.53,165.53,165.53,0.76,,
2000-04-14,165.72,165.72,165.72,165.72,0.19,,
2000-04-17,165.53,165.53,165.53,165.53,-0.19,,
2000-04-18,166.12,166.12,166.12,166.12,0.59,,
2000-04-19,163.84,163.84,163.84,163.84,-2.28,,
2000-04-20,163.82,163.82,163.82,163.82,-0.02,,
2000-04-24,165.24,165.24,165.24,165.24,1.42,,
2000-04-25,164.77,164.77,164.77,164.77,-0.47,,
2000-04-26,164.91,164.91,164.91,164.91,0.14,,
2000-04-27,164.07,164.07,164.07,164.07,-0.84,,
2000-04-28,165.06,165.06,165.06,165.06,0.99,,
2000-05-01,169.17,169.17,169.17,169.17,4.11,,
2000-05-02,170.63,170.63,170.63,170.63,1.46,,
2000-05-03,170.75,170.75,170.75,170.75,0.12,,
2000-05-04,171.73,171.73,171.73,171.73,0.98,,
2000-05-05,175.28,175.28,175.28,175.28,3.55,,
2000-05-08,173.51,173.51,173.51,173.51,-1.77,,
2000-05-09,173.58,173.58,173.58,173.58,0.07,,
2000-05-10,175.39,175.39,175.39,175.39,1.81,,
2000-05-11,175.11,175.11,175.11,175.11,-0.28,,
2000-05-12,176.31,176.31,176.31,176.31,1.2,,
2000-05-15,176.18,176.18,176.18,176.18,-0.13,,
2000-05-16,176.1,176.1,176.1,176.1,-0.08,,
2000-05-17,182.07,182.07,182.07,182.07,5.97,,
2000-05-18,183.53,183.53,183.53,183.53,1.46,,
2000-05-19,183.42,183.42,183.42,183.42,-0.11,,
2000-05-22,181.02,181.02,181.02,181.02,-2.4,,
2000-05-23,181.1,181.1,181.1,181.1,0.08,,
2000-05-24,181.06,181.06,181.06,181.06,-0.04,,
2000-05-25,181.91,181.91,181.91,181.91,0.85,,
2000-05-26,184.99,184.99,184.99,184.99,3.08,,
2000-05-30,184.37,184.37,184.37,184.37,-0.62,,
2000-05-31,183.04,183.04,183.04,183.04,-1.33,,
2000-06-01,184.05,184.05,184.05,184.05,1.01,,
2000-06-02,185.48,185.48,185.48,185.48,1.43,,
2000-06-05,185.39,185.39,185.39,185.39,-0.09,,
2000-06-06,185.19,185.19,185.19,185.19,-0.2,,
2000-06-07,182.96,182.96,182.96,182.96,-2.23,,
2000-06-08,181.81,181.81,181.81,181.81,-1.15,,
2000-06-09,180.9,180.9,180.9,180.9,-0.91,,
2000-06-12,179.44,179.44,179.44,179.44,-1.46,,
2000-06-13,178.4,178.4,178.4,178.4,-1.04,,
2000-06-14,170.86,170.86,170.86,170.86,-7.54,,
2000-06-15,169.63,169.63,169.63,169.63,-1.23,,
2000-06-16,168.87,168.87,168.87,168.87,-0.76,,
2000-06-19,169.5,169.5,169.5,169.5,0.63,,
2000-06-20,167.47,167.47,167.47,167.47,-2.03,,
2000-06-21,162.79,162.79,162.79,162.79,-4.68,,
2000-06-22,160.99,160.99,160.99,160.99,-1.8,,
2000-06-23,158.67,158.67,158.67,158.67,-2.32,,
2000-06-26,159.32,159.32,159.32,159.32,0.65,,
2000-06-27,159.37,159.37,159.37,159.37,0.05,,
2000-06-28,161.44,161.44,161.44,161.44,2.07,,
2000-06-29,161.52,161.52,161.52,161.52,0.08,,
2000-06-30,160.42,160.42,160.42,160.42,-1.1,,
2000-07-03,160.09,160.09,160.09,160.09,-0.33,,
2000-07-05,159.51,159.51,159.51,159.51,-0.58,,
2000-07-06,154.06,154.06,154.06,154.06,-5.45,,
2000-07-07,153.36,153.36,153.36,153.36,-0.7,,
2000-07-10,153.49,153.49,153.49,153.49,0.13,,
2000-07-11,154.18,154.18,154.18,154.18,0.69,,
2000-07-12,154.08,154.08,154.08,154.08,-0.1,,
2000-07-13,151.98,151.98,151.98,151.98,-2.1,,
2000-07-14,151.27,151.27,151.27,151.27,-0.71,,
2000-07-17,150.2,150.2,150.2,150.2,-1.07,,
2000-07-18,150.02,150.02,150.02,150.02,-0.18,,
2000-07-19,150.02,150.02,150.02,150.02,0.0,,
2000-07-20,150.32,150.32,150.32,150.32,0.3,,
2000-07-21,150.66,150.66,150.66,150.66,0.34,,
2000-07-24,150.32,150.32,150.32,150.32,-0.34,,
2000-07-25,149.96,149.96,149.96,149.96,-0.36,,
2000-07-26,150.05,150.05,150.05,150.05,0.09,,
2000-07-27,150.26,150.26,150.26,150.26,0.21,,
2000-07-28,150.35,150.35,150.35,150.35,0.09,,
2000-07-31,151.07,151.07,151.07,151.07,0.72,,
2000-08-01,150.09,150.09,150.09,150.09,-0.98,,
2000-08-02,152.04,152.04,152.04,152.04,1.95,,
2000-08-03,152.94,152.94,152.94,152.94,0.9,,
2000-08-04,153.02,153.02,153.02,153.02,0.08,,
2000-08-07,153.08,153.08,153.08,153.08,0.06,,
2000-08-08,153.4,153.4,153.4,153.4,0.32,,
2000-08-09,153.03,153.03,153.03,153.03,-0.37,,
2000-08-10,150.97,150.97,150.97,150.97,-2.06,,
2000-08-11,149.78,149.78,149.78,149.78,-1.19,,
2000-08-14,151.07,151.07,151.07,151.07,1.29,,
2000-08-15,151.82,151.82,151.82,151.82,0.75,,
2000-08-16,152.27,152.27,152.27,152.27,0.45,,
2000-08-17,154.68,154.68,154.68,154.68,2.41,,
2000-08-18,153.39,153.39,153.39,153.39,-1.29,,
2000-08-21,152.79,152.79,152.79,152.79,-0.6,,
2000-08-22,154.63,154.63,154.63,154.63,1.84,,
2000-08-23,154.24,154.24,154.24,154.24,-0.39,,
2000-08-24,152.36,152.36,152.36,152.36,-1.88,,
2000-08-25,152.89,152.89,152.89,152.89,0.53,,
2000-08-28,153.8,153.8,153.8,153.8,0.91,,
2000-08-29,154.88,154.88,154.88,154.88,1.08,,
2000-08-30,156.88,156.88,156.88,156.88,2.0,,
2000-08-31,157.45,157.45,157.45,157.45,0.57,,
2000-09-01,156.91,156.91,156.91,156.91,-0.54,,
2000-09-05,157.28,157.28,157.28,157.28,0.37,,
