Time,Open,High,Low,Last,Change,%Chg,Volume
2000-01-03,177.69,177.69,177.69,177.69,-0.41,,
2000-01-04,178.57,178.57,178.57,178.57,0.88,,
2000-01-05,181.39,181.39,181.39,181.39,2.82,,
2000-01-06,178.38,178.38,178.38,178.38,-3.01,,
2000-01-07,179.38,179.38,179.38,179.38,1.0,,
2000-01-10,179.44,179.44,179.44,179.44,0.06,,
2000-01-11,178.94,178.94,178.94,178.94,-0.5,,
2000-01-12,181.11,181.11,181.11,181.11,2.17,,
2000-01-13,183.24,183.24,183.24,183.24,2.13,,
2000-01-14,182.81,182.81,182.81,182.81,-0.43,,
2000-01-18,182.5,182.5,182.5,182.5,-0.31,,
2000-01-19,182.77,182.77,182.77,182.77,0.27,,
2000-01-20,181.05,181.05,181.05,181.05,-1.72,,
2000-01-21,179.72,179.72,179.72,179.72,-1.33,,
2000-01-24,180.84,180.84,180.84,180.84,1.12,,
2000-01-25,181.04,181.04,181.04,181.04,0.2,,
2000-01-26,179.9,179.9,179.9,179.9,-1.14,,
2000-01-27,179.88,179.88,179.88,179.88,-0.02,,
2000-01-28,180.34,180.34,180.34,180.34,0.46,,
2000-01-31,178.33,178.33,178.33,178.33,-2.01,,
2000-02-01,177.57,177.57,177.57,177.57,-0.76,,
2000-02-02,177.19,177.19,177.19,177.19,-0.38,,
2000-02-03,175.13,175.13,175.13,175.13,-2.06,,
2000-02-04,175.52,175.52,175.52,175.52,0.39,,
2000-02-07,176.53,176.53,176.53,176.53,1.01,,
2000-02-08,176.36,176.36,176.36,176.36,-0.17,,
2000-02-09,176.29,176.29,176.29,176.29,-0.07,,
2000-02-10,177.11,177.11,177.11,177.11,0.82,,
2000-02-11,174.64,174.64,174.64,174.64,-2.47,,
2000-02-14,174.26,174.26,174.26,174.26,-0.38,,
2000-02-15,175.07,175.07,175.07,175.07,0.81,,
2000-02-16,175.97,175.97,175.97,175.97,0.9,,
2000-02-17,175.69,175.69,175.69,175.69,-0.28,,
2000-02-18,176.44,176.44,176.44,176.44,0.75,,
2000-02-22,176.38,176.38,176.38,176.38,-0.06,,
2000-02-23,175.54,175.54,175.54,175.54,-0.84,,
2000-02-24,175.48,175.48,175.48,175.48,-0.06,,
2000-02-25,173.69,173.69,173.69,173.69,-1.79,,
2000-02-28,173.16,173.16,173.16,173.16,-0.53,,
2000-02-29,175.48,175.48,175.48,175.48,2.32,,
2000-03-01,177.01,177.01,177.01,177.01,1.53,,
2000-03-02,177.76,177.76,177.76,177.76,0.75,,
2000-03-03,179.87,179.87,179.87,179.87,2.11,,
2000-03-06,180.87,180.87,180.87,180.87,1.0,,
2000-03-07,180.89,180.89,180.89,180.89,0.02,,
2000-03-08,182.38,182.38,182.38,182.38,1.49,,
2000-03-09,181.99,181.99,181.99,181.99,-0.39,,
2000-03-10,181.07,181.07,181.07,181.07,-0.92,,
2000-03-13,183.19,183.19,183.19,183.19,2.12,,
2000-03-14,185.24,185.24,185.24,185.24,2.05,,
2000-03-15,185.39,185.39,185.39,185.39,0.15,,
2000-03-16,184.25,184.25,184.25,184.25,-1.14,,
2000-03-17,187.73,187.73,187.73,187.73,3.48,,
2000-03-20,186.49,186.49,186.49,186.49,-1.24,,
2000-03-21,185.8,185.8,185.8,185.8,-0.69,,
2000-03-22,186.92,186.92,186.92,186.92,1.12,,
2000-03-23,185.6,185.6,185.6,185.6,-1.32,,
2000-03-24,187.11,187.11,187.11,187.11,1.51,,
2000-03-27,186.7,186.7,186.7,186.7,-0.41,,
2000-03-28,186.31,186.31,186.31,186.31,-0.39,,
2000-03-29,181.37,181.37,181.37,181.37,-4.94,,
2000-03-30,182.44,182.44,182.44,182.44,1.07,,
2000-03-31,190.05,190.05,190.05,190.05,7.61,,
2000-04-03,189.65,189.65,189.65,189.65,-0.4,,
2000-04-04,190.15,190.15,190.15,190.15,0.5,,
2000-04-05,190.1,190.1,190.1,190.1,-0.05,,
2000-04-06,189.22,189.22,189.22,189.22,-0.88,,
2000-04-07,189.21,189.21,189.21,189.21,-0.01,,
2000-04-10,188.26,188.26,188.26,188.26,-0.95,,
2000-04-11,187.94,187.94,187.94,187.94,-0.32,,
2000-04-12,188.53,188.53,188.53,188.53,0.59,,
2000-04-13,190.56,190.56,190.56,190.56,2.03,,
2000-04-14,190.6,190.6,190.6,190.6,0.04,,
