Time,Open,High,Low,Last,Change,%Chg,Volume
2000-01-03,267.35,267.35,267.35,267.35,1.63,,
2000-01-04,268.28,268.28,268.28,268.28,0.93,,
2000-01-05,269.65,269.65,269.65,269.65,1.37,,
2000-01-06,269.98,269.98,269.98,269.98,0.33,,
2000-01-07,270.08,270.08,270.08,270.08,0.1,,
2000-01-10,269.27,269.27,269.27,269.27,-0.81,,
2000-01-11,265.44,265.44,265.44,265.44,-3.83,,
2000-01-12,263.37,263.37,263.37,263.37,-2.07,,
2000-01-13,265.28,265.28,265.28,265.28,1.91,,
2000-01-14,264.16,264.16,264.16,264.16,-1.12,,
2000-01-18,260.64,260.64,260.64,260.64,-3.52,,
2000-01-19,260.18,260.18,260.18,260.18,-0.46,,
2000-01-20,258.09,258.09,258.09,258.09,-2.09,,
2000-01-21,257.17,257.17,257.17,257.17,-0.92,,
2000-01-24,258.18,258.18,258.18,258.18,1.01,,
2000-01-25,256.45,256.45,256.45,256.45,-1.73,,
2000-01-26,256.31,256.31,256.31,256.31,-0.14,,
2000-01-27,254.75,254.75,254.75,254.75,-1.56,,
2000-01-28,254.09,254.09,254.09,254.09,-0.66,,
2000-01-31,247.84,247.84,247.84,247.84,-6.25,,
2000-02-01,241.15,241.15,241.15,241.15,-6.69,,
2000-02-02,240.97,240.97,240.97,240.97,-0.18,,
2000-02-03,238.49,238.49,238.49,238.49,-2.48,,
2000-02-04,241.16,241.16,241.16,241.16,2.67,,
2000-02-07,246.37,246.37,246.37,246.37,5.21,,
2000-02-08,246.77,246.77,246.77,246.77,0.4,,
2000-02-09,248.22,248.22,248.22,248.22,1.45,,
2000-02-10,249.1,249.1,249.1,249.1,0.88,,
2000-02-11,247.08,247.08,247.08,247.08,-2.02,,
2000-02-14,247.37,247.37,247.37,247.37,0.29,,
2000-02-15,247.6,247.6,247.6,247.6,0.23,,
2000-02-16,246.79,246.79,246.79,246.79,-0.81,,
2000-02-17,246.07,246.07,246.07,246.07,-0.72,,
2000-02-18,246.6,246.6,246.6,246.6,0.53,,
2000-02-22,247.23,247.23,247.23,247.23,0.63,,
2000-02-23,246.95,246.95,246.95,246.95,-0.28,,
2000-02-24,246.99,246.99,246.99,246.99,0.04,,
2000-02-25,247.61,247.61,247.61,247.61,0.62,,
2000-02-28,243.53,243.53,243.53,243.53,-4.08,,
2000-02-29,247.37,247.37,247.37,247.37,3.84,,
2000-03-01,248.66,248.66,248.66,248.66,1.29,,
2000-03-02,248.87,248.87,248.87,248.87,0.21,,
2000-03-03,249.17,249.17,249.17,249.17,0.3,,
2000-03-06,252.21,252.21,252.21,252.21,3.04,,
2000-03-07,250.35,250.35,250.35,250.35,-1.86,,
2000-03-08,251.33,251.33,251.33,251.33,0.98,,
2000-03-09,253.31,253.31,253.31,253.31,1.98,,
2000-03-10,253.72,253.72,253.72,253.72,0.41,,
2000-03-13,254.89,254.89,254.89,254.89,1.17,,
2000-03-14,255.8,255.8,255.8,255.8,0.91,,
2000-03-15,255.52,255.52,255.52,255.52,-0.28,,
2000-03-16,255.1,255.1,255.1,255.1,-0.42,,
2000-03-17,255.97,255.97,255.97,255.97,0.87,,
2000-03-20,256.73,256.73,256.73,256.73,0.76,,
2000-03-21,254.63,254.63,254.63,254.63,-2.1,,
2000-03-22,254.13,254.13,254.13,254.13,-0.5,,
2000-03-23,258.12,258.12,258.12,258.12,3.99,,
2000-03-24,257.62,257.62,257.62,257.62,-0.5,,
2000-03-27,255.37,255.37,255.37,255.37,-2.25,,
2000-03-28,255.71,255.71,255.71,255.71,0.34,,
2000-03-29,242.86,242.86,242.86,242.86,-12.85,,
2000-03-30,236.6,236.6,236.6,236.6,-6.26,,
2000-03-31,254.21,254.21,254.21,254.21,17.61,,
2000-04-03,254.57,254.57,254.57,254.57,0.36,,
2000-04-04,254.88,254.88,254.88,254.88,0.31,,
2000-04-05,254.41,254.41,254.41,254.41,-0.47,,
2000-04-06,256.51,256.51,256.51,256.51,2.1,,
2000-04-07,256.09,256.09,256.09,256.09,-0.42,,
2000-04-10,257.29,257.29,257.29,257.29,1.2,,
2000-04-11,258.22,258.22,258.22,258.22,0.93,,
2000-04-12,258.72,258.72,258.72,258.72,0.5,,
2000-04-13,259.99,259.99,259.99,259.99,1.27,,
2000-04-14,261.41,261.41,261.41,261.41,1.42,,
2000-04-17,261.05,261.05,261.05,261.05,-0.36,,
2000-04-18,259.99,259.99,259.99,259.99,-1.06,,
2000-04-19,256.45,256.45,256.45,256.45,-3.54,,
2000-04-20,257.75,257.75,257.75,257.75,1.3,,
2000-04-24,258.17,258.17,258.17,258.17,0.42,,
2000-04-25,259.62,259.62,259.62,259.62,1.45,,
2000-04-26,261.15,261.15,261.15,261.15,1.53,,
2000-04-27,261.39,261.39,261.39,261.39,0.24,,
2000-04-28,262.76,262.76,262.76,262.76,1.37,,
2000-05-01,265.28,265.28,265.28,265.28,2.52,,
2000-05-02,265.58,265.58,265.58,265.58,0.3,,
2000-05-03,265.37,265.37,265.37,265.37,-0.21,,
2000-05-04,266.38,266.38,266.38,266.38,1.01,,
2000-05-05,265.51,265.51,265.51,265.51,-0.87,,
2000-05-08,266.94,266.94,266.94,266.94,1.43,,
2000-05-09,267.79,267.79,267.79,267.79,0.85,,
2000-05-10,268.91,268.91,268.91,268.91,1.12,,
2000-05-11,266.61,266.61,266.61,266.61,-2.3,,
2000-05-12,269.19,269.19,269.19,269.19,2.58,,
2000-05-15,269.77,269.77,269.77,269.77,0.58,,
2000-05-16,268.49,268.49,268.49,268.49,-1.28,,
2000-05-17,269.51,269.51,269.51,269.51,1.02,,
2000-05-18,270.22,270.22,270.22,270.22,0.71,,
2000-05-19,269.78,269.78,269.78,269.78,-0.44,,
2000-05-22,269.26,269.26,269.26,269.26,-0.52,,
2000-05-23,269.08,269.08,269.08,269.08,-0.18,,
2000-05-24,269.33,269.33,269.33,269.33,0.25,,
2000-05-25,271.65,271.65,271.65,271.65,2.32,,
2000-05-26,269.37,269.37,269.37,269.37,-2.28,,
2000-05-30,270.96,270.96,270.96,270.96,1.59,,
2000-05-31,269.93,269.93,269.93,269.93,-1.03,,
2000-06-01,269.59,269.59,269.59,269.59,-0.34,,
2000-06-02,270.11,270.11,270.11,270.11,0.52,,
2000-06-05,271.32,271.32,271.32,271.32,1.21,,
2000-06-06,272.11,272.11,272.11,272.11,0.79,,
2000-06-07,271.11,271.11,271.11,271.11,-1.0,,
2000-06-08,268.25,268.25,268.25,268.25,-2.86,,
2000-06-09,269.69,269.69,269.69,269.69,1.44,,
2000-06-12,268.77,268.77,268.77,268.77,-0.92,,
2000-06-13,267.6,267.6,267.6,267.6,-1.17,,
2000-06-14,261.56,261.56,261.56,261.56,-6.04,,
2000-06-15,258.85,258.85,258.85,258.85,-2.71,,
2000-06-16,259.02,259.02,259.02,259.02,0.17,,
2000-06-19,259.12,259.12,259.12,259.12,0.1,,
2000-06-20,257.08,257.08,257.08,257.08,-2.04,,
2000-06-21,253.12,253.12,253.12,253.12,-3.96,,
2000-06-22,250.84,250.84,250.84,250.84,-2.28,,
2000-06-23,250.32,250.32,250.32,250.32,-0.52,,
2000-06-26,251.81,251.81,251.81,251.81,1.49,,
2000-06-27,250.83,250.83,250.83,250.83,-0.98,,
2000-06-28,251.19,251.19,251.19,251.19,0.36,,
2000-06-29,251.23,251.23,251.23,251.23,0.04,,
2000-06-30,248.24,248.24,248.24,248.24,-2.99,,
2000-07-03,246.22,246.22,246.22,246.22,-2.02,,
2000-07-05,247.77,247.77,247.77,247.77,1.55,,
2000-07-06,241.39,241.39,241.39,241.39,-6.38,,
2000-07-07,241.78,241.78,241.78,241.78,0.39,,
2000-07-10,242.64,242.64,242.64,242.64,0.86,,
2000-07-11,244.13,244.13,244.13,244.13,1.49,,
2000-07-12,243.42,243.42,243.42,243.42,-0.71,,
2000-07-13,242.38,242.38,242.38,242.38,-1.04,,
2000-07-14,240.47,240.47,240.47,240.47,-1.91,,
2000-07-17,240.46,240.46,240.46,240.46,-0.01,,
2000-07-18,240.96,240.96,240.96,240.96,0.5,,
2000-07-19,240.52,240.52,240.52,240.52,-0.44,,
