Time,Open,High,Low,Last,Change,%Chg,Volume
2000-01-03,261.6,261.6,261.6,261.6,0.0,,
2000-01-04,258.21,258.21,258.21,258.21,-3.39,,
2000-01-05,262.81,262.81,262.81,262.81,4.6,,
2000-01-06,263.8,263.8,263.8,263.8,0.99,,
2000-01-07,263.94,263.94,263.94,263.94,0.14,,
2000-01-10,264.0,264.0,264.0,264.0,0.06,,
2000-01-11,263.11,263.11,263.11,263.11,-0.89,,
2000-01-12,262.02,262.02,262.02,262.02,-1.09,,
2000-01-13,262.57,262.57,262.57,262.57,0.55,,
2000-01-14,261.87,261.87,261.87,261.87,-0.7,,
2000-01-18,261.01,261.01,261.01,261.01,-0.86,,
2000-01-19,262.74,262.74,262.74,262.74,1.73,,
2000-01-20,262.46,262.46,262.46,262.46,-0.28,,
2000-01-21,262.7,262.7,262.7,262.7,0.24,,
2000-01-24,261.79,261.79,261.79,261.79,-0.91,,
2000-01-25,262.12,262.12,262.12,262.12,0.33,,
2000-01-26,260.52,260.52,260.52,260.52,-1.6,,
2000-01-27,259.32,259.32,259.32,259.32,-1.2,,
2000-01-28,258.77,258.77,258.77,258.77,-0.55,,
2000-01-31,258.87,258.87,258.87,258.87,0.1,,
2000-02-01,253.17,253.17,253.17,253.17,-5.7,,
2000-02-02,252.82,252.82,252.82,252.82,-0.35,,
2000-02-03,252.41,252.41,252.41,252.41,-0.41,,
2000-02-04,251.92,251.92,251.92,251.92,-0.49,,
2000-02-07,250.16,250.16,250.16,250.16,-1.76,,
2000-02-08,249.16,249.16,249.16,249.16,-1.0,,
2000-02-09,249.3,249.3,249.3,249.3,0.14,,
2000-02-10,249.94,249.94,249.94,249.94,0.64,,
2000-02-11,250.3,250.3,250.3,250.3,0.36,,
2000-02-14,249.64,249.64,249.64,249.64,-0.66,,
2000-02-15,248.9,248.9,248.9,248.9,-0.74,,
2000-02-16,246.97,246.97,246.97,246.97,-1.93,,
2000-02-17,247.88,247.88,247.88,247.88,0.91,,
2000-02-18,248.03,248.03,248.03,248.03,0.15,,
2000-02-22,246.59,246.59,246.59,246.59,-1.44,,
2000-02-23,249.12,249.12,249.12,249.12,2.53,,
2000-02-24,249.06,249.06,249.06,249.06,-0.06,,
2000-02-25,242.53,242.53,242.53,242.53,-6.53,,
2000-02-28,239.49,239.49,239.49,239.49,-3.04,,
2000-02-29,238.39,238.39,238.39,238.39,-1.1,,
2000-03-01,239.1,239.1,239.1,239.1,0.71,,
2000-03-02,240.73,240.73,240.73,240.73,1.63,,
2000-03-03,241.22,241.22,241.22,241.22,0.49,,
2000-03-06,240.61,240.61,240.61,240.61,-0.61,,
2000-03-07,242.24,242.24,242.24,242.24,1.63,,
2000-03-08,241.11,241.11,241.11,241.11,-1.13,,
2000-03-09,241.1,241.1,241.1,241.1,-0.01,,
2000-03-10,240.93,240.93,240.93,240.93,-0.17,,
2000-03-13,240.07,240.07,240.07,240.07,-0.86,,
2000-03-14,239.53,239.53,239.53,239.53,-0.54,,
2000-03-15,238.86,238.86,238.86,238.86,-0.67,,
2000-03-16,240.21,240.21,240.21,240.21,1.35,,
