Time,Open,High,Low,Last,Change,%Chg,Volume
2000-01-03,268.66,268.66,268.66,268.66,-0.22,,
2000-01-04,267.31,267.31,267.31,267.31,-1.35,,
2000-01-05,269.8,269.8,269.8,269.8,2.49,,
2000-01-06,270.43,270.43,270.43,270.43,0.63,,
2000-01-07,270.87,270.87,270.87,270.87,0.44,,
2000-01-10,270.37,270.37,270.37,270.37,-0.5,,
2000-01-11,269.03,269.03,269.03,269.03,-1.34,,
2000-01-12,267.62,267.62,267.62,267.62,-1.41,,
2000-01-13,268.49,268.49,268.49,268.49,0.87,,
2000-01-14,268.06,268.06,268.06,268.06,-0.43,,
2000-01-18,266.05,266.05,266.05,266.05,-2.01,,
2000-01-19,267.01,267.01,267.01,267.01,0.96,,
2000-01-20,267.78,267.78,267.78,267.78,0.77,,
2000-01-21,267.73,267.73,267.73,267.73,-0.05,,
2000-01-24,267.56,267.56,267.56,267.56,-0.17,,
2000-01-25,267.59,267.59,267.59,267.59,0.03,,
2000-01-26,266.84,266.84,266.84,266.84,-0.75,,
2000-01-27,266.41,266.41,266.41,266.41,-0.43,,
2000-01-28,265.2,265.2,265.2,265.2,-1.21,,
2000-01-31,264.21,264.21,264.21,264.21,-0.99,,
2000-02-01,259.12,259.12,259.12,259.12,-5.09,,
2000-02-02,259.34,259.34,259.34,259.34,0.22,,
2000-02-03,259.39,259.39,259.39,259.39,0.05,,
2000-02-04,259.31,259.31,259.31,259.31,-0.08,,
2000-02-07,260.81,260.81,260.81,260.81,1.5,,
2000-02-08,260.16,260.16,260.16,260.16,-0.65,,
2000-02-09,261.52,261.52,261.52,261.52,1.36,,
2000-02-10,262.78,262.78,262.78,262.78,1.26,,
2000-02-11,262.37,262.37,262.37,262.37,-0.41,,
2000-02-14,262.29,262.29,262.29,262.29,-0.08,,
2000-02-15,261.73,261.73,261.73,261.73,-0.56,,
2000-02-16,260.77,260.77,260.77,260.77,-0.96,,
2000-02-17,261.16,261.16,261.16,261.16,0.39,,
2000-02-18,261.96,261.96,261.96,261.96,0.8,,
2000-02-22,261.74,261.74,261.74,261.74,-0.22,,
2000-02-23,262.88,262.88,262.88,262.88,1.14,,
2000-02-24,263.05,263.05,263.05,263.05,0.17,,
2000-02-25,260.28,260.28,260.28,260.28,-2.77,,
2000-02-28,259.08,259.08,259.08,259.08,-1.2,,
2000-02-29,258.48,258.48,258.48,258.48,-0.6,,
2000-03-01,259.43,259.43,259.43,259.43,0.95,,
2000-03-02,259.9,259.9,259.9,259.9,0.47,,
2000-03-03,259.92,259.92,259.92,259.92,0.02,,
2000-03-06,260.71,260.71,260.71,260.71,0.79,,
2000-03-07,260.42,260.42,260.42,260.42,-0.29,,
2000-03-08,260.23,260.23,260.23,260.23,-0.19,,
2000-03-09,261.22,261.22,261.22,261.22,0.99,,
2000-03-10,261.36,261.36,261.36,261.36,0.14,,
2000-03-13,260.74,260.74,260.74,260.74,-0.62,,
2000-03-14,260.65,260.65,260.65,260.65,-0.09,,
2000-03-15,260.1,260.1,260.1,260.1,-0.55,,
2000-03-16,260.18,260.18,260.18,260.18,0.08,,
2000-03-17,260.26,260.26,260.26,260.26,0.08,,
2000-03-20,262.79,262.79,262.79,262.79,2.53,,
2000-03-21,261.69,261.69,261.69,261.69,-1.1,,
2000-03-22,261.25,261.25,261.25,261.25,-0.44,,
2000-03-23,261.87,261.87,261.87,261.87,0.62,,
2000-03-24,261.87,261.87,261.87,261.87,0.0,,
2000-03-27,259.77,259.77,259.77,259.77,-2.1,,
2000-03-28,259.56,259.56,259.56,259.56,-0.21,,
2000-03-29,259.21,259.21,259.21,259.21,-0.35,,
2000-03-30,257.41,257.41,257.41,257.41,-1.8,,
2000-03-31,258.51,258.51,258.51,258.51,1.1,,
2000-04-03,258.32,258.32,258.32,258.32,-0.19,,
2000-04-04,257.43,257.43,257.43,257.43,-0.89,,
2000-04-05,257.66,257.66,257.66,257.66,0.23,,
2000-04-06,259.4,259.4,259.4,259.4,1.74,,
