Time,Open,High,Low,Last,Change,%Chg,Volume
2000-01-03,223.32,223.32,223.32,223.32,-0.43,,
2000-01-04,223.32,223.32,223.32,223.32,0.0,,
2000-01-05,224.05,224.05,224.05,224.05,0.73,,
2000-01-06,224.48,224.48,224.48,224.48,0.43,,
2000-01-07,226.33,226.33,226.33,226.33,1.85,,
2000-01-10,226.33,226.33,226.33,226.33,0.0,,
2000-01-11,226.94,226.94,226.94,226.94,0.61,,
2000-01-12,226.57,226.57,226.57,226.57,-0.37,,
2000-01-13,227.52,227.52,227.52,227.52,0.95,,
2000-01-14,228.31,228.31,228.31,228.31,0.79,,
2000-01-18,227.71,227.71,227.71,227.71,-0.6,,
2000-01-19,227.71,227.71,227.71,227.71,0.0,,
2000-01-20,227.6,227.6,227.6,227.6,-0.11,,
2000-01-21,226.51,226.51,226.51,226.51,-1.09,,
2000-01-24,226.66,226.66,226.66,226.66,0.15,,
2000-01-25,227.8,227.8,227.8,227.8,1.14,,
2000-01-26,227.46,227.46,227.46,227.46,-0.34,,
2000-01-27,227.52,227.52,227.52,227.52,0.06,,
2000-01-28,227.38,227.38,227.38,227.38,-0.14,,
2000-01-31,227.68,227.68,227.68,227.68,0.3,,
2000-02-01,227.21,227.21,227.21,227.21,-0.47,,
2000-02-02,227.15,227.15,227.15,227.15,-0.06,,
2000-02-03,226.16,226.16,226.16,226.16,-0.99,,
2000-02-04,226.0,226.0,226.0,226.0,-0.16,,
2000-02-07,226.08,226.08,226.08,226.08,0.08,,
2000-02-08,225.4,225.4,225.4,225.4,-0.68,,
2000-02-09,225.94,225.94,225.94,225.94,0.54,,
2000-02-10,227.41,227.41,227.41,227.41,1.47,,
2000-02-11,227.2,227.2,227.2,227.2,-0.21,,
2000-02-14,227.72,227.72,227.72,227.72,0.52,,
2000-02-15,227.21,227.21,227.21,227.21,-0.51,,
2000-02-16,227.06,227.06,227.06,227.06,-0.15,,
2000-02-17,227.28,227.28,227.28,227.28,0.22,,
2000-02-18,229.38,229.38,229.38,229.38,2.1,,
2000-02-22,230.42,230.42,230.42,230.42,1.04,,
2000-02-23,230.04,230.04,230.04,230.04,-0.38,,
2000-02-24,229.66,229.66,229.66,229.66,-0.38,,
2000-02-25,228.59,228.59,228.59,228.59,-1.07,,
2000-02-28,229.12,229.12,229.12,229.12,0.53,,
2000-02-29,228.7,228.7,228.7,228.7,-0.42,,
2000-03-01,231.31,231.31,231.31,231.31,2.61,,
2000-03-02,230.71,230.71,230.71,230.71,-0.6,,
2000-03-03,230.98,230.98,230.98,230.98,0.27,,
2000-03-06,231.32,231.32,231.32,231.32,0.34,,
2000-03-07,231.96,231.96,231.96,231.96,0.64,,
2000-03-08,233.13,233.13,233.13,233.13,1.17,,
2000-03-09,233.49,233.49,233.49,233.49,0.36,,
2000-03-10,234.12,234.12,234.12,234.12,0.63,,
2000-03-13,233.63,233.63,233.63,233.63,-0.49,,
2000-03-14,234.02,234.02,234.02,234.02,0.39,,
2000-03-15,233.99,233.99,233.99,233.99,-0.03,,
2000-03-16,233.51,233.51,233.51,233.51,-0.48,,
2000-03-17,233.62,233.62,233.62,233.62,0.11,,
2000-03-20,239.81,239.81,239.81,239.81,6.19,,
2000-03-21,239.99,239.99,239.99,239.99,0.18,,
2000-03-22,238.87,238.87,238.87,238.87,-1.12,,
2000-03-23,237.88,237.88,237.88,237.88,-0.99,,
2000-03-24,237.55,237.55,237.55,237.55,-0.33,,
2000-03-27,236.72,236.72,236.72,236.72,-0.83,,
2000-03-28,236.67,236.67,236.67,236.67,-0.05,,
2000-03-29,235.46,235.46,235.46,235.46,-1.21,,
2000-03-30,236.37,236.37,236.37,236.37,0.91,,
2000-03-31,236.96,236.96,236.96,236.96,0.59,,
2000-04-03,237.15,237.15,237.15,237.15,0.19,,
2000-04-04,234.97,234.97,234.97,234.97,-2.18,,
2000-04-05,234.19,234.19,234.19,234.19,-0.78,,
2000-04-06,233.31,233.31,233.31,233.31,-0.88,,
2000-04-07,234.1,234.1,234.1,234.1,0.79,,
2000-04-10,233.87,233.87,233.87,233.87,-0.23,,
2000-04-11,232.66,232.66,232.66,232.66,-1.21,,
2000-04-12,233.13,233.13,233.13,233.13,0.47,,
2000-04-13,234.59,234.59,234.59,234.59,1.46,,
2000-04-14,234.44,234.44,234.44,234.44,-0.15,,
2000-04-17,234.36,234.36,234.36,234.36,-0.08,,
2000-04-18,234.68,234.68,234.68,234.68,0.32,,
2000-04-19,234.12,234.12,234.12,234.12,-0.56,,
2000-04-20,234.29,234.29,234.29,234.29,0.17,,
2000-04-24,234.02,234.02,234.02,234.02,-0.27,,
2000-04-25,234.25,234.25,234.25,234.25,0.23,,
2000-04-26,234.5,234.5,234.5,234.5,0.25,,
2000-04-27,234.69,234.69,234.69,234.69,0.19,,
