Time,Open,High,Low,Last,Change,%Chg,Volume
2009-03-05,38.08,40.02,37.05,38.2,22.05,,0
2009-03-06,37.8,40.49,37.8,39.19,0.99,,0
2009-03-09,38.9,40.3,37.71,37.71,-1.48,,0
2009-03-10,37.71,37.82,35.94,35.95,-1.76,,0
2009-03-11,36.36,36.41,34.46,35.58,-0.37,,0
2009-03-12,34.56,35.8,33.85,33.85,-1.73,,0
2009-03-13,35.42,36.37,33.65,33.65,-0.2,,0
2009-03-16,33.65,37.4,33.65,35.27,1.62,,0
2009-03-17,34.64,35.24,32.57,32.57,-2.7,,0
2009-03-18,34.01,39.83,25.68,25.69,-6.88,,0
2009-03-19,25.69,42.02,25.69,41.52,15.83,,0
2009-03-20,41.01,41.28,38.84,38.9,-2.62,,0
2009-03-23,38.9,38.95,29.7,29.76,-9.14,,0
2009-03-24,29.76,37.15,29.76,36.28,6.52,,0
2009-03-25,36.1,37.32,36.1,36.28,0.0,,0
2009-03-26,36.28,37.16,35.13,35.19,-1.09,,0
2009-03-27,35.19,35.41,33.25,33.25,-1.94,,0
2009-03-30,34.53,35.67,33.62,33.62,0.37,,0
2009-03-31,33.62,35.43,31.35,31.39,-2.23,,0
2009-04-01,34.07,34.52,32.32,32.33,0.94,,0
2009-04-02,32.33,35.64,32.33,34.39,2.06,,0
2009-04-03,34.39,36.42,32.37,36.42,2.03,,0
2009-04-06,33.23,33.3,32.68,32.95,-3.47,,0
2009-04-07,32.45,32.56,31.78,32.07,-0.88,,0
2009-04-08,32.07,32.07,30.32,30.42,-1.65,,0
2009-04-09,29.65,29.67,27.59,28.0,-2.42,,0
2009-04-13,29.51,29.85,29.08,29.09,1.09,,0
2009-04-14,29.53,29.59,28.63,28.88,-0.21,,0
2009-04-15,28.77,28.78,27.08,27.47,-1.41,,0
2009-04-16,27.65,27.84,26.5,27.42,-0.05,,0
2009-04-17,27.2,27.8,26.47,27.41,-0.01,,0
2009-04-20,27.41,29.0,27.41,28.45,1.04,,0
2009-04-21,29.14,29.54,28.1,29.0,0.55,,0
2009-04-22,29.0,29.0,28.28,28.67,-0.33,,0
2009-04-23,28.67,30.19,28.65,29.92,1.25,,0
2009-04-24,29.59,30.08,28.47,30.08,0.16,,0
2009-04-27,30.77,30.89,30.1,30.24,0.16,,0
2009-04-28,29.84,29.84,28.44,28.53,-1.71,,0
2009-04-29,28.53,28.54,27.84,27.98,-0.55,,0
2009-04-30,27.98,27.98,26.54,26.7,-1.28,,0
2009-05-01,26.7,26.71,26.07,26.44,-0.26,,0
2009-05-04,26.44,28.31,26.44,28.26,1.82,,0
2009-05-05,28.56,28.64,27.31,27.49,-0.77,,0
2009-05-06,27.49,27.49,26.52,26.77,-0.72,,0
2009-05-07,26.84,27.24,26.33,26.75,-0.02,,0
2009-05-08,26.23,26.36,25.41,25.93,-0.82,,0
2009-05-11,25.93,25.93,23.46,23.6,-2.33,,0
2009-05-12,24.07,24.09,21.48,23.8,0.2,,0
2009-05-13,23.12,25.5,23.11,25.41,1.61,,0
2009-05-14,25.41,25.41,22.89,23.08,-2.33,,0
2009-05-15,23.08,23.08,22.17,22.6,-0.48,,0
2009-05-18,23.33,23.37,21.88,22.46,-0.14,,0
2009-05-19,21.9,22.48,21.8,22.41,-0.05,,0
2009-05-20,22.44,24.74,22.11,24.74,2.33,,0
2009-05-21,24.74,28.29,24.32,27.94,3.2,,0
2009-05-22,27.94,29.33,27.94,28.34,0.4,,0
2009-05-26,27.76,27.86,26.3,26.33,-2.01,,0
2009-05-27,26.28,26.34,25.65,25.82,-0.51,,0
2009-05-28,25.69,26.81,25.59,26.7,0.88,,0
2009-05-29,26.7,29.0,26.7,28.44,1.74,,0
2009-06-01,29.52,29.7,29.02,29.5,1.06,,0
