Time,Open,High,Low,Last,Change,%Chg,Volume
1980-01-01,0.462,0.462,0.462,0.462,0.014,,0
1980-02-01,0.502,0.502,0.502,0.502,0.04,,0
1980-03-01,0.436,0.436,0.436,0.436,-0.066,,0
1980-04-01,0.374,0.374,0.374,0.374,-0.062,,0
1980-05-01,0.294,0.294,0.294,0.294,-0.08,,0
1980-06-01,0.303,0.303,0.303,0.303,0.009,,0
1980-07-01,0.35,0.35,0.35,0.35,0.047,,0
1980-08-01,0.455,0.455,0.455,0.455,0.105,,0
1980-09-01,0.501,0.501,0.501,0.501,0.046,,0
1980-10-01,0.555,0.555,0.555,0.555,0.054,,0
1980-11-01,0.582,0.582,0.582,0.582,0.027,,0
1980-12-01,0.53,0.53,0.53,0.53,-0.052,,0
1981-01-01,0.492,0.492,0.492,0.492,-0.038,,0
1981-02-01,0.488,0.488,0.488,0.488,-0.004,,0
1981-03-01,0.496,0.496,0.496,0.496,0.008,,0
1981-04-01,0.516,0.516,0.516,0.516,0.02,,0
1981-05-01,0.535,0.535,0.535,0.535,0.019,,0
1981-06-01,0.507,0.507,0.507,0.507,-0.028,,0
1981-07-01,0.467,0.467,0.467,0.467,-0.04,,0
1981-08-01,0.483,0.483,0.483,0.483,0.016,,0
1981-09-01,0.425,0.425,0.425,0.425,-0.058,,0
1981-10-01,0.4,0.4,0.4,0.4,-0.025,,0
1981-11-01,0.361,0.361,0.361,0.361,-0.039,,0
1981-12-01,0.378,0.378,0.378,0.378,0.017,,0
1982-01-01,0.382,0.382,0.382,0.382,0.004,,0
1982-02-01,0.383,0.383,0.383,0.383,0.001,,0
1982-03-01,0.368,0.368,0.368,0.368,-0.015,,0
1982-04-01,0.378,0.378,0.378,0.378,0.01,,0
1982-05-01,0.355,0.355,0.355,0.355,-0.023,,0
1982-06-01,0.383,0.383,0.383,0.383,0.028,,0
1982-07-01,0.384,0.384,0.384,0.384,0.001,,0
1982-08-01,0.383,0.383,0.383,0.383,-0.001,,0
1982-09-01,0.388,0.388,0.388,0.388,0.005,,0
1982-10-01,0.394,0.394,0.394,0.394,0.006,,0
1982-11-01,0.392,0.392,0.392,0.392,-0.002,,0
1982-12-01,0.428,0.428,0.428,0.428,0.036,,0
1983-01-01,0.46,0.46,0.46,0.46,0.032,,0
1983-02-01,0.544,0.544,0.544,0.544,0.084,,0
1983-03-01,0.539,0.539,0.539,0.539,-0.005,,0
1983-04-01,0.542,0.542,0.542,0.542,0.003,,0
1983-05-01,0.561,0.561,0.561,0.561,0.019,,0
1983-06-01,0.575,0.575,0.575,0.575,0.014,,0
1983-07-01,0.636,0.636,0.636,0.636,0.061,,0
1983-08-01,0.631,0.631,0.631,0.631,-0.005,,0
1983-09-01,0.625,0.625,0.625,0.625,-0.006,,0
1983-10-01,0.644,0.644,0.644,0.644,0.019,,0
1983-11-01,0.66,0.66,0.66,0.66,0.016,,0
1983-12-01,0.699,0.699,0.699,0.699,0.039,,0
1984-01-01,0.605,0.605,0.605,0.605,-0.094,,0
1984-02-01,0.613,0.613,0.613,0.613,0.008,,0
1984-03-01,0.589,0.589,0.589,0.589,-0.024,,0
1984-04-01,0.61,0.61,0.61,0.61,0.021,,0
1984-05-01,0.586,0.586,0.586,0.586,-0.024,,0
1984-06-01,0.581,0.581,0.581,0.581,-0.005,,0
1984-07-01,0.561,0.561,0.561,0.561,-0.02,,0
1984-08-01,0.53,0.53,0.53,0.53,-0.031,,0
1984-09-01,0.5,0.5,0.5,0.5,-0.03,,0
1984-10-01,0.508,0.508,0.508,0.508,0.008,,0
1984-11-01,0.503,0.503,0.503,0.503,-0.005,,0
1984-12-01,0.506,0.506,0.506,0.506,0.003,,0
1985-01-01,0.503,0.503,0.503,0.503,-0.003,,0
1985-02-01,0.499,0.499,0.499,0.499,-0.004,,0
1985-03-01,0.478,0.478,0.478,0.478,-0.021,,0
1985-04-01,0.482,0.482,0.482,0.482,0.004,,0
1985-05-01,0.471,0.471,0.471,0.471,-0.011,,0
1985-06-01,0.478,0.478,0.478,0.478,0.007,,0
1985-07-01,0.479,0.479,0.479,0.479,0.001,,0
1985-08-01,0.477,0.477,0.477,0.477,-0.002,,0
1985-09-01,0.499,0.499,0.499,0.499,0.022,,0
1985-10-01,0.509,0.509,0.509,0.509,0.01,,0
1985-11-01,0.52,0.52,0.52,0.52,0.011,,0
1985-12-01,0.507,0.507,0.507,0.507,-0.013,,0
1986-01-01,0.512,0.512,0.512,0.512,0.005,,0
1986-02-01,0.51,0.51,0.51,0.51,-0.002,,0
1986-03-01,0.51,0.51,0.51,0.51,0.0,,0
1986-04-01,0.497,0.497,0.497,0.497,-0.013,,0
1986-05-01,0.534,0.534,0.534,0.534,0.037,,0
1986-06-01,0.505,0.505,0.505,0.505,-0.029,,0
1986-07-01,0.48,0.48,0.48,0.48,-0.025,,0
1986-08-01,0.526,0.526,0.526,0.526,0.046,,0
1986-09-01,0.524,0.524,0.524,0.524,-0.002,,0
1986-10-01,0.512,0.512,0.512,0.512,-0.012,,0
1986-11-01,0.512,0.512,0.512,0.512,0.0,,0
1986-12-01,0.505,0.505,0.505,0.505,-0.007,,0
1987-01-01,0.549,0.549,0.549,0.549,0.044,,0
1987-02-01,0.526,0.526,0.526,0.526,-0.023,,0
1987-03-01,0.55,0.55,0.55,0.55,0.024,,0
1987-04-01,0.555,0.555,0.555,0.555,0.005,,0
1987-05-01,0.572,0.572,0.572,0.572,0.017,,0
1987-06-01,0.574,0.574,0.574,0.574,0.002,,0
1987-07-01,0.575,0.575,0.575,0.575,0.001,,0
1987-08-01,0.593,0.593,0.593,0.593,0.018,,0
1987-09-01,0.601,0.601,0.601,0.601,0.008,,0
1987-10-01,0.607,0.607,0.607,0.607,0.006,,0
1987-11-01,0.588,0.588,0.588,0.588,-0.019,,0
1987-12-01,0.61,0.61,0.61,0.61,0.022,,0
1988-01-01,0.575,0.575,0.575,0.575,-0.035,,0
1988-02-01,0.562,0.562,0.562,0.562,-0.013,,0
1988-03-01,0.546,0.546,0.546,0.546,-0.016,,0
1988-04-01,0.558,0.558,0.558,0.558,0.012,,0
1988-05-01,0.555,0.555,0.555,0.555,-0.003,,0
1988-06-01,0.593,0.593,0.593,0.593,0.038,,0
1988-07-01,0.582,0.582,0.582,0.582,-0.011,,0
1988-08-01,0.56,0.56,0.56,0.56,-0.022,,0
1988-09-01,0.546,0.546,0.546,0.546,-0.014,,0
1988-10-01,0.555,0.555,0.555,0.555,0.009,,0
1988-11-01,0.556,0.556,0.556,0.556,0.001,,0
1988-12-01,0.56,0.56,0.56,0.56,0.004,,0
1989-01-01,0.547,0.547,0.547,0.547,-0.013,,0
1989-02-01,0.541,0.541,0.541,0.541,-0.006,,0
1989-03-01,0.515,0.515,0.515,0.515,-0.026,,0
1989-04-01,0.522,0.522,0.522,0.522,0.007,,0
1989-05-01,0.493,0.493,0.493,0.493,-0.029,,0
1989-06-01,0.473,0.473,0.473,0.473,-0.02,,0
1989-07-01,0.459,0.459,0.459,0.459,-0.014,,0
1989-08-01,0.451,0.451,0.451,0.451,-0.008,,0
1989-09-01,0.46,0.46,0.46,0.46,0.009,,0
1989-10-01,0.468,0.468,0.468,0.468,0.008,,0
1989-11-01,0.468,0.468,0.468,0.468,0.0,,0
1989-12-01,0.474,0.474,0.474,0.474,0.006,,0
1990-01-01,0.472,0.472,0.472,0.472,-0.002,,0
