Time,Open,High,Low,Last,Change,%Chg,Volume
2002-11-13,122.88,122.88,122.88,122.88,2.67,,0
2002-11-14,130.29,130.29,130.29,130.29,7.41,,0
2002-11-15,132.35,132.35,132.35,132.35,2.06,,0
2002-11-18,129.14,129.14,129.14,129.14,-3.21,,0
2002-11-19,126.49,126.49,126.49,126.49,-2.65,,0
2002-11-20,125.87,125.87,125.87,125.87,-0.62,,0
2002-11-21,127.02,127.02,127.02,127.02,1.15,,0
2002-11-22,126.27,126.27,126.27,126.27,-0.75,,0
2002-11-25,120.84,120.84,120.84,120.84,-5.43,,0
2002-11-26,120.81,120.81,120.81,120.81,-0.03,,0
2002-11-27,128.31,128.31,128.31,128.31,7.5,,0
2002-11-29,127.52,127.52,127.52,127.52,-0.79,,0
2002-12-02,127.52,127.52,127.52,127.52,0.0,,0
2002-12-03,130.64,130.64,130.64,130.64,3.12,,0
2002-12-04,131.06,131.06,131.06,131.06,0.42,,0
2002-12-05,130.44,130.44,130.44,130.44,-0.62,,0
2002-12-06,128.46,128.46,128.46,128.46,-1.98,,0
2002-12-09,122.96,122.96,122.96,122.96,-5.5,,0
2002-12-10,115.59,115.59,115.59,115.59,-7.37,,0
2002-12-11,118.33,118.33,118.33,118.33,2.74,,0
2002-12-12,117.16,117.16,117.16,117.16,-1.17,,0
2002-12-13,116.21,116.21,116.21,116.21,-0.95,,0
2002-12-16,120.33,120.33,120.33,120.33,4.12,,0
2002-12-17,119.83,119.83,119.83,119.83,-0.5,,0
2002-12-18,118.63,118.63,118.63,118.63,-1.2,,0
2002-12-19,124.07,124.07,124.07,124.07,5.44,,0
2002-12-20,125.25,125.25,125.25,125.25,1.18,,0
2002-12-23,124.78,124.78,124.78,124.78,-0.47,,0
2002-12-24,121.25,121.25,121.25,121.25,-3.53,,0
2002-12-26,118.61,118.61,118.61,118.61,-2.64,,0
2002-12-27,123.87,123.87,123.87,123.87,5.26,,0
2002-12-30,123.72,123.72,123.72,123.72,-0.15,,0
2002-12-31,123.89,123.89,123.89,123.89,0.17,,0
2003-01-02,130.87,130.87,130.87,130.87,6.98,,0
2003-01-06,124.83,124.83,124.83,124.83,-6.04,,0
2003-01-07,117.53,117.53,117.53,117.53,-7.3,,0
2003-01-08,119.42,119.42,119.42,119.42,1.89,,0
2003-01-09,125.08,125.08,125.08,125.08,5.66,,0
2003-01-10,120.02,120.02,120.02,120.02,-5.06,,0
2003-01-13,119.79,119.79,119.79,119.79,-0.23,,0
2003-01-14,114.16,114.16,114.16,114.16,-5.63,,0
2003-01-15,115.35,115.35,115.35,115.35,1.19,,0
2003-01-16,115.15,115.15,115.15,115.15,-0.2,,0
2003-01-17,116.02,116.02,116.02,116.02,0.87,,0
2003-01-21,114.8,114.8,114.8,114.8,-1.22,,0
2003-01-22,109.94,109.94,109.94,109.94,-4.86,,0
2003-01-23,107.73,107.73,107.73,107.73,-2.21,,0
2003-01-24,109.41,109.41,109.41,109.41,1.68,,0
2003-01-27,117.73,117.73,117.73,117.73,8.32,,0
2003-01-28,116.89,116.89,116.89,116.89,-0.84,,0
2003-01-29,114.49,114.49,114.49,114.49,-2.4,,0
2003-01-30,115.62,115.62,115.62,115.62,1.13,,0
2003-01-31,110.89,110.89,110.89,110.89,-4.73,,0
2003-02-03,109.12,109.12,109.12,109.12,-1.77,,0
2003-02-04,112.06,112.06,112.06,112.06,2.94,,0
2003-02-05,122.13,122.13,122.13,122.13,10.07,,0
2003-02-06,117.22,117.22,117.22,117.22,-4.91,,0
2003-02-07,115.49,115.49,115.49,115.49,-1.73,,0
2003-02-10,114.07,114.07,114.07,114.07,-1.42,,0
2003-02-11,112.32,112.32,112.32,112.32,-1.75,,0
2003-02-12,113.14,113.14,113.14,113.14,0.82,,0
2003-02-13,116.34,116.34,116.34,116.34,3.2,,0
2003-02-18,115.78,115.78,115.78,115.78,-0.56,,0
2003-02-19,107.13,107.13,107.13,107.13,-8.65,,0
2003-02-20,109.17,109.17,109.17,109.17,2.04,,0
2003-02-21,104.85,104.85,104.85,104.85,-4.32,,0
2003-02-24,104.05,104.05,104.05,104.05,-0.8,,0
