Time,Open,High,Low,Last,Change,%Chg,Volume
1978-01-03,276.0,276.0,276.0,276.0,0,0.0,0
1978-01-04,235.0,235.0,235.0,235.0,0,0.0,0
1978-01-05,310.0,310.0,310.0,310.0,0,0.0,0
1978-01-06,173.0,173.0,173.0,173.0,0,0.0,0
1978-01-09,138.0,138.0,138.0,138.0,0,0.0,0
1978-01-10,212.0,212.0,212.0,212.0,0,0.0,0
1978-01-11,281.0,281.0,281.0,281.0,0,0.0,0
1978-01-12,497.0,497.0,497.0,497.0,0,0.0,0
1978-01-13,428.0,428.0,428.0,428.0,0,0.0,0
1978-01-16,256.0,256.0,256.0,256.0,0,0.0,0
1978-01-17,492.0,492.0,492.0,492.0,0,0.0,0
1978-01-18,519.0,519.0,519.0,519.0,0,0.0,0
1978-01-19,424.0,424.0,424.0,424.0,0,0.0,0
1978-01-20,278.0,278.0,278.0,278.0,0,0.0,0
1978-01-23,521.0,521.0,521.0,521.0,0,0.0,0
1978-01-24,420.0,420.0,420.0,420.0,0,0.0,0
1978-01-25,432.0,432.0,432.0,432.0,0,0.0,0
1978-01-26,313.0,313.0,313.0,313.0,0,0.0,0
1978-01-27,320.0,320.0,320.0,320.0,0,0.0,0
1978-01-30,487.0,487.0,487.0,487.0,0,0.0,0
1978-01-31,376.0,376.0,376.0,376.0,0,0.0,0
1978-02-01,542.0,542.0,542.0,542.0,0,0.0,0
1978-02-02,511.0,511.0,511.0,511.0,0,0.0,0
1978-02-03,440.0,440.0,440.0,440.0,0,0.0,0
1978-02-06,425.0,425.0,425.0,425.0,0,0.0,0
1978-02-07,541.0,541.0,541.0,541.0,0,0.0,0
1978-02-08,554.0,554.0,554.0,554.0,0,0.0,0
1978-02-09,436.0,436.0,436.0,436.0,0,0.0,0
1978-02-10,531.0,531.0,531.0,531.0,0,0.0,0
1978-02-13,336.0,336.0,336.0,336.0,0,0.0,0
1978-02-14,283.0,283.0,283.0,283.0,0,0.0,0
1978-02-15,334.0,334.0,334.0,334.0,0,0.0,0
1978-02-16,281.0,281.0,281.0,281.0,0,0.0,0
1978-02-17,350.0,350.0,350.0,350.0,0,0.0,0
1978-02-21,384.0,384.0,384.0,384.0,0,0.0,0
1978-02-22,400.0,400.0,400.0,400.0,0,0.0,0
1978-02-23,382.0,382.0,382.0,382.0,0,0.0,0
1978-02-24,509.0,509.0,509.0,509.0,0,0.0,0
1978-02-27,348.0,348.0,348.0,348.0,0,0.0,0
1978-02-28,237.0,237.0,237.0,237.0,0,0.0,0
1978-03-01,371.0,371.0,371.0,371.0,0,0.0,0
1978-03-02,455.0,455.0,455.0,455.0,0,0.0,0
1978-03-03,414.0,414.0,414.0,414.0,0,0.0,0
1978-03-06,313.0,313.0,313.0,313.0,0,0.0,0
1978-03-07,438.0,438.0,438.0,438.0,0,0.0,0
1978-03-08,450.0,450.0,450.0,450.0,0,0.0,0
1978-03-09,511.0,511.0,511.0,511.0,0,0.0,0
1978-03-10,526.0,526.0,526.0,526.0,0,0.0,0
1978-03-13,442.0,442.0,442.0,442.0,0,0.0,0
1978-03-14,388.0,388.0,388.0,388.0,0,0.0,0
1978-03-15,422.0,422.0,422.0,422.0,0,0.0,0
1978-03-16,502.0,502.0,502.0,502.0,0,0.0,0
1978-03-17,570.0,570.0,570.0,570.0,0,0.0,0
1978-03-20,492.0,492.0,492.0,492.0,0,0.0,0
1978-03-21,340.0,340.0,340.0,340.0,0,0.0,0
1978-03-22,374.0,374.0,374.0,374.0,0,0.0,0
1978-03-23,430.0,430.0,430.0,430.0,0,0.0,0
1978-03-27,474.0,474.0,474.0,474.0,0,0.0,0
1978-03-28,490.0,490.0,490.0,490.0,0,0.0,0
1978-03-29,549.0,549.0,549.0,549.0,0,0.0,0
1978-03-30,477.0,477.0,477.0,477.0,0,0.0,0
1978-03-31,419.0,419.0,419.0,419.0,0,0.0,0
1978-04-03,344.0,344.0,344.0,344.0,0,0.0,0
1978-04-04,424.0,424.0,424.0,424.0,0,0.0,0
1978-04-05,595.0,595.0,595.0,595.0,0,0.0,0
1978-04-06,549.0,549.0,549.0,549.0,0,0.0,0
1978-04-07,568.0,568.0,568.0,568.0,0,0.0,0
1978-04-10,489.0,489.0,489.0,489.0,0,0.0,0
1978-04-11,421.0,421.0,421.0,421.0,0,0.0,0
1978-04-12,482.0,482.0,482.0,482.0,0,0.0,0
1978-04-13,685.0,685.0,685.0,685.0,0,0.0,0
1978-04-14,789.0,789.0,789.0,789.0,0,0.0,0
1978-04-17,937.0,937.0,937.0,937.0,0,0.0,0
1978-04-18,351.0,351.0,351.0,351.0,0,0.0,0
1978-04-19,457.0,457.0,457.0,457.0,0,0.0,0
1978-04-20,635.0,635.0,635.0,635.0,0,0.0,0
1978-04-21,525.0,525.0,525.0,525.0,0,0.0,0
1978-04-24,536.0,536.0,536.0,536.0,0,0.0,0
1978-04-25,583.0,583.0,583.0,583.0,0,0.0,0
1978-04-26,513.0,513.0,513.0,513.0,0,0.0,0
1978-04-27,428.0,428.0,428.0,428.0,0,0.0,0
1978-04-28,536.0,536.0,536.0,536.0,0,0.0,0
1978-05-01,567.0,567.0,567.0,567.0,0,0.0,0
1978-05-02,478.0,478.0,478.0,478.0,0,0.0,0
1978-05-03,454.0,454.0,454.0,454.0,0,0.0,0
1978-05-04,468.0,468.0,468.0,468.0,0,0.0,0
1978-05-05,632.0,632.0,632.0,632.0,0,0.0,0
1978-05-08,490.0,490.0,490.0,490.0,0,0.0,0
1978-05-09,452.0,452.0,452.0,452.0,0,0.0,0
1978-05-10,550.0,550.0,550.0,550.0,0,0.0,0
1978-05-11,588.0,588.0,588.0,588.0,0,0.0,0
1978-05-12,702.0,702.0,702.0,702.0,0,0.0,0
1978-05-15,556.0,556.0,556.0,556.0,0,0.0,0
1978-05-16,676.0,676.0,676.0,676.0,0,0.0,0
1978-05-17,663.0,663.0,663.0,663.0,0,0.0,0
1978-05-18,496.0,496.0,496.0,496.0,0,0.0,0
1978-05-19,424.0,424.0,424.0,424.0,0,0.0,0
1978-05-22,472.0,472.0,472.0,472.0,0,0.0,0
