Time,Open,High,Low,Last,Change,%Chg,Volume
1965-03-01,550.0,550.0,550.0,550.0,0,0.0,0
1965-03-02,590.0,590.0,590.0,590.0,0,0.0,0
1965-03-03,574.0,574.0,574.0,574.0,0,0.0,0
1965-03-04,490.0,490.0,490.0,490.0,0,0.0,0
1965-03-05,446.0,446.0,446.0,446.0,0,0.0,0
1965-03-08,626.0,626.0,626.0,626.0,0,0.0,0
1965-03-09,501.0,501.0,501.0,501.0,0,0.0,0
1965-03-10,532.0,532.0,532.0,532.0,0,0.0,0
1965-03-11,614.0,614.0,614.0,614.0,0,0.0,0
1965-03-12,640.0,640.0,640.0,640.0,0,0.0,0
1965-03-15,578.0,578.0,578.0,578.0,0,0.0,0
1965-03-16,536.0,536.0,536.0,536.0,0,0.0,0
1965-03-17,485.0,485.0,485.0,485.0,0,0.0,0
1965-03-18,457.0,457.0,457.0,457.0,0,0.0,0
1965-03-19,474.0,474.0,474.0,474.0,0,0.0,0
1965-03-22,538.0,538.0,538.0,538.0,0,0.0,0
1965-03-23,534.0,534.0,534.0,534.0,0,0.0,0
1965-03-24,579.0,579.0,579.0,579.0,0,0.0,0
1965-03-25,482.0,482.0,482.0,482.0,0,0.0,0
1965-03-26,278.0,278.0,278.0,278.0,0,0.0,0
1965-03-29,360.0,360.0,360.0,360.0,0,0.0,0
1965-03-30,574.0,574.0,574.0,574.0,0,0.0,0
1965-03-31,602.0,602.0,602.0,602.0,0,0.0,0
1965-04-01,551.0,551.0,551.0,551.0,0,0.0,0
1965-04-02,684.0,684.0,684.0,684.0,0,0.0,0
1965-04-05,575.0,575.0,575.0,575.0,0,0.0,0
1965-04-06,499.0,499.0,499.0,499.0,0,0.0,0
1965-04-07,557.0,557.0,557.0,557.0,0,0.0,0
1965-04-08,751.0,751.0,751.0,751.0,0,0.0,0
1965-04-09,742.0,742.0,742.0,742.0,0,0.0,0
1965-04-12,741.0,741.0,741.0,741.0,0,0.0,0
1965-04-13,605.0,605.0,605.0,605.0,0,0.0,0
1965-04-14,605.0,605.0,605.0,605.0,0,0.0,0
1965-04-15,570.0,570.0,570.0,570.0,0,0.0,0
1965-04-19,621.0,621.0,621.0,621.0,0,0.0,0
1965-04-20,580.0,580.0,580.0,580.0,0,0.0,0
1965-04-21,447.0,447.0,447.0,447.0,0,0.0,0
1965-04-22,667.0,667.0,667.0,667.0,0,0.0,0
1965-04-23,600.0,600.0,600.0,600.0,0,0.0,0
1965-04-26,546.0,546.0,546.0,546.0,0,0.0,0
1965-04-27,620.0,620.0,620.0,620.0,0,0.0,0
1965-04-28,475.0,475.0,475.0,475.0,0,0.0,0
1965-04-29,537.0,537.0,537.0,537.0,0,0.0,0
1965-04-30,504.0,504.0,504.0,504.0,0,0.0,0
1965-05-03,501.0,501.0,501.0,501.0,0,0.0,0
1965-05-04,606.0,606.0,606.0,606.0,0,0.0,0
1965-05-05,641.0,641.0,641.0,641.0,0,0.0,0
1965-05-06,583.0,583.0,583.0,583.0,0,0.0,0
1965-05-07,524.0,524.0,524.0,524.0,0,0.0,0
1965-05-10,553.0,553.0,553.0,553.0,0,0.0,0
1965-05-11,457.0,457.0,457.0,457.0,0,0.0,0
1965-05-12,649.0,649.0,649.0,649.0,0,0.0,0
1965-05-13,615.0,615.0,615.0,615.0,0,0.0,0
1965-05-14,543.0,543.0,543.0,543.0,0,0.0,0
1965-05-17,432.0,432.0,432.0,432.0,0,0.0,0
1965-05-18,523.0,523.0,523.0,523.0,0,0.0,0
1965-05-19,613.0,613.0,613.0,613.0,0,0.0,0
1965-05-20,337.0,337.0,337.0,337.0,0,0.0,0
1965-05-21,390.0,390.0,390.0,390.0,0,0.0,0
1965-05-24,303.0,303.0,303.0,303.0,0,0.0,0
1965-05-25,680.0,680.0,680.0,680.0,0,0.0,0
1965-05-26,379.0,379.0,379.0,379.0,0,0.0,0
1965-05-27,277.0,277.0,277.0,277.0,0,0.0,0
1965-05-28,692.0,692.0,692.0,692.0,0,0.0,0
1965-06-01,345.0,345.0,345.0,345.0,0,0.0,0
1965-06-02,196.0,196.0,196.0,196.0,0,0.0,0
1965-06-03,428.0,428.0,428.0,428.0,0,0.0,0
1965-06-04,588.0,588.0,588.0,588.0,0,0.0,0
1965-06-07,337.0,337.0,337.0,337.0,0,0.0,0
1965-06-08,215.0,215.0,215.0,215.0,0,0.0,0
1965-06-09,257.0,257.0,257.0,257.0,0,0.0,0
1965-06-10,351.0,351.0,351.0,351.0,0,0.0,0
1965-06-11,692.0,692.0,692.0,692.0,0,0.0,0
1965-06-14,161.0,161.0,161.0,161.0,0,0.0,0
1965-06-15,597.0,597.0,597.0,597.0,0,0.0,0
1965-06-16,908.0,908.0,908.0,908.0,0,0.0,0
1965-06-17,745.0,745.0,745.0,745.0,0,0.0,0
1965-06-18,355.0,355.0,355.0,355.0,0,0.0,0
1965-06-21,318.0,318.0,318.0,318.0,0,0.0,0
1965-06-22,569.0,569.0,569.0,569.0,0,0.0,0
1965-06-23,279.0,279.0,279.0,279.0,0,0.0,0
1965-06-24,116.0,116.0,116.0,116.0,0,0.0,0
1965-06-25,271.0,271.0,271.0,271.0,0,0.0,0
1965-06-28,104.0,104.0,104.0,104.0,0,0.0,0
1965-06-29,616.0,616.0,616.0,616.0,0,0.0,0
1965-06-30,1168.0,1168.0,1168.0,1168.0,0,0.0,0
1965-07-01,779.0,779.0,779.0,779.0,0,0.0,0
1965-07-02,860.0,860.0,860.0,860.0,0,0.0,0
1965-07-06,546.0,546.0,546.0,546.0,0,0.0,0
1965-07-07,395.0,395.0,395.0,395.0,0,0.0,0
1965-07-08,741.0,741.0,741.0,741.0,0,0.0,0
1965-07-09,754.0,754.0,754.0,754.0,0,0.0,0
1965-07-12,578.0,578.0,578.0,578.0,0,0.0,0
1965-07-13,433.0,433.0,433.0,433.0,0,0.0,0
1965-07-14,629.0,629.0,629.0,629.0,0,0.0,0
1965-07-15,591.0,591.0,591.0,591.0,0,0.0,0
1965-07-16,501.0,501.0,501.0,501.0,0,0.0,0
1965-07-19,472.0,472.0,472.0,472.0,0,0.0,0
1965-07-20,226.0,226.0,226.0,226.0,0,0.0,0
1965-07-21,325.0,325.0,325.0,325.0,0,0.0,0
1965-07-22,454.0,454.0,454.0,454.0,0,0.0,0
1965-07-23,609.0,609.0,609.0,609.0,0,0.0,0
1965-07-26,543.0,543.0,543.0,543.0,0,0.0,0
1965-07-27,459.0,459.0,459.0,459.0,0,0.0,0
1965-07-28,563.0,563.0,563.0,563.0,0,0.0,0
1965-07-29,816.0,816.0,816.0,816.0,0,0.0,0
1965-07-30,802.0,802.0,802.0,802.0,0,0.0,0
