Time,Open,High,Low,Last,Change,%Chg,Volume
2008-08-01,0.02,1890.89,0.02,1711.53,251.75,,0
2008-08-04,0.68,1470.84,0.68,1331.63,-379.9,,0
2008-08-05,0.12,3214.14,0.12,3214.14,1882.51,,0
2008-08-06,0.33,2120.22,0.33,2120.22,-1093.92,,0
2008-08-07,0.1,1065.96,0.1,972.75,-1147.47,,0
2008-08-08,2.14,2814.74,2.14,2814.74,1841.99,,0
2008-08-11,0.84,2536.7,0.84,2536.14,-278.6,,0
2008-08-12,2.25,1361.25,2.25,1200.69,-1335.45,,0
2008-08-13,0.64,1626.61,0.64,1626.27,425.58,,0
2008-08-14,1.13,2253.46,1.13,2253.46,627.19,,0
2008-08-15,3.51,2124.83,3.51,2124.8,-128.66,,0
2008-08-18,1.93,610.54,1.93,595.97,-1528.83,,0
2008-08-19,0.04,898.28,0.04,876.08,280.11,,0
2008-08-20,0.1,2164.97,0.1,2162.03,1285.95,,0
2008-08-21,0.11,2013.39,0.11,1725.93,-436.1,,0
2008-08-22,6.53,2241.17,6.53,2241.17,515.24,,0
2008-08-25,0.43,586.68,0.43,583.65,-1657.52,,0
2008-08-26,3.23,1975.89,3.23,1975.89,1392.24,,0
2008-08-27,7.8,2227.84,7.8,2227.84,251.95,,0
2008-08-28,3.67,2495.69,3.67,2495.69,267.85,,0
2008-08-29,0.5,932.44,0.5,799.89,-1695.8,,0
2008-09-02,1.46,2335.51,1.46,2335.51,1535.62,,0
2008-09-03,0.12,2186.94,0.12,2163.88,-171.63,,0
2008-09-04,0.05,460.02,0.05,327.65,-1836.23,,0
2008-09-05,0.03,2576.82,0.03,2537.28,2209.63,,0
2008-09-08,11.56,2979.03,11.56,2968.93,431.65,,0
2008-09-09,2.48,803.19,2.48,473.65,-2495.28,,0
2008-09-10,4.73,2876.24,4.73,2383.76,1910.11,,0
2008-09-11,1.01,3295.37,1.01,3241.94,858.18,,0
2008-09-12,0.12,2474.25,0.12,2405.27,-836.67,,0
2008-09-15,4.05,698.98,4.05,334.07,-2071.2,,0
2008-09-16,3903.42,3930.48,3903.42,3903.42,3569.35,,0
2008-09-17,0.35,1166.46,0.35,484.53,-3418.89,,0
2008-09-18,8.89,5929.64,8.89,5929.64,5445.11,,0
2008-09-19,31.69,4778.41,31.69,4778.41,-1151.23,,0
2008-09-22,9.7,1343.58,9.7,1120.39,-3658.02,,0
2008-09-23,4.15,2072.39,4.15,1316.63,196.24,,0
2008-09-24,0.06,1831.92,0.06,1732.83,416.2,,0
2008-09-25,5.28,3012.19,5.28,2619.9,887.07,,0
2008-09-26,0.07,1842.19,0.07,1719.84,-900.06,,0
2008-09-29,1.98,445.41,1.4,82.15,-1637.69,,0
2008-09-30,6.86,3648.88,6.86,3648.88,3566.73,,0
2008-10-01,6.44,2453.9,6.44,2447.0,-1201.88,,0
2008-10-02,5.96,802.55,5.96,799.43,-1647.57,,0
2008-10-03,14.05,2304.3,14.05,1112.16,312.73,,0
2008-10-06,0.29,686.64,0.29,402.98,-709.18,,0
2008-10-07,0.53,951.86,0.53,187.85,-215.13,,0
2008-10-08,0.09,2894.55,0.09,1416.25,1228.4,,0
2008-10-09,3.68,1536.61,3.68,241.59,-1174.66,,0
2008-10-10,1.06,3728.08,1.06,2419.67,2178.08,,0
2008-10-13,15.15,4193.4,15.15,4193.4,1773.73,,0
2008-10-14,17.25,2324.0,17.25,2256.57,-1936.83,,0
2008-10-15,0.4,258.8,0.4,107.38,-2149.19,,0
2008-10-16,2.15,2104.08,2.15,2046.11,1938.73,,0
2008-10-17,0.22,1723.27,0.22,1210.92,-835.19,,0
2008-10-20,0.92,2095.78,0.92,2095.78,884.86,,0
2008-10-21,0.1,947.32,0.1,515.17,-1580.61,,0
2008-10-22,0.11,185.4,0.11,136.06,-379.11,,0
2008-10-23,0.48,948.67,0.48,946.83,810.77,,0
2008-10-24,0.02,500.71,0.02,360.05,-586.78,,0
2008-10-27,0.5,817.95,0.5,113.89,-246.16,,0
2008-10-28,1.05,2412.56,1.05,2412.56,2298.67,,0
2008-10-29,1.51,2269.87,1.51,1434.0,-978.56,,0
2008-10-30,6.4,2140.43,6.4,2125.4,691.4,,0
2008-10-31,0.11,2077.5,0.11,2077.47,-47.93,,0
2008-11-03,0.27,1396.34,0.27,1338.41,-739.06,,0
2008-11-04,0.58,2529.93,0.58,2529.93,1191.52,,0
2008-11-05,0.14,317.16,0.14,193.16,-2336.77,,0
2008-11-06,0.2,240.22,0.2,112.0,-81.16,,0
2008-11-07,0.25,2091.08,0.25,2091.08,1979.08,,0
2008-11-10,0.32,772.32,0.32,772.26,-1318.82,,0
2008-11-11,0.45,645.2,0.37,369.33,-402.93,,0
2008-11-12,1.28,163.53,1.28,116.31,-253.02,,0
2008-11-13,1.38,2604.99,1.38,2604.99,2488.68,,0
2008-11-14,0.93,1087.12,0.93,384.34,-2220.65,,0
2008-11-17,0.37,744.32,0.37,393.71,9.37,,0
2008-11-18,1.49,1188.24,1.49,1156.04,762.33,,0
2008-11-19,0.04,202.36,0.04,27.84,-1128.2,,0
2008-11-20,156.97,744.48,156.97,156.97,129.13,,0
2008-11-21,3.18,2499.8,3.18,2499.77,2342.8,,0
2008-11-24,19.2,2655.88,19.2,2655.88,156.11,,0
2008-11-25,7.85,1313.83,7.85,1313.71,-1342.17,,0
2008-11-26,3.3,1798.57,3.3,1798.57,484.86,,0
2008-11-28,1.6,998.46,1.6,998.46,-800.11,,0
2008-12-02,1.07,1601.96,1.07,1601.96,603.5,,0
2008-12-03,0.01,4031.31,0.01,4030.22,2428.26,,0
2008-12-04,0.13,1847.18,0.13,1217.96,-2812.26,,0
2008-12-05,0.38,4243.98,0.38,4238.5,3020.54,,0
2008-12-08,0.68,4093.38,0.68,4093.38,-145.12,,0
2008-12-09,0.37,1820.1,0.37,1589.87,-2503.51,,0
2008-12-10,4.86,2919.9,4.86,2919.9,1330.03,,0
2008-12-11,0.98,1417.83,0.98,791.29,-2128.61,,0
2008-12-12,0.15,3225.82,0.15,3225.82,2434.53,,0
2008-12-15,3.12,1300.9,3.12,1267.8,-1958.02,,0
2008-12-16,2.92,4163.34,2.92,4163.34,2895.54,,0
2008-12-17,1.03,2406.68,1.03,1986.35,-2176.99,,0
2008-12-18,1.54,1316.89,1.54,1245.24,-741.11,,0
2008-12-19,1.5,2854.0,1.5,2853.13,1607.89,,0
2008-12-22,1.23,778.49,1.23,778.49,-2074.64,,0
2008-12-23,0.88,1102.32,0.88,1060.34,281.85,,0
2008-12-24,0.46,832.55,0.46,831.82,-228.52,,0
2008-12-26,0.09,1203.95,0.09,1203.95,372.13,,0
2008-12-29,0.11,931.51,0.11,931.51,-272.44,,0
2008-12-30,0.04,2651.15,0.04,2651.15,1719.64,,0
2008-12-31,0.46,2521.63,0.46,2521.63,-129.52,,0
2009-01-02,0.86,2636.74,0.86,2636.74,115.11,,0
2009-01-05,0.82,2208.4,0.82,2208.4,-428.34,,0
2009-01-06,2.02,3244.42,2.02,3244.42,1036.02,,0
2009-01-07,0.69,553.13,0.69,541.11,-2703.31,,0
2009-01-08,0.87,2516.65,0.87,2515.0,1973.89,,0
2009-01-09,2.56,909.52,2.56,625.55,-1889.45,,0
2009-01-12,0.35,529.85,0.35,518.28,-107.27,,0
2009-01-13,0.59,2490.42,0.59,2490.42,1972.14,,0
2009-01-14,0.05,192.65,0.05,166.39,-2324.03,,0
2009-01-15,2.02,2746.59,2.02,2713.34,2546.95,,0
2009-01-16,9.05,2908.39,9.05,2908.39,195.05,,0
