Time,Open,High,Low,Last,Change,%Chg,Volume
1965-03-01,561.0,561.0,561.0,561.0,0,0.0,0
1965-03-02,520.0,520.0,520.0,520.0,0,0.0,0
1965-03-03,528.0,528.0,528.0,528.0,0,0.0,0
1965-03-04,594.0,594.0,594.0,594.0,0,0.0,0
1965-03-05,646.0,646.0,646.0,646.0,0,0.0,0
1965-03-08,466.0,466.0,466.0,466.0,0,0.0,0
1965-03-09,609.0,609.0,609.0,609.0,0,0.0,0
1965-03-10,554.0,554.0,554.0,554.0,0,0.0,0
1965-03-11,452.0,452.0,452.0,452.0,0,0.0,0
1965-03-12,477.0,477.0,477.0,477.0,0,0.0,0
1965-03-15,535.0,535.0,535.0,535.0,0,0.0,0
1965-03-16,574.0,574.0,574.0,574.0,0,0.0,0
1965-03-17,599.0,599.0,599.0,599.0,0,0.0,0
1965-03-18,624.0,624.0,624.0,624.0,0,0.0,0
1965-03-19,602.0,602.0,602.0,602.0,0,0.0,0
1965-03-22,559.0,559.0,559.0,559.0,0,0.0,0
1965-03-23,537.0,537.0,537.0,537.0,0,0.0,0
1965-03-24,471.0,471.0,471.0,471.0,0,0.0,0
1965-03-25,597.0,597.0,597.0,597.0,0,0.0,0
1965-03-26,828.0,828.0,828.0,828.0,0,0.0,0
1965-03-29,737.0,737.0,737.0,737.0,0,0.0,0
1965-03-30,482.0,482.0,482.0,482.0,0,0.0,0
1965-03-31,473.0,473.0,473.0,473.0,0,0.0,0
1965-04-01,507.0,507.0,507.0,507.0,0,0.0,0
1965-04-02,421.0,421.0,421.0,421.0,0,0.0,0
1965-04-05,530.0,530.0,530.0,530.0,0,0.0,0
1965-04-06,591.0,591.0,591.0,591.0,0,0.0,0
1965-04-07,488.0,488.0,488.0,488.0,0,0.0,0
1965-04-08,353.0,353.0,353.0,353.0,0,0.0,0
1965-04-09,378.0,378.0,378.0,378.0,0,0.0,0
1965-04-12,413.0,413.0,413.0,413.0,0,0.0,0
1965-04-13,539.0,539.0,539.0,539.0,0,0.0,0
1965-04-14,497.0,497.0,497.0,497.0,0,0.0,0
1965-04-15,516.0,516.0,516.0,516.0,0,0.0,0
1965-04-19,482.0,482.0,482.0,482.0,0,0.0,0
1965-04-20,553.0,553.0,553.0,553.0,0,0.0,0
1965-04-21,670.0,670.0,670.0,670.0,0,0.0,0
1965-04-22,464.0,464.0,464.0,464.0,0,0.0,0
1965-04-23,497.0,497.0,497.0,497.0,0,0.0,0
1965-04-26,550.0,550.0,550.0,550.0,0,0.0,0
1965-04-27,514.0,514.0,514.0,514.0,0,0.0,0
1965-04-28,593.0,593.0,593.0,593.0,0,0.0,0
1965-04-29,566.0,566.0,566.0,566.0,0,0.0,0
1965-04-30,574.0,574.0,574.0,574.0,0,0.0,0
1965-05-03,619.0,619.0,619.0,619.0,0,0.0,0
1965-05-04,485.0,485.0,485.0,485.0,0,0.0,0
1965-05-05,488.0,488.0,488.0,488.0,0,0.0,0
1965-05-06,509.0,509.0,509.0,509.0,0,0.0,0
1965-05-07,585.0,585.0,585.0,585.0,0,0.0,0
1965-05-10,595.0,595.0,595.0,595.0,0,0.0,0
1965-05-11,664.0,664.0,664.0,664.0,0,0.0,0
1965-05-12,486.0,486.0,486.0,486.0,0,0.0,0
1965-05-13,474.0,474.0,474.0,474.0,0,0.0,0
1965-05-14,572.0,572.0,572.0,572.0,0,0.0,0
1965-05-17,698.0,698.0,698.0,698.0,0,0.0,0
1965-05-18,566.0,566.0,566.0,566.0,0,0.0,0
1965-05-19,486.0,486.0,486.0,486.0,0,0.0,0
1965-05-20,787.0,787.0,787.0,787.0,0,0.0,0
1965-05-21,702.0,702.0,702.0,702.0,0,0.0,0
1965-05-24,867.0,867.0,867.0,867.0,0,0.0,0
1965-05-25,446.0,446.0,446.0,446.0,0,0.0,0
1965-05-26,702.0,702.0,702.0,702.0,0,0.0,0
1965-05-27,891.0,891.0,891.0,891.0,0,0.0,0
1965-05-28,382.0,382.0,382.0,382.0,0,0.0,0
1965-06-01,798.0,798.0,798.0,798.0,0,0.0,0
1965-06-02,1000.0,1000.0,1000.0,1000.0,0,0.0,0
1965-06-03,665.0,665.0,665.0,665.0,0,0.0,0
1965-06-04,528.0,528.0,528.0,528.0,0,0.0,0
1965-06-07,799.0,799.0,799.0,799.0,0,0.0,0
1965-06-08,938.0,938.0,938.0,938.0,0,0.0,0
1965-06-09,911.0,911.0,911.0,911.0,0,0.0,0
1965-06-10,823.0,823.0,823.0,823.0,0,0.0,0
1965-06-11,428.0,428.0,428.0,428.0,0,0.0,0
1965-06-14,1036.0,1036.0,1036.0,1036.0,0,0.0,0
1965-06-15,559.0,559.0,559.0,559.0,0,0.0,0
1965-06-16,272.0,272.0,272.0,272.0,0,0.0,0
1965-06-17,332.0,332.0,332.0,332.0,0,0.0,0
1965-06-18,726.0,726.0,726.0,726.0,0,0.0,0
1965-06-21,744.0,744.0,744.0,744.0,0,0.0,0
1965-06-22,480.0,480.0,480.0,480.0,0,0.0,0
1965-06-23,771.0,771.0,771.0,771.0,0,0.0,0
1965-06-24,1088.0,1088.0,1088.0,1088.0,0,0.0,0
1965-06-25,868.0,868.0,868.0,868.0,0,0.0,0
1965-06-28,1167.0,1167.0,1167.0,1167.0,0,0.0,0
1965-06-29,563.0,563.0,563.0,563.0,0,0.0,0
1965-06-30,101.0,101.0,101.0,101.0,0,0.0,0
1965-07-01,356.0,356.0,356.0,356.0,0,0.0,0
1965-07-02,274.0,274.0,274.0,274.0,0,0.0,0
1965-07-06,540.0,540.0,540.0,540.0,0,0.0,0
1965-07-07,686.0,686.0,686.0,686.0,0,0.0,0
1965-07-08,332.0,332.0,332.0,332.0,0,0.0,0
1965-07-09,350.0,350.0,350.0,350.0,0,0.0,0
1965-07-12,517.0,517.0,517.0,517.0,0,0.0,0
1965-07-13,628.0,628.0,628.0,628.0,0,0.0,0
1965-07-14,427.0,427.0,427.0,427.0,0,0.0,0
1965-07-15,492.0,492.0,492.0,492.0,0,0.0,0
1965-07-16,542.0,542.0,542.0,542.0,0,0.0,0
1965-07-19,583.0,583.0,583.0,583.0,0,0.0,0
1965-07-20,937.0,937.0,937.0,937.0,0,0.0,0
1965-07-21,747.0,747.0,747.0,747.0,0,0.0,0
1965-07-22,570.0,570.0,570.0,570.0,0,0.0,0
1965-07-23,461.0,461.0,461.0,461.0,0,0.0,0
1965-07-26,544.0,544.0,544.0,544.0,0,0.0,0
1965-07-27,620.0,620.0,620.0,620.0,0,0.0,0
1965-07-28,503.0,503.0,503.0,503.0,0,0.0,0
1965-07-29,309.0,309.0,309.0,309.0,0,0.0,0
1965-07-30,315.0,315.0,315.0,315.0,0,0.0,0
1965-08-02,453.0,453.0,453.0,453.0,0,0.0,0
1965-08-03,506.0,506.0,506.0,506.0,0,0.0,0
1965-08-04,364.0,364.0,364.0,364.0,0,0.0,0
1965-08-05,492.0,492.0,492.0,492.0,0,0.0,0
1965-08-06,410.0,410.0,410.0,410.0,0,0.0,0
1965-08-09,541.0,541.0,541.0,541.0,0,0.0,0
1965-08-10,473.0,473.0,473.0,473.0,0,0.0,0
1965-08-11,422.0,422.0,422.0,422.0,0,0.0,0
1965-08-12,386.0,386.0,386.0,386.0,0,0.0,0
1965-08-13,419.0,419.0,419.0,419.0,0,0.0,0
1965-08-16,495.0,495.0,495.0,495.0,0,0.0,0
1965-08-17,500.0,500.0,500.0,500.0,0,0.0,0
1965-08-18,514.0,514.0,514.0,514.0,0,0.0,0
1965-08-19,689.0,689.0,689.0,689.0,0,0.0,0
1965-08-20,562.0,562.0,562.0,562.0,0,0.0,0
1965-08-23,552.0,552.0,552.0,552.0,0,0.0,0
1965-08-24,473.0,473.0,473.0,473.0,0,0.0,0
1965-08-25,539.0,539.0,539.0,539.0,0,0.0,0
1965-08-26,474.0,474.0,474.0,474.0,0,0.0,0
1965-08-27,456.0,456.0,456.0,456.0,0,0.0,0
1965-08-30,469.0,469.0,469.0,469.0,0,0.0,0
1965-08-31,520.0,520.0,520.0,520.0,0,0.0,0
1965-09-01,502.0,502.0,502.0,502.0,0,0.0,0
1965-09-02,360.0,360.0,360.0,360.0,0,0.0,0
1965-09-03,363.0,363.0,363.0,363.0,0,0.0,0
1965-09-07,481.0,481.0,481.0,481.0,0,0.0,0
1965-09-08,538.0,538.0,538.0,538.0,0,0.0,0
1965-09-09,484.0,484.0,484.0,484.0,0,0.0,0
1965-09-10,523.0,523.0,523.0,523.0,0,0.0,0
1965-09-13,486.0,486.0,486.0,486.0,0,0.0,0
1965-09-14,770.0,770.0,770.0,770.0,0,0.0,0
1965-09-15,486.0,486.0,486.0,486.0,0,0.0,0
1965-09-16,443.0,443.0,443.0,443.0,0,0.0,0
1965-09-17,606.0,606.0,606.0,606.0,0,0.0,0
1965-09-20,547.0,547.0,547.0,547.0,0,0.0,0
1965-09-21,628.0,628.0,628.0,628.0,0,0.0,0
1965-09-22,454.0,454.0,454.0,454.0,0,0.0,0
1965-09-23,779.0,779.0,779.0,779.0,0,0.0,0
1965-09-24,473.0,473.0,473.0,473.0,0,0.0,0
1965-09-27,516.0,516.0,516.0,516.0,0,0.0,0
1965-09-28,640.0,640.0,640.0,640.0,0,0.0,0
1965-09-29,748.0,748.0,748.0,748.0,0,0.0,0
1965-09-30,627.0,627.0,627.0,627.0,0,0.0,0
1965-10-01,550.0,550.0,550.0,550.0,0,0.0,0
1965-10-04,454.0,454.0,454.0,454.0,0,0.0,0
