Time,Open,High,Low,Last,Change,%Chg,Volume
2007-10-01,838.93,838.93,838.93,838.93,-787.72,,0
2007-10-02,1304.35,1304.35,1304.35,1304.35,465.42,,0
2007-10-03,1845.22,1845.22,1845.22,1845.22,540.87,,0
2007-10-04,1036.82,1036.82,1036.82,1036.82,-808.4,,0
2007-10-05,453.83,453.83,453.83,453.83,-582.99,,0
2007-10-08,1295.76,1295.76,1295.76,1295.76,841.93,,0
2007-10-09,687.68,687.68,687.68,687.68,-608.08,,0
2007-10-10,1527.84,1527.84,1527.84,1527.84,840.16,,0
2007-10-11,2169.59,2169.59,2169.59,2169.59,641.75,,0
2007-10-12,971.82,971.82,971.82,971.82,-1197.77,,0
2007-10-15,2300.68,2300.68,2300.68,2300.68,1328.86,,0
2007-10-16,2252.6,2252.6,2252.6,2252.6,-48.08,,0
2007-10-17,1752.06,1752.06,1752.06,1752.06,-500.54,,0
2007-10-18,1502.87,1502.87,1502.87,1502.87,-249.19,,0
2007-10-19,3693.48,3693.48,3693.48,3693.48,2190.61,,0
2007-10-22,1291.72,1291.72,1291.72,1291.72,-2401.76,,0
2007-10-23,1122.4,1122.4,1122.4,1122.4,-169.32,,0
2007-10-24,2325.9,2325.9,2325.9,2325.9,1203.5,,0
2007-10-25,1974.24,1974.24,1974.24,1974.24,-351.66,,0
2007-10-26,690.97,690.97,690.97,690.97,-1283.27,,0
2007-10-29,1077.08,1077.08,1077.08,1077.08,386.11,,0
2007-10-30,2122.82,2122.82,2122.82,2122.82,1045.74,,0
2007-10-31,867.12,867.12,867.12,867.12,-1255.7,,0
2007-11-01,3669.93,3669.93,3669.93,3669.93,2802.81,,0
2007-11-02,2134.24,2134.24,2134.24,2134.24,-1535.69,,0
2007-11-05,2611.91,2611.91,2611.91,2611.91,477.67,,0
2007-11-06,1068.76,1068.76,1068.76,1068.76,-1543.15,,0
2007-11-07,3739.29,3739.29,3739.29,3739.29,2670.53,,0
2007-11-08,2649.5,2649.5,2649.5,2649.5,-1089.79,,0
2007-11-09,3069.56,3069.56,3069.56,3069.56,420.06,,0
2007-11-12,2418.37,2418.37,2418.37,2418.37,-651.19,,0
2007-11-13,253.35,253.35,253.35,253.35,-2165.02,,0
2007-11-14,2224.93,2224.93,2224.93,2224.93,1971.58,,0
2007-11-15,2786.22,2786.22,2786.22,2786.22,561.29,,0
2007-11-16,1655.11,1655.11,1655.11,1655.11,-1131.11,,0
2007-11-19,3314.81,3314.81,3314.81,3314.81,1659.7,,0
2007-11-20,2347.42,2347.42,2347.42,2347.42,-967.39,,0
