Time,Open,High,Low,Last,Change,%Chg,Volume
2007-10-01,21.0,21.0,21.0,21.0,-24.0,,50822200.0
2007-10-02,33.0,33.0,33.0,33.0,12.0,,21446700.0
2007-10-03,41.0,41.0,41.0,41.0,8.0,,16598300.0
2007-10-04,43.0,43.0,43.0,43.0,2.0,,28100100.0
2007-10-05,27.0,27.0,27.0,27.0,-16.0,,30716100.0
2007-10-08,41.0,41.0,41.0,41.0,14.0,,22941000.0
2007-10-09,42.0,42.0,42.0,42.0,1.0,,48383500.0
2007-10-10,49.0,49.0,49.0,49.0,7.0,,67031100.0
2007-10-11,39.0,39.0,39.0,39.0,-10.0,,53181900.0
2007-10-12,51.0,51.0,51.0,51.0,12.0,,40629700.0
2007-10-15,38.0,38.0,38.0,38.0,-13.0,,58984400.0
2007-10-16,42.0,42.0,42.0,42.0,4.0,,69299500.0
2007-10-17,35.0,35.0,35.0,35.0,-7.0,,9699200.0
2007-10-18,51.0,51.0,51.0,51.0,16.0,,48604200.0
2007-10-19,23.0,23.0,23.0,23.0,-28.0,,75713000.0
2007-10-22,37.0,37.0,37.0,37.0,14.0,,46923800.0
2007-10-23,47.0,47.0,47.0,47.0,10.0,,67017700.0
2007-10-24,35.0,35.0,35.0,35.0,-12.0,,19863100.0
2007-10-25,41.0,41.0,41.0,41.0,6.0,,29944200.0
2007-10-26,39.0,39.0,39.0,39.0,-2.0,,36564200.0
2007-10-29,44.0,44.0,44.0,44.0,5.0,,144361000.0
2007-10-30,50.0,50.0,50.0,50.0,6.0,,20515900.0
2007-10-31,36.0,36.0,36.0,36.0,-14.0,,26507400.0
2007-11-01,23.0,23.0,23.0,23.0,-13.0,,62619200.0
2007-11-02,30.0,30.0,30.0,30.0,7.0,,54260400.0
2007-11-05,27.0,27.0,27.0,27.0,-3.0,,123435000.0
2007-11-06,32.0,32.0,32.0,32.0,5.0,,128202000.0
2007-11-07,23.0,23.0,23.0,23.0,-9.0,,1393700.0
2007-11-08,31.0,31.0,31.0,31.0,8.0,,67417000.0
2007-11-09,41.0,41.0,41.0,41.0,10.0,,133474000.0
2007-11-12,36.0,36.0,36.0,36.0,-5.0,,97814700.0
2007-11-13,23.0,23.0,23.0,23.0,-13.0,,46452800.0
2007-11-14,28.0,28.0,28.0,28.0,5.0,,39118900.0
2007-11-15,37.0,37.0,37.0,37.0,9.0,,52011600.0
2007-11-16,33.0,33.0,33.0,33.0,-4.0,,26212500.0
2007-11-19,32.0,32.0,32.0,32.0,-1.0,,6687500.0
2007-11-20,39.0,39.0,39.0,39.0,7.0,,69103200.0
2007-11-21,32.0,32.0,32.0,32.0,-7.0,,16699300.0
2007-11-23,32.0,32.0,32.0,32.0,0.0,,12805000.0
2007-11-26,30.0,30.0,30.0,30.0,-2.0,,56421800.0
2007-11-27,34.0,34.0,34.0,34.0,4.0,,112284000.0
2007-11-28,25.0,25.0,25.0,25.0,-9.0,,5235500.0
2007-11-29,37.0,37.0,37.0,37.0,12.0,,272090000.0
2007-11-30,37.0,37.0,37.0,37.0,0.0,,19246400.0
2007-12-03,30.0,30.0,30.0,30.0,-7.0,,9606600.0
2007-12-04,42.0,42.0,42.0,42.0,12.0,,50542500.0
