Time,Open,High,Low,Last,Change,%Chg,Volume
2000-10-10,80.5,82.31,79.12,79.12,59.3,,0
2000-10-11,75.75,76.94,74.5,75.31,-3.81,,0
2000-10-12,76.5,76.5,73.0,73.0,-2.31,,0
2000-10-13,73.0,76.78,73.0,76.78,3.78,,0
2000-10-16,77.41,77.41,77.41,77.41,0.63,,0
2000-10-17,75.7,75.7,74.88,74.98,-2.43,,0
2000-10-18,71.78,75.88,71.36,74.22,-0.76,,0
2000-10-19,78.0,80.34,78.0,80.34,6.12,,0
2000-10-20,81.62,83.92,81.61,83.0,2.66,,0
2000-10-23,82.5,83.0,80.62,81.11,-1.89,,0
2000-10-24,82.38,83.06,79.95,79.95,-1.16,,0
2000-10-25,77.55,79.39,74.61,74.83,-5.12,,0
2000-10-26,74.59,76.34,70.95,76.34,1.51,,0
2000-10-27,78.17,78.22,75.5,76.38,0.04,,0
2000-10-30,75.77,76.42,73.44,74.75,-1.63,,0
2000-10-31,75.83,77.84,75.59,77.84,3.09,,0
2000-11-01,77.81,79.38,77.0,77.25,-0.59,,0
2000-11-02,80.0,80.25,79.12,80.19,2.94,,0
2000-11-03,79.91,81.19,79.91,80.5,0.31,,0
2000-11-06,80.75,81.06,80.34,80.34,-0.16,,0
2001-01-23,65.99,66.1,58.42,58.57,-21.77,,0
2001-01-24,60.0,61.45,59.83,60.66,2.09,,0
2001-01-25,62.16,63.79,61.79,63.48,2.82,,0
2001-01-26,65.93,66.08,62.46,62.46,-1.02,,0
2001-01-29,63.74,64.08,62.01,62.4,-0.06,,0
2001-01-30,64.19,64.19,62.4,62.5,0.1,,0
2001-01-31,63.92,64.14,59.96,61.45,-1.05,,0
2001-02-01,62.51,63.66,60.42,60.49,-0.96,,0
2001-02-02,61.96,63.82,61.96,63.75,3.26,,0
2001-02-05,64.59,64.59,62.86,62.93,-0.82,,0
2001-02-06,63.71,63.9,60.34,60.7,-2.23,,0
2001-02-07,63.17,63.38,61.95,62.0,1.3,,0
2001-02-08,63.21,63.43,62.1,62.91,0.91,,0
2001-02-09,65.17,65.53,63.83,65.21,2.3,,0
2001-02-12,65.45,65.45,64.05,64.27,-0.94,,0
2001-02-13,64.36,66.38,64.05,66.36,2.09,,0
2001-02-14,67.66,68.22,65.83,65.83,-0.53,,0
2001-02-15,65.24,66.14,63.41,63.55,-2.28,,0
2001-02-16,67.33,67.51,64.13,64.41,0.86,,0
2001-02-20,65.87,67.69,65.69,67.6,3.19,,0
2001-02-21,68.01,69.73,66.32,68.57,0.97,,0
2001-02-22,69.99,72.81,67.97,71.83,3.26,,0
2001-02-23,73.67,74.71,71.82,72.04,0.21,,0
2001-02-26,71.86,72.91,70.08,70.91,-1.13,,0
2001-02-27,72.33,74.38,71.79,73.45,2.54,,0
2001-02-28,75.25,77.16,74.3,75.57,2.12,,0
2001-03-01,77.96,78.96,74.76,74.81,-0.76,,0
2001-03-02,77.22,78.53,75.38,77.43,2.62,,0
2001-03-05,75.2,76.01,72.71,72.79,-4.64,,0
2001-03-06,72.5,72.56,68.47,69.03,-3.76,,0
2001-03-07,70.84,70.84,67.07,67.32,-1.71,,0
2001-03-08,69.57,70.09,66.98,67.63,0.31,,0
2001-03-09,70.68,71.64,69.73,70.7,3.07,,0
2001-03-12,73.43,76.39,72.83,76.25,5.55,,0
2001-03-13,75.94,75.94,72.44,72.67,-3.58,,0
2001-03-14,75.29,75.29,72.58,73.61,0.94,,0
2001-03-15,73.26,75.93,71.81,75.93,2.32,,0
2001-03-16,75.02,77.36,74.79,76.23,0.3,,0
2001-03-19,77.17,77.66,72.44,73.6,-2.63,,0
2001-03-20,75.15,76.02,72.8,74.34,0.74,,0
2001-03-21,74.99,74.99,70.72,71.34,-3.0,,0
2001-03-22,71.46,72.8,69.0,71.54,0.2,,0
2001-03-23,70.78,72.4,70.04,70.7,-0.84,,0
2001-03-26,71.85,72.05,69.05,69.2,-1.5,,0
2001-03-27,70.52,70.97,66.6,66.6,-2.6,,0
2001-03-28,69.46,69.46,67.77,68.37,1.77,,0
2001-03-29,71.5,73.33,71.02,73.22,4.85,,0
2001-03-30,73.68,74.7,71.31,72.13,-1.09,,0
2001-04-02,72.19,74.15,71.69,72.22,0.09,,0
2001-04-03,74.78,75.68,73.79,75.12,2.9,,0
2001-04-04,76.33,77.84,75.84,76.37,1.25,,0
2001-04-05,78.13,78.44,75.86,76.29,-0.08,,0
2001-04-06,79.76,80.46,78.78,79.56,3.27,,0
2001-04-09,77.58,77.58,75.15,75.18,-4.38,,0
2001-04-10,76.08,76.11,73.91,74.4,-0.78,,0
2001-04-11,74.76,74.76,71.28,71.48,-2.92,,0
2001-04-12,72.07,72.65,65.94,66.33,-5.15,,0
2001-04-16,71.02,73.89,70.55,73.37,7.04,,0
2001-04-17,74.06,74.19,72.25,73.59,0.22,,0
2001-04-18,73.16,75.8,67.45,69.71,-3.88,,0
2001-04-19,69.58,71.86,68.01,71.83,2.12,,0
2001-04-20,73.64,76.11,73.21,74.34,2.51,,0
2001-04-23,76.44,79.12,76.44,78.37,4.03,,0
2001-04-24,80.18,82.14,79.08,79.95,1.58,,0
2001-04-25,82.55,83.56,79.07,79.75,-0.2,,0
2001-04-26,79.68,79.8,71.43,78.42,-1.33,,0
2001-04-27,77.59,77.8,68.38,71.3,-7.12,,0
2001-05-01,69.83,70.07,65.21,65.46,-5.84,,0
