Time,Open,High,Low,Last,Change,%Chg,Volume
2002-01-03,63.01,63.01,63.01,63.01,3.14,,0
2002-01-04,65.24,65.24,65.24,65.24,2.23,,0
2002-01-07,64.03,64.03,64.03,64.03,-1.21,,0
2002-01-08,65.0,65.0,65.0,65.0,0.97,,0
2002-01-09,64.78,64.78,64.78,64.78,-0.22,,0
2002-01-10,65.0,65.0,65.0,65.0,0.22,,0
2002-01-11,63.61,63.61,63.61,63.61,-1.39,,0
2002-01-14,61.02,61.02,61.02,61.02,-2.59,,0
2002-01-15,62.2,62.2,62.2,62.2,1.18,,0
2002-01-16,59.31,59.31,59.31,59.31,-2.89,,0
2002-01-17,61.8,61.8,61.8,61.8,2.49,,0
2002-01-18,59.09,59.09,59.09,59.09,-2.71,,0
2002-01-22,57.51,57.51,57.51,57.51,-1.58,,0
2002-01-23,60.28,60.28,60.28,60.28,2.77,,0
2002-01-24,61.19,61.19,61.19,61.19,0.91,,0
2002-01-25,61.1,61.1,61.1,61.1,-0.09,,0
2002-01-28,61.34,61.34,61.34,61.34,0.24,,0
2002-01-29,57.09,57.09,57.09,57.09,-4.25,,0
2002-01-30,59.58,59.58,59.58,59.58,2.49,,0
2002-01-31,62.02,62.02,62.02,62.02,2.44,,0
2002-02-01,61.07,61.07,61.07,61.07,-0.95,,0
2002-02-04,56.33,56.33,56.33,56.33,-4.74,,0
2002-02-05,55.51,55.51,55.51,55.51,-0.82,,0
2002-02-06,53.45,53.45,53.45,53.45,-2.06,,0
2002-02-07,52.42,52.42,52.42,52.42,-1.03,,0
2002-02-08,55.95,55.95,55.95,55.95,3.53,,0
2002-02-11,58.12,58.12,58.12,58.12,2.17,,0
2002-02-12,58.01,58.01,58.01,58.01,-0.11,,0
2002-02-13,59.57,59.57,59.57,59.57,1.56,,0
2002-02-14,58.6,58.6,58.6,58.6,-0.97,,0
2002-02-15,58.79,58.79,58.79,58.79,0.19,,0
2002-02-19,55.09,55.09,55.09,55.09,-3.7,,0
2002-02-20,57.28,57.28,57.28,57.28,2.19,,0
2002-02-21,54.54,54.54,54.54,54.54,-2.74,,0
2002-02-22,56.62,56.62,56.62,56.62,2.08,,0
2002-02-25,58.56,58.56,58.56,58.56,1.94,,0
2002-02-26,58.85,58.85,58.85,58.85,0.29,,0
2002-02-27,59.63,59.63,59.63,59.63,0.78,,0
2002-02-28,59.43,59.43,59.43,59.43,-0.2,,0
2002-03-01,62.73,62.73,62.73,62.73,3.3,,0
2002-03-04,66.61,66.61,66.61,66.61,3.88,,0
2002-03-05,67.16,67.16,67.16,67.16,0.55,,0
2002-03-06,69.51,69.51,69.51,69.51,2.35,,0
2002-03-07,69.34,69.34,69.34,69.34,-0.17,,0
2002-03-08,70.02,70.02,70.02,70.02,0.68,,0
2002-03-11,71.97,71.97,71.97,71.97,1.95,,0
2002-03-12,70.18,70.18,70.18,70.18,-1.79,,0
2002-03-13,68.43,68.43,68.43,68.43,-1.75,,0
2002-03-14,68.96,68.96,68.96,68.96,0.53,,0
2002-03-15,69.18,69.18,69.18,69.18,0.22,,0
2002-03-18,69.95,69.95,69.95,69.95,0.77,,0
2002-03-19,69.91,69.91,69.91,69.91,-0.04,,0
2002-03-20,68.22,68.22,68.22,68.22,-1.69,,0
2002-03-21,69.4,69.4,69.4,69.4,1.18,,0
2002-03-22,68.5,68.5,68.5,68.5,-0.9,,0
2002-03-25,66.96,66.96,66.96,66.96,-1.54,,0
2002-03-26,67.35,67.35,67.35,67.35,0.39,,0
2002-03-27,68.43,68.43,68.43,68.43,1.08,,0
2002-03-28,69.37,69.37,69.37,69.37,0.94,,0
2002-04-01,68.92,68.92,68.92,68.92,-0.45,,0
2002-04-02,67.95,67.95,67.95,67.95,-0.97,,0
2002-04-03,66.92,66.92,66.92,66.92,-1.03,,0
2002-04-04,67.8,67.8,67.8,67.8,0.88,,0
2002-04-05,67.54,67.54,67.54,67.54,-0.26,,0
2002-04-08,67.19,67.19,67.19,67.19,-0.35,,0
2002-04-09,67.32,67.32,67.32,67.32,0.13,,0
2002-04-10,69.31,69.31,69.31,69.31,1.99,,0
2002-04-11,66.63,66.63,66.63,66.63,-2.68,,0
2002-04-12,68.59,68.59,68.59,68.59,1.96,,0
2002-04-15,67.77,67.77,67.77,67.77,-0.82,,0
2002-04-16,71.0,71.0,71.0,71.0,3.23,,0
2002-04-17,70.55,70.55,70.55,70.55,-0.45,,0
2002-04-18,70.78,70.78,70.78,70.78,0.23,,0
2002-04-19,71.23,71.23,71.23,71.23,0.45,,0
2002-04-22,69.26,69.26,69.26,69.26,-1.97,,0
2002-04-23,68.82,68.82,68.82,68.82,-0.44,,0
2002-04-24,67.8,67.8,67.8,67.8,-1.02,,0
2002-04-25,67.21,67.21,67.21,67.21,-0.59,,0
2002-04-26,65.72,65.72,65.72,65.72,-1.49,,0
2002-04-29,64.32,64.32,64.32,64.32,-1.4,,0
2002-04-30,66.18,66.18,66.18,66.18,1.86,,0
2002-05-01,66.87,66.87,66.87,66.87,0.69,,0
2002-05-02,66.61,66.61,66.61,66.61,-0.26,,0
2002-05-03,65.94,65.94,65.94,65.94,-0.67,,0
2002-05-06,63.86,63.86,63.86,63.86,-2.08,,0
2002-05-07,63.35,63.35,63.35,63.35,-0.51,,0
2002-05-08,66.03,66.03,66.03,66.03,2.68,,0
2002-05-09,63.66,63.66,63.66,63.66,-2.37,,0
2002-05-10,61.6,61.6,61.6,61.6,-2.06,,0
2002-05-13,63.03,63.03,63.03,63.03,1.43,,0
2002-05-14,65.19,65.19,65.19,65.19,2.16,,0
2002-05-15,65.29,65.29,65.29,65.29,0.1,,0
2002-05-16,64.48,64.48,64.48,64.48,-0.81,,0
2002-05-17,65.34,65.34,65.34,65.34,0.86,,0
2002-05-20,63.45,63.45,63.45,63.45,-1.89,,0
2002-05-21,61.61,61.61,61.61,61.61,-1.84,,0
