Time,Open,High,Low,Last,Change,%Chg,Volume
2002-01-03,75.25,75.25,75.25,75.25,8.49,,0
2002-01-04,77.5,77.5,77.5,77.5,2.25,,0
2002-01-07,72.42,72.42,72.42,72.42,-5.08,,0
2002-01-08,73.39,73.39,73.39,73.39,0.97,,0
2002-01-09,69.81,69.81,69.81,69.81,-3.58,,0
2002-01-10,67.76,67.76,67.76,67.76,-2.05,,0
2002-01-11,61.84,61.84,61.84,61.84,-5.92,,0
2002-01-14,53.46,53.46,53.46,53.46,-8.38,,0
2002-01-15,54.41,54.41,54.41,54.41,0.95,,0
2002-01-16,45.65,45.65,45.65,45.65,-8.76,,0
2002-01-17,50.33,50.33,50.33,50.33,4.68,,0
2002-01-18,44.06,44.06,44.06,44.06,-6.27,,0
2002-01-22,39.88,39.88,39.88,39.88,-4.18,,0
2002-01-23,45.6,45.6,45.6,45.6,5.72,,0
2002-01-24,46.93,46.93,46.93,46.93,1.33,,0
2002-01-25,47.56,47.56,47.56,47.56,0.63,,0
2002-01-28,48.58,48.58,48.58,48.58,1.02,,0
2002-01-29,39.89,39.89,39.89,39.89,-8.69,,0
2002-01-30,44.42,44.42,44.42,44.42,4.53,,0
2002-01-31,50.52,50.52,50.52,50.52,6.1,,0
2002-02-01,48.93,48.93,48.93,48.93,-1.59,,0
2002-02-04,40.13,40.13,40.13,40.13,-8.8,,0
2002-02-05,38.43,38.43,38.43,38.43,-1.7,,0
2002-02-06,35.42,35.42,35.42,35.42,-3.01,,0
2002-02-07,32.52,32.52,32.52,32.52,-2.9,,0
2002-02-08,40.4,40.4,40.4,40.4,7.88,,0
2002-02-11,46.09,46.09,46.09,46.09,5.69,,0
2002-02-12,47.4,47.4,47.4,47.4,1.31,,0
2002-02-13,52.59,52.59,52.59,52.59,5.19,,0
2002-02-14,49.11,49.11,49.11,49.11,-3.48,,0
2002-02-15,47.76,47.76,47.76,47.76,-1.35,,0
2002-02-19,40.11,40.11,40.11,40.11,-7.65,,0
2002-02-20,45.89,45.89,45.89,45.89,5.78,,0
2002-02-21,40.21,40.21,40.21,40.21,-5.68,,0
2002-02-22,46.81,46.81,46.81,46.81,6.6,,0
