Time,Open,High,Low,Last,Change,%Chg,Volume
2017-01-20,38.4,46.57,38.15,43.35,13.47,,0
2017-01-23,45.49,51.35,34.74,44.18,0.83,,0
2017-01-24,54.09,70.28,51.54,68.49,24.31,,0
2017-01-25,78.74,79.96,75.81,76.89,8.4,,0
2017-01-26,75.61,75.61,62.6,63.14,-13.75,,0
2017-01-27,60.28,60.28,46.62,52.03,-11.11,,0
2017-01-30,26.59,26.59,17.26,24.28,-27.75,,0
2017-01-31,20.91,37.49,20.21,36.85,12.57,,0
2017-02-01,55.15,55.15,36.51,41.44,4.59,,0
2017-02-02,43.19,50.82,42.96,47.29,5.85,,0
2017-02-03,66.89,73.52,63.33,73.4,26.11,,0
2017-02-06,64.56,67.08,51.93,54.3,-19.1,,0
2017-02-07,55.62,59.53,42.37,45.63,-8.67,,0
2017-02-08,32.59,42.88,31.05,41.63,-4.0,,0
2017-02-09,47.34,62.03,47.34,59.99,18.36,,0
2017-02-10,73.86,77.83,69.47,75.6,15.61,,0
2017-02-13,81.19,82.39,72.73,74.44,-1.16,,0
2017-02-14,64.42,69.5,59.41,69.46,-4.98,,0
2017-02-15,54.32,67.54,54.32,67.52,-1.94,,0
2017-02-16,66.19,66.19,47.12,55.4,-12.12,,0
2017-02-17,43.15,53.68,41.86,53.68,-1.72,,0
2017-02-21,59.5,65.02,55.78,61.97,8.29,,0
2017-02-22,52.58,55.25,47.53,51.39,-10.58,,0
2017-02-23,58.67,58.67,35.09,44.34,-7.05,,0
2017-02-24,26.27,40.99,26.27,40.93,-3.41,,0
2017-02-27,37.57,53.8,35.27,53.77,12.84,,0
2017-02-28,46.61,46.61,31.96,32.09,-21.68,,0
2017-03-01,58.78,67.46,57.99,64.62,32.53,,0
2017-03-02,57.63,59.09,42.32,42.52,-22.1,,0
2017-03-03,42.87,47.31,33.31,42.21,-0.31,,0
2017-03-06,28.09,33.41,24.04,30.05,-12.16,,0
2017-03-07,24.69,26.72,20.21,21.74,-8.31,,0
2017-03-08,31.95,35.57,25.01,25.01,3.27,,0
2017-03-09,28.84,36.7,25.61,28.68,3.67,,0
2017-03-10,48.45,50.88,36.54,44.38,15.7,,0
2017-03-13,54.62,61.36,53.29,56.96,12.58,,0
2017-03-14,42.46,46.69,35.15,44.95,-12.01,,0
2017-03-15,58.0,75.32,57.43,71.87,26.92,,0
2017-03-16,78.56,79.02,69.61,71.81,-0.06,,0
2017-03-17,68.81,71.16,61.21,68.89,-2.92,,0
2017-03-20,60.59,60.59,50.0,53.67,-15.22,,0
2017-03-21,55.03,55.03,18.44,18.44,-35.23,,0
2017-03-22,14.44,20.01,13.02,19.88,1.44,,0
2017-03-23,18.93,40.4,18.93,31.8,11.92,,0
2017-03-24,52.45,59.25,38.61,44.79,12.99,,0
2017-03-27,34.19,61.06,31.49,58.57,13.78,,0
2017-03-28,53.2,72.35,50.12,70.51,11.94,,0
2017-03-29,62.84,71.56,61.66,69.6,-0.91,,0
2017-03-30,69.03,72.47,67.95,72.01,2.41,,0
