Time,Open,High,Low,Last,Change,%Chg,Volume
2002-01-03,77.62,77.62,77.62,77.62,3.1,,0
2002-01-04,78.53,78.53,78.53,78.53,0.91,,0
2002-01-07,76.73,76.73,76.73,76.73,-1.8,,0
2002-01-08,77.56,77.56,77.56,77.56,0.83,,0
2002-01-09,75.7,75.7,75.7,75.7,-1.86,,0
2002-01-10,74.82,74.82,74.82,74.82,-0.88,,0
2002-01-11,72.38,72.38,72.38,72.38,-2.44,,0
2002-01-14,67.42,67.42,67.42,67.42,-4.96,,0
2002-01-15,68.47,68.47,68.47,68.47,1.05,,0
2002-01-16,62.64,62.64,62.64,62.64,-5.83,,0
2002-01-17,66.08,66.08,66.08,66.08,3.44,,0
2002-01-18,60.76,60.76,60.76,60.76,-5.32,,0
2002-01-22,56.39,56.39,56.39,56.39,-4.37,,0
2002-01-23,60.47,60.47,60.47,60.47,4.08,,0
2002-01-24,61.46,61.46,61.46,61.46,0.99,,0
2002-01-25,61.08,61.08,61.08,61.08,-0.38,,0
2002-01-28,60.63,60.63,60.63,60.63,-0.45,,0
2002-01-29,53.91,53.91,53.91,53.91,-6.72,,0
2002-01-30,56.36,56.36,56.36,56.36,2.45,,0
2002-01-31,59.28,59.28,59.28,59.28,2.92,,0
2002-02-01,58.05,58.05,58.05,58.05,-1.23,,0
2002-02-04,51.08,51.08,51.08,51.08,-6.97,,0
2002-02-05,49.66,49.66,49.66,49.66,-1.42,,0
2002-02-06,46.27,46.27,46.27,46.27,-3.39,,0
2002-02-07,43.33,43.33,43.33,43.33,-2.94,,0
2002-02-08,47.6,47.6,47.6,47.6,4.27,,0
2002-02-11,50.77,50.77,50.77,50.77,3.17,,0
2002-02-12,50.35,50.35,50.35,50.35,-0.42,,0
2002-02-13,52.96,52.96,52.96,52.96,2.61,,0
2002-02-14,50.85,50.85,50.85,50.85,-2.11,,0
2002-02-15,50.44,50.44,50.44,50.44,-0.41,,0
2002-02-19,45.59,45.59,45.59,45.59,-4.85,,0
2002-02-20,48.87,48.87,48.87,48.87,3.28,,0
2002-02-21,44.99,44.99,44.99,44.99,-3.88,,0
2002-02-22,47.91,47.91,47.91,47.91,2.92,,0
2002-02-25,50.54,50.54,50.54,50.54,2.63,,0
2002-02-26,51.25,51.25,51.25,51.25,0.71,,0
2002-02-27,51.51,51.51,51.51,51.51,0.26,,0
2002-02-28,51.28,51.28,51.28,51.28,-0.23,,0
2002-03-01,56.51,56.51,56.51,56.51,5.23,,0
2002-03-04,62.47,62.47,62.47,62.47,5.96,,0
2002-03-05,62.76,62.76,62.76,62.76,0.29,,0
2002-03-06,66.59,66.59,66.59,66.59,3.83,,0
2002-03-07,66.07,66.07,66.07,66.07,-0.52,,0
2002-03-08,67.44,67.44,67.44,67.44,1.37,,0
2002-03-11,69.45,69.45,69.45,69.45,2.01,,0
2002-03-12,66.15,66.15,66.15,66.15,-3.3,,0
2002-03-13,63.47,63.47,63.47,63.47,-2.68,,0
2002-03-14,64.6,64.6,64.6,64.6,1.13,,0
2002-03-15,65.36,65.36,65.36,65.36,0.76,,0
2002-03-18,66.53,66.53,66.53,66.53,1.17,,0
2002-03-19,66.95,66.95,66.95,66.95,0.42,,0
2002-03-20,64.4,64.4,64.4,64.4,-2.55,,0
2002-03-21,66.27,66.27,66.27,66.27,1.87,,0
2002-03-22,65.32,65.32,65.32,65.32,-0.95,,0
2002-03-25,62.38,62.38,62.38,62.38,-2.94,,0
2002-03-26,64.09,64.09,64.09,64.09,1.71,,0
2002-03-27,65.78,65.78,65.78,65.78,1.69,,0
2002-03-28,67.32,67.32,67.32,67.32,1.54,,0
2002-04-01,66.13,66.13,66.13,66.13,-1.19,,0
2002-04-02,63.84,63.84,63.84,63.84,-2.29,,0
2002-04-03,61.34,61.34,61.34,61.34,-2.5,,0
2002-04-04,62.03,62.03,62.03,62.03,0.69,,0
2002-04-05,62.09,62.09,62.09,62.09,0.06,,0
2002-04-08,62.31,62.31,62.31,62.31,0.22,,0
2002-04-09,61.45,61.45,61.45,61.45,-0.86,,0
2002-04-10,64.66,64.66,64.66,64.66,3.21,,0
2002-04-11,60.53,60.53,60.53,60.53,-4.13,,0
2002-04-12,64.28,64.28,64.28,64.28,3.75,,0
