Time,Open,High,Low,Last,Change,%Chg,Volume
2007-03-15,22.55,22.57,20.48,20.59,-1.66,-7.46%,0.0
2007-03-16,20.63,23.23,19.91,22.25,1.66,+8.06%,0.0
2007-03-19,22.24,22.24,20.89,21.32,-0.93,-4.18%,0.0
2007-03-20,21.48,21.56,19.97,20.04,-1.28,-6.00%,0.0
2007-03-21,20.09,20.57,18.18,18.72,-1.32,-6.59%,0.0
2007-03-22,18.67,19.41,18.42,18.44,-0.28,-1.50%,0.0
2007-03-23,18.42,18.7,18.23,18.52,0.08,+0.43%,0.0
2007-03-26,19.39,20.41,18.9,19.07,0.55,+2.97%,0.0
2007-03-27,19.42,20.18,19.42,19.53,0.46,+2.41%,0.0
2007-03-28,20.66,21.68,20.43,21.06,1.53,+7.83%,0.0
2007-03-29,20.23,22.18,20.05,21.09,0.03,+0.14%,0.0
2007-03-30,20.8,21.7,20.19,20.77,-0.32,-1.52%,0.0
2007-04-02,21.29,21.77,20.81,20.84,0.07,+0.34%,0.0
2007-04-03,20.31,20.4,18.92,19.5,-1.34,-6.43%,0.0
2007-04-04,19.6,19.95,19.09,19.24,-0.26,-1.33%,0.0
2007-04-05,19.36,19.4,18.33,18.74,-0.5,-2.60%,0.0
2007-04-09,19.61,20.21,19.58,19.9,1.16,+6.19%,0.0
2007-04-10,20.0,20.01,18.9,19.04,-0.86,-4.32%,0.0
2007-04-11,19.1,20.18,19.1,19.32,0.28,+1.47%,0.0
2007-04-12,19.52,20.15,18.29,18.48,-0.84,-4.35%,0.0
2007-04-13,18.36,18.66,17.47,17.49,-0.99,-5.36%,0.0
2007-04-16,17.79,17.79,16.18,16.32,-1.17,-6.69%,0.0
2007-04-17,16.55,16.97,16.31,16.39,0.07,+0.43%,0.0
2007-04-18,16.8,17.35,16.31,16.81,0.42,+2.56%,0.0
2007-04-19,17.64,18.09,17.04,17.61,0.8,+4.76%,0.0
2007-04-20,16.86,17.63,16.36,17.15,-0.46,-2.61%,0.0
2007-04-23,17.7,17.82,17.35,17.57,0.42,+2.45%,0.0
2007-04-24,17.41,18.55,17.41,17.7,0.13,+0.74%,0.0
2007-04-25,17.34,18.06,17.08,17.71,0.01,+0.06%,0.0
2007-04-26,17.71,18.23,16.83,16.94,-0.77,-4.35%,0.0
2007-04-27,17.51,17.97,16.86,16.86,-0.08,-0.47%,0.0
2007-04-30,17.55,19.65,17.54,19.64,2.78,+16.49%,0.0
2007-05-01,19.56,20.55,19.09,19.11,-0.53,-2.70%,0.0
2007-05-02,19.24,19.24,17.83,18.43,-0.68,-3.56%,0.0
2007-05-03,18.35,18.54,18.07,18.49,0.06,+0.33%,0.0
2007-05-04,18.17,18.77,17.81,18.33,-0.16,-0.87%,0.0
2007-05-07,19.03,19.41,18.52,18.69,0.36,+1.96%,0.0
2007-05-08,19.32,20.06,18.82,19.14,0.45,+2.41%,0.0
2007-05-09,19.45,19.58,18.28,18.86,-0.28,-1.46%,0.0
2007-05-10,19.3,20.8,19.26,20.26,1.4,+7.42%,0.0
2007-05-11,19.97,19.97,18.53,18.71,-1.55,-7.65%,0.0
2007-05-14,19.14,20.43,18.76,20.17,1.46,+7.80%,0.0
2007-05-15,20.16,20.49,19.41,20.22,0.05,+0.25%,0.0
