Time,Open,High,Low,Last,Change,%Chg,Volume
1999-01-04,69.37,69.37,69.37,69.37,0.0,0.0,0
1999-01-05,63.6,63.6,63.6,63.6,0.0,0.0,0
1999-01-06,64.4,64.4,64.4,64.4,0.0,0.0,0
1999-01-07,50.43,50.43,50.43,50.43,0.0,0.0,0
1999-01-08,53.96,53.96,53.96,53.96,0.0,0.0,0
1999-01-11,46.34,46.34,46.34,46.34,0.0,0.0,0
1999-01-12,33.49,33.49,33.49,33.49,0.0,0.0,0
1999-01-13,29.08,29.08,29.08,29.08,0.0,0.0,0
1999-01-14,23.41,23.41,23.41,23.41,0.0,0.0,0
1999-01-15,49.25,49.25,49.25,49.25,0.0,0.0,0
1999-01-18,49.25,49.25,49.25,49.25,0.0,0.0,0
1999-01-19,54.42,54.42,54.42,54.42,0.0,0.0,0
1999-01-20,52.35,52.35,52.35,52.35,0.0,0.0,0
1999-01-21,39.67,39.67,39.67,39.67,0.0,0.0,0
1999-01-22,34.59,34.59,34.59,34.59,0.0,0.0,0
1999-01-25,38.83,38.83,38.83,38.83,0.0,0.0,0
1999-01-26,47.28,47.28,47.28,47.28,0.0,0.0,0
1999-01-27,38.23,38.23,38.23,38.23,0.0,0.0,0
1999-01-28,44.44,44.44,44.44,44.44,0.0,0.0,0
1999-01-29,50.03,50.03,50.03,50.03,0.0,0.0,0
1999-02-01,46.23,46.23,46.23,46.23,0.0,0.0,0
1999-02-02,38.71,38.71,38.71,38.71,0.0,0.0,0
1999-02-03,46.16,46.16,46.16,46.16,0.0,0.0,0
1999-02-04,34.07,34.07,34.07,34.07,0.0,0.0,0
1999-02-05,30.49,30.49,30.49,30.49,0.0,0.0,0
1999-02-08,33.6,33.6,33.6,33.6,0.0,0.0,0
1999-02-09,25.41,25.41,25.41,25.41,0.0,0.0,0
1999-02-10,23.34,23.34,23.34,23.34,0.0,0.0,0
1999-02-11,42.73,42.73,42.73,42.73,0.0,0.0,0
1999-02-12,30.43,30.43,30.43,30.43,0.0,0.0,0
1999-02-15,30.43,30.43,30.43,30.43,0.0,0.0,0
1999-02-16,36.02,36.02,36.02,36.02,0.0,0.0,0
1999-02-17,26.49,26.49,26.49,26.49,0.0,0.0,0
1999-02-18,35.42,35.42,35.42,35.42,0.0,0.0,0
1999-02-19,45.33,45.33,45.33,45.33,0.0,0.0,0
1999-02-22,61.39,61.39,61.39,61.39,0.0,0.0,0
1999-02-23,61.66,61.66,61.66,61.66,0.0,0.0,0
1999-02-24,45.8,45.8,45.8,45.8,0.0,0.0,0
1999-02-25,37.37,37.37,37.37,37.37,0.0,0.0,0
1999-02-26,37.37,37.37,37.37,37.37,0.0,0.0,0
1999-03-01,42.99,42.99,42.99,42.99,0.0,0.0,0
1999-03-02,46.64,46.64,46.64,46.64,0.0,0.0,0
1999-03-03,42.29,42.29,42.29,42.29,0.0,0.0,0
1999-03-04,50.18,50.18,50.18,50.18,0.0,0.0,0
1999-03-05,61.19,61.19,61.19,61.19,0.0,0.0,0
1999-03-08,55.22,55.22,55.22,55.22,0.0,0.0,0
1999-03-09,49.46,49.46,49.46,49.46,0.0,0.0,0
1999-03-10,50.1,50.1,50.1,50.1,0.0,0.0,0
1999-03-11,51.34,51.34,51.34,51.34,0.0,0.0,0
1999-03-12,47.22,47.22,47.22,47.22,0.0,0.0,0
1999-03-15,51.17,51.17,51.17,51.17,0.0,0.0,0
1999-03-16,42.36,42.36,42.36,42.36,0.0,0.0,0
1999-03-17,39.11,39.11,39.11,39.11,0.0,0.0,0
1999-03-18,46.48,46.48,46.48,46.48,0.0,0.0,0
1999-03-19,36.31,36.31,36.31,36.31,0.0,0.0,0
1999-03-22,34.23,34.23,34.23,34.23,0.0,0.0,0
1999-03-23,19.38,19.38,19.38,19.38,0.0,0.0,0
1999-03-24,28.93,28.93,28.93,28.93,0.0,0.0,0
1999-03-25,52.06,52.06,52.06,52.06,0.0,0.0,0
1999-03-26,53.73,53.73,53.73,53.73,0.0,0.0,0
1999-03-29,67.9,67.9,67.9,67.9,0.0,0.0,0
1999-03-30,56.68,56.68,56.68,56.68,0.0,0.0,0
1999-03-31,47.55,47.55,47.55,47.55,0.0,0.0,0
1999-04-01,46.78,46.78,46.78,46.78,0.0,0.0,0
1999-04-02,46.79,46.79,46.79,46.79,0.0,0.0,0
1999-04-05,51.26,51.26,51.26,51.26,0.0,0.0,0
1999-04-06,42.42,42.42,42.42,42.42,0.0,0.0,0
1999-04-07,39.56,39.56,39.56,39.56,0.0,0.0,0
1999-04-08,44.64,44.64,44.64,44.64,0.0,0.0,0
1999-04-09,55.08,55.08,55.08,55.08,0.0,0.0,0
1999-04-12,62.72,62.72,62.72,62.72,0.0,0.0,0
1999-04-13,61.44,61.44,61.44,61.44,0.0,0.0,0
1999-04-14,63.39,63.39,63.39,63.39,0.0,0.0,0
