Time,Open,High,Low,Last,Change,%Chg,Volume
2000-12-29,54.0,54.0,54.0,54.0,,-75.9259,0
2001-01-02,13.0,13.0,13.0,13.0,-41.0,-75.9259,0
2001-01-03,20.0,20.0,20.0,20.0,7.0,53.8462,0
2001-01-04,31.0,31.0,31.0,31.0,11.0,55.0,0
2001-01-05,4.0,4.0,4.0,4.0,-27.0,-87.0968,0
2001-01-08,6.0,6.0,6.0,6.0,2.0,50.0,0
2001-01-09,5.0,5.0,5.0,5.0,-1.0,-16.6667,0
2001-01-10,3.0,3.0,3.0,3.0,-2.0,-40.0,0
2001-01-11,4.0,4.0,4.0,4.0,1.0,33.3333,0
2001-01-12,1.0,1.0,1.0,1.0,-3.0,-75.0,0
2001-01-16,7.0,7.0,7.0,7.0,6.0,600.0,0
2001-01-17,5.0,5.0,5.0,5.0,-2.0,-28.5714,0
2001-01-18,4.0,4.0,4.0,4.0,-1.0,-20.0,0
2001-01-19,4.0,4.0,4.0,4.0,0.0,0.0,0
2001-01-22,3.0,3.0,3.0,3.0,-1.0,-25.0,0
2001-01-23,10.0,10.0,10.0,10.0,7.0,233.333,0
2001-01-24,8.0,8.0,8.0,8.0,-2.0,-20.0,0
2001-01-25,11.0,11.0,11.0,11.0,3.0,37.5,0
2001-01-26,11.0,11.0,11.0,11.0,0.0,0.0,0
2001-01-29,15.0,15.0,15.0,15.0,4.0,36.3636,0
2001-01-30,13.0,13.0,13.0,13.0,-2.0,-13.3333,0
2001-01-31,15.0,15.0,15.0,15.0,2.0,15.3846,0
2001-02-01,20.0,20.0,20.0,20.0,5.0,33.3333,0
2001-02-02,25.0,25.0,25.0,25.0,5.0,25.0,0
2001-02-05,19.0,19.0,19.0,19.0,-6.0,-24.0,0
2001-02-06,16.0,16.0,16.0,16.0,-3.0,-15.7895,0
2001-02-07,20.0,20.0,20.0,20.0,4.0,25.0,0
2001-02-08,12.0,12.0,12.0,12.0,-8.0,-40.0,0
2001-02-09,13.0,13.0,13.0,13.0,1.0,8.33333,0
2001-02-12,14.0,14.0,14.0,14.0,1.0,7.69231,0
2001-02-13,24.0,24.0,24.0,24.0,10.0,71.4286,0
2001-02-14,20.0,20.0,20.0,20.0,-4.0,-16.6667,0
2001-02-15,7.0,7.0,7.0,7.0,-13.0,-65.0,0
2001-02-16,13.0,13.0,13.0,13.0,6.0,85.7143,0
2001-02-20,23.0,23.0,23.0,23.0,10.0,76.9231,0
2001-02-21,19.0,19.0,19.0,19.0,-4.0,-17.3913,0
2001-02-22,8.0,8.0,8.0,8.0,-11.0,-57.8947,0
2001-02-23,3.0,3.0,3.0,3.0,-5.0,-62.5,0
2001-02-26,10.0,10.0,10.0,10.0,7.0,233.333,0
2001-02-27,8.0,8.0,8.0,8.0,-2.0,-20.0,0
2001-02-28,15.0,15.0,15.0,15.0,7.0,87.5,0
2001-03-01,9.0,9.0,9.0,9.0,-6.0,-40.0,0
2001-03-02,18.0,18.0,18.0,18.0,9.0,100.0,0
2001-03-05,25.0,25.0,25.0,25.0,7.0,38.8889,0
2001-03-06,20.0,20.0,20.0,20.0,-5.0,-20.0,0
2001-03-07,35.0,35.0,35.0,35.0,15.0,75.0,0
2001-03-08,49.0,49.0,49.0,49.0,14.0,40.0,0
2001-03-09,23.0,23.0,23.0,23.0,-26.0,-53.0612,0
2001-03-12,4.0,4.0,4.0,4.0,-19.0,-82.6087,0
2001-03-13,0.0,0.0,0.0,0.0,-4.0,-100.0,0
2001-03-14,0.0,0.0,0.0,0.0,0.0,,0
2001-03-15,1.0,1.0,1.0,1.0,1.0,inf,0
2001-03-16,1.0,1.0,1.0,1.0,0.0,0.0,0
2001-03-19,3.0,3.0,3.0,3.0,2.0,200.0,0
2001-03-20,3.0,3.0,3.0,3.0,0.0,0.0,0
2001-03-21,3.0,3.0,3.0,3.0,0.0,0.0,0
2001-03-22,2.0,2.0,2.0,2.0,-1.0,-33.3333,0
2001-03-23,1.0,1.0,1.0,1.0,-1.0,-50.0,0
2001-03-26,0.0,0.0,0.0,0.0,-1.0,-100.0,0
2001-03-27,4.0,4.0,4.0,4.0,4.0,inf,0
2001-03-28,5.0,5.0,5.0,5.0,1.0,25.0,0
2001-03-29,5.0,5.0,5.0,5.0,0.0,0.0,0
2001-03-30,10.0,10.0,10.0,10.0,5.0,100.0,0
2001-04-02,12.0,12.0,12.0,12.0,2.0,20.0,0
2001-04-03,3.0,3.0,3.0,3.0,-9.0,-75.0,0
2001-04-04,4.0,4.0,4.0,4.0,1.0,33.3333,0
2001-04-05,4.0,4.0,4.0,4.0,0.0,0.0,0
2001-04-06,5.0,5.0,5.0,5.0,1.0,25.0,0
2001-04-09,7.0,7.0,7.0,7.0,2.0,40.0,0
2001-04-10,19.0,19.0,19.0,19.0,12.0,171.429,0
2001-04-11,9.0,9.0,9.0,9.0,-10.0,-52.6316,0
2001-04-12,4.0,4.0,4.0,4.0,-5.0,-55.5556,0
2001-04-16,8.0,8.0,8.0,8.0,4.0,100.0,0
2001-04-17,12.0,12.0,12.0,12.0,4.0,50.0,0
2001-04-18,31.0,31.0,31.0,31.0,19.0,158.333,0
2001-04-19,11.0,11.0,11.0,11.0,-20.0,-64.5161,0
2001-04-20,8.0,8.0,8.0,8.0,-3.0,-27.2727,0
2001-04-23,12.0,12.0,12.0,12.0,4.0,50.0,0
2001-04-24,21.0,21.0,21.0,21.0,9.0,75.0,0
2001-04-25,22.0,22.0,22.0,22.0,1.0,4.7619,0
2001-04-26,35.0,35.0,35.0,35.0,13.0,59.0909,0
2001-04-27,28.0,28.0,28.0,28.0,-7.0,-20.0,0
2001-04-30,24.0,24.0,24.0,24.0,-4.0,-14.2857,0
2001-05-01,10.0,10.0,10.0,10.0,-14.0,-58.3333,0
2001-05-02,10.0,10.0,10.0,10.0,0.0,0.0,0
2001-05-03,4.0,4.0,4.0,4.0,-6.0,-60.0,0
2001-05-04,10.0,10.0,10.0,10.0,6.0,150.0,0
2001-05-07,11.0,11.0,11.0,11.0,1.0,10.0,0
2001-05-08,10.0,10.0,10.0,10.0,-1.0,-9.09091,0
2001-05-09,11.0,11.0,11.0,11.0,1.0,10.0,0
2001-05-10,22.0,22.0,22.0,22.0,11.0,100.0,0
2001-05-11,23.0,23.0,23.0,23.0,1.0,4.54545,0
2001-05-14,8.0,8.0,8.0,8.0,-15.0,-65.2174,0
2001-05-15,22.0,22.0,22.0,22.0,14.0,175.0,0
2001-05-16,60.0,60.0,60.0,60.0,38.0,172.727,0
2001-05-17,63.0,63.0,63.0,63.0,3.0,5.0,0
2001-05-18,35.0,35.0,35.0,35.0,-28.0,-44.4444,0
2001-05-21,46.0,46.0,46.0,46.0,11.0,31.4286,0
2001-05-22,39.0,39.0,39.0,39.0,-7.0,-15.2174,0
2001-05-23,15.0,15.0,15.0,15.0,-24.0,-61.5385,0
2001-05-24,13.0,13.0,13.0,13.0,-2.0,-13.3333,0
2001-05-25,8.0,8.0,8.0,8.0,-5.0,-38.4615,0
2001-05-29,11.0,11.0,11.0,11.0,3.0,37.5,0
2001-05-30,7.0,7.0,7.0,7.0,-4.0,-36.3636,0
2001-05-31,6.0,6.0,6.0,6.0,-1.0,-14.2857,0
2001-06-01,6.0,6.0,6.0,6.0,0.0,0.0,0
2001-06-04,13.0,13.0,13.0,13.0,7.0,116.667,0
2001-06-05,29.0,29.0,29.0,29.0,16.0,123.077,0
2001-06-06,30.0,30.0,30.0,30.0,1.0,3.44828,0
2001-06-07,17.0,17.0,17.0,17.0,-13.0,-43.3333,0
2001-06-08,20.0,20.0,20.0,20.0,3.0,17.6471,0
2001-06-11,12.0,12.0,12.0,12.0,-8.0,-40.0,0
2001-06-12,7.0,7.0,7.0,7.0,-5.0,-41.6667,0
2001-06-13,15.0,15.0,15.0,15.0,8.0,114.286,0
2001-06-14,6.0,6.0,6.0,6.0,-9.0,-60.0,0
2001-06-15,8.0,8.0,8.0,8.0,2.0,33.3333,0
2001-06-18,13.0,13.0,13.0,13.0,5.0,62.5,0
2001-06-19,13.0,13.0,13.0,13.0,0.0,0.0,0
2001-06-20,21.0,21.0,21.0,21.0,8.0,61.5385,0
2001-06-21,25.0,25.0,25.0,25.0,4.0,19.0476,0
2001-06-22,10.0,10.0,10.0,10.0,-15.0,-60.0,0
2001-06-25,7.0,7.0,7.0,7.0,-3.0,-30.0,0
2001-06-26,6.0,6.0,6.0,6.0,-1.0,-14.2857,0
2001-06-27,13.0,13.0,13.0,13.0,7.0,116.667,0
2001-06-28,23.0,23.0,23.0,23.0,10.0,76.9231,0
2001-06-29,18.0,18.0,18.0,18.0,-5.0,-21.7391,0
2001-07-02,21.0,21.0,21.0,21.0,3.0,16.6667,0
2001-07-03,11.0,11.0,11.0,11.0,-10.0,-47.619,0
2001-07-05,7.0,7.0,7.0,7.0,-4.0,-36.3636,0
2001-07-06,5.0,5.0,5.0,5.0,-2.0,-28.5714,0
2001-07-09,2.0,2.0,2.0,2.0,-3.0,-60.0,0
2001-07-10,5.0,5.0,5.0,5.0,3.0,150.0,0
2001-07-11,7.0,7.0,7.0,7.0,2.0,40.0,0
2001-07-12,12.0,12.0,12.0,12.0,5.0,71.4286,0
2001-07-13,18.0,18.0,18.0,18.0,6.0,50.0,0
2001-07-16,25.0,25.0,25.0,25.0,7.0,38.8889,0
2001-07-17,30.0,30.0,30.0,30.0,5.0,20.0,0
2001-07-18,26.0,26.0,26.0,26.0,-4.0,-13.3333,0
2001-07-19,44.0,44.0,44.0,44.0,18.0,69.2308,0
2001-07-20,19.0,19.0,19.0,19.0,-25.0,-56.8182,0
2001-07-23,15.0,15.0,15.0,15.0,-4.0,-21.0526,0
2001-07-24,6.0,6.0,6.0,6.0,-9.0,-60.0,0
2001-07-25,8.0,8.0,8.0,8.0,2.0,33.3333,0
2001-07-26,16.0,16.0,16.0,16.0,8.0,100.0,0
2001-07-27,18.0,18.0,18.0,18.0,2.0,12.5,0
2001-07-30,17.0,17.0,17.0,17.0,-1.0,-5.55556,0
2001-07-31,28.0,28.0,28.0,28.0,11.0,64.7059,0
2001-08-01,20.0,20.0,20.0,20.0,-8.0,-28.5714,0
2001-08-02,25.0,25.0,25.0,25.0,5.0,25.0,0
2001-08-03,18.0,18.0,18.0,18.0,-7.0,-28.0,0
2001-08-06,9.0,9.0,9.0,9.0,-9.0,-50.0,0
