Time,Open,High,Low,Last,Change,%Chg,Volume
2000-12-29,4.0,4.0,4.0,4.0,,0.0,0
2001-01-02,11.0,11.0,11.0,11.0,7.0,0.0,0
2001-01-03,8.0,8.0,8.0,8.0,-3.0,0.0,0
2001-01-04,2.0,2.0,2.0,2.0,-6.0,0.0,0
2001-01-05,1.0,1.0,1.0,1.0,-1.0,0.0,0
2001-01-08,3.0,3.0,3.0,3.0,2.0,0.0,0
2001-01-09,1.0,1.0,1.0,1.0,-2.0,0.0,0
2001-01-10,1.0,1.0,1.0,1.0,0.0,0.0,0
2001-01-11,1.0,1.0,1.0,1.0,0.0,0.0,0
2001-01-12,0.0,0.0,0.0,0.0,-1.0,0.0,0
2001-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0
2001-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0
2001-01-18,1.0,1.0,1.0,1.0,1.0,0.0,0
2001-01-19,0.0,0.0,0.0,0.0,-1.0,0.0,0
2001-01-22,2.0,2.0,2.0,2.0,2.0,0.0,0
2001-01-23,0.0,0.0,0.0,0.0,-2.0,0.0,0
2001-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0
2001-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0
2001-01-26,1.0,1.0,1.0,1.0,1.0,0.0,0
2001-01-29,0.0,0.0,0.0,0.0,-1.0,0.0,0
2001-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0
2001-01-31,1.0,1.0,1.0,1.0,1.0,0.0,0
2001-02-01,0.0,0.0,0.0,0.0,-1.0,0.0,0
2001-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0
2001-02-05,2.0,2.0,2.0,2.0,2.0,0.0,0
2001-02-06,0.0,0.0,0.0,0.0,-2.0,0.0,0
2001-02-07,1.0,1.0,1.0,1.0,1.0,0.0,0
2001-02-08,1.0,1.0,1.0,1.0,0.0,0.0,0
2001-02-09,1.0,1.0,1.0,1.0,0.0,0.0,0
2001-02-12,2.0,2.0,2.0,2.0,1.0,0.0,0
2001-02-13,0.0,0.0,0.0,0.0,-2.0,0.0,0
2001-02-14,1.0,1.0,1.0,1.0,1.0,0.0,0
2001-02-15,0.0,0.0,0.0,0.0,-1.0,0.0,0
2001-02-16,1.0,1.0,1.0,1.0,1.0,0.0,0
2001-02-20,3.0,3.0,3.0,3.0,2.0,0.0,0
2001-02-21,5.0,5.0,5.0,5.0,2.0,0.0,0
2001-02-22,7.0,7.0,7.0,7.0,2.0,0.0,0
2001-02-23,6.0,6.0,6.0,6.0,-1.0,0.0,0
2001-02-26,3.0,3.0,3.0,3.0,-3.0,0.0,0
2001-02-27,5.0,5.0,5.0,5.0,2.0,0.0,0
2001-02-28,6.0,6.0,6.0,6.0,1.0,0.0,0
2001-03-01,8.0,8.0,8.0,8.0,2.0,0.0,0
2001-03-02,6.0,6.0,6.0,6.0,-2.0,0.0,0
2001-03-05,1.0,1.0,1.0,1.0,-5.0,0.0,0
2001-03-06,1.0,1.0,1.0,1.0,0.0,0.0,0
2001-03-07,2.0,2.0,2.0,2.0,1.0,0.0,0
2001-03-08,3.0,3.0,3.0,3.0,1.0,0.0,0
2001-03-09,5.0,5.0,5.0,5.0,2.0,0.0,0
2001-03-12,11.0,11.0,11.0,11.0,6.0,0.0,0
2001-03-13,5.0,5.0,5.0,5.0,-6.0,0.0,0
2001-03-14,9.0,9.0,9.0,9.0,4.0,0.0,0
2001-03-15,4.0,4.0,4.0,4.0,-5.0,0.0,0
2001-03-16,14.0,14.0,14.0,14.0,10.0,0.0,0
2001-03-19,9.0,9.0,9.0,9.0,-5.0,0.0,0
2001-03-20,6.0,6.0,6.0,6.0,-3.0,0.0,0
2001-03-21,11.0,11.0,11.0,11.0,5.0,0.0,0
2001-03-22,16.0,16.0,16.0,16.0,5.0,0.0,0
2001-03-23,1.0,1.0,1.0,1.0,-15.0,0.0,0
2001-03-26,2.0,2.0,2.0,2.0,1.0,0.0,0
2001-03-27,1.0,1.0,1.0,1.0,-1.0,0.0,0
2001-03-28,7.0,7.0,7.0,7.0,6.0,0.0,0
2001-03-29,12.0,12.0,12.0,12.0,5.0,0.0,0
2001-03-30,7.0,7.0,7.0,7.0,-5.0,0.0,0
2001-04-02,16.0,16.0,16.0,16.0,9.0,0.0,0
2001-04-03,33.0,33.0,33.0,33.0,17.0,0.0,0
2001-04-04,32.0,32.0,32.0,32.0,-1.0,0.0,0
2001-04-05,1.0,1.0,1.0,1.0,-31.0,0.0,0
2001-04-06,7.0,7.0,7.0,7.0,6.0,0.0,0
2001-04-09,7.0,7.0,7.0,7.0,0.0,0.0,0
2001-04-10,4.0,4.0,4.0,4.0,-3.0,0.0,0
2001-04-11,2.0,2.0,2.0,2.0,-2.0,0.0,0
2001-04-12,2.0,2.0,2.0,2.0,0.0,0.0,0
2001-04-16,1.0,1.0,1.0,1.0,-1.0,0.0,0
2001-04-17,1.0,1.0,1.0,1.0,0.0,0.0,0
2001-04-18,1.0,1.0,1.0,1.0,0.0,0.0,0
2001-04-19,1.0,1.0,1.0,1.0,0.0,0.0,0
