Time,Open,High,Low,Last,Change,%Chg,Volume
1950-01-03,16.66,16.66,16.66,16.66,0.0,0.0,0
1950-01-04,16.85,16.85,16.85,16.85,0.0,0.0,0
1950-01-05,16.93,16.93,16.93,16.93,0.0,0.0,0
1950-01-06,16.98,16.98,16.98,16.98,0.0,0.0,0
1950-01-09,17.08,17.08,17.08,17.08,0.0,0.0,0
1950-01-10,17.03,17.03,17.03,17.03,0.0,0.0,0
1950-01-11,17.09,17.09,17.09,17.09,0.0,0.0,0
1950-01-12,16.76,16.76,16.76,16.76,0.0,0.0,0
1950-01-13,16.67,16.67,16.67,16.67,0.0,0.0,0
1950-01-16,16.72,16.72,16.72,16.72,0.0,0.0,0
1950-01-17,16.86,16.86,16.86,16.86,0.0,0.0,0
1950-01-18,16.85,16.85,16.85,16.85,0.0,0.0,0
1950-01-19,16.87,16.87,16.87,16.87,0.0,0.0,0
1950-01-20,16.9,16.9,16.9,16.9,0.0,0.0,0
1950-01-23,16.92,16.92,16.92,16.92,0.0,0.0,0
1950-01-24,16.86,16.86,16.86,16.86,0.0,0.0,0
1950-01-25,16.74,16.74,16.74,16.74,0.0,0.0,0
1950-01-26,16.73,16.73,16.73,16.73,0.0,0.0,0
1950-01-27,16.82,16.82,16.82,16.82,0.0,0.0,0
1950-01-30,17.02,17.02,17.02,17.02,0.0,0.0,0
1950-01-31,17.05,17.05,17.05,17.05,0.0,0.0,0
1950-02-01,17.05,17.05,17.05,17.05,0.0,0.0,0
1950-02-02,17.23,17.23,17.23,17.23,0.0,0.0,0
1950-02-03,17.29,17.29,17.29,17.29,0.0,0.0,0
1950-02-06,17.32,17.32,17.32,17.32,0.0,0.0,0
1950-02-07,17.23,17.23,17.23,17.23,0.0,0.0,0
1950-02-08,17.21,17.21,17.21,17.21,0.0,0.0,0
1950-02-09,17.28,17.28,17.28,17.28,0.0,0.0,0
1950-02-10,17.24,17.24,17.24,17.24,0.0,0.0,0
1950-02-14,17.06,17.06,17.06,17.06,0.0,0.0,0
1950-02-15,17.06,17.06,17.06,17.06,0.0,0.0,0
1950-02-16,16.99,16.99,16.99,16.99,0.0,0.0,0
1950-02-17,17.15,17.15,17.15,17.15,0.0,0.0,0
1950-02-20,17.2,17.2,17.2,17.2,0.0,0.0,0
1950-02-21,17.17,17.17,17.17,17.17,0.0,0.0,0
1950-02-23,17.21,17.21,17.21,17.21,0.0,0.0,0
1950-02-24,17.28,17.28,17.28,17.28,0.0,0.0,0
1950-02-27,17.28,17.28,17.28,17.28,0.0,0.0,0
1950-02-28,17.22,17.22,17.22,17.22,0.0,0.0,0
1950-03-01,17.24,17.24,17.24,17.24,0.0,0.0,0
1950-03-02,17.23,17.23,17.23,17.23,0.0,0.0,0
1950-03-03,17.29,17.29,17.29,17.29,0.0,0.0,0
1950-03-06,17.32,17.32,17.32,17.32,0.0,0.0,0
1950-03-07,17.2,17.2,17.2,17.2,0.0,0.0,0
1950-03-08,17.19,17.19,17.19,17.19,0.0,0.0,0
1950-03-09,17.07,17.07,17.07,17.07,0.0,0.0,0
1950-03-10,17.09,17.09,17.09,17.09,0.0,0.0,0
1950-03-13,17.12,17.12,17.12,17.12,0.0,0.0,0
1950-03-14,17.25,17.25,17.25,17.25,0.0,0.0,0
1950-03-15,17.45,17.45,17.45,17.45,0.0,0.0,0
1950-03-16,17.49,17.49,17.49,17.49,0.0,0.0,0
1950-03-17,17.45,17.45,17.45,17.45,0.0,0.0,0
1950-03-20,17.44,17.44,17.44,17.44,0.0,0.0,0
1950-03-21,17.45,17.45,17.45,17.45,0.0,0.0,0
1950-03-22,17.55,17.55,17.55,17.55,0.0,0.0,0
1950-03-23,17.56,17.56,17.56,17.56,0.0,0.0,0
1950-03-24,17.56,17.56,17.56,17.56,0.0,0.0,0
1950-03-27,17.46,17.46,17.46,17.46,0.0,0.0,0
1950-03-28,17.53,17.53,17.53,17.53,0.0,0.0,0
1950-03-29,17.44,17.44,17.44,17.44,0.0,0.0,0
1950-03-30,17.3,17.3,17.3,17.3,0.0,0.0,0
1950-03-31,17.29,17.29,17.29,17.29,0.0,0.0,0
1950-04-03,17.53,17.53,17.53,17.53,0.0,0.0,0
1950-04-04,17.55,17.55,17.55,17.55,0.0,0.0,0
1950-04-05,17.63,17.63,17.63,17.63,0.0,0.0,0
1950-04-06,17.78,17.78,17.78,17.78,0.0,0.0,0
1950-04-10,17.85,17.85,17.85,17.85,0.0,0.0,0
1950-04-11,17.75,17.75,17.75,17.75,0.0,0.0,0
1950-04-12,17.94,17.94,17.94,17.94,0.0,0.0,0
1950-04-13,17.98,17.98,17.98,17.98,0.0,0.0,0
1950-04-14,17.96,17.96,17.96,17.96,0.0,0.0,0
