Time,Open,High,Low,Last,Change,%Chg,Volume
2017-01-04,82.97,82.97,82.97,82.97,24.16,,0
2017-01-05,68.12,68.12,68.12,68.12,-14.85,,0
2017-01-06,69.9,69.9,69.9,69.9,1.78,,0
2017-01-09,39.41,39.41,39.41,39.41,-30.49,,0
2017-01-10,39.01,39.01,39.01,39.01,-0.4,,0
2017-01-11,55.45,55.45,55.45,55.45,16.44,,0
2017-01-12,46.14,46.14,46.14,46.14,-9.31,,0
2017-01-13,59.8,59.8,59.8,59.8,13.66,,0
2017-01-17,52.47,54.25,43.56,48.51,-11.29,,0
2017-01-18,46.13,56.63,46.13,56.03,7.52,,0
2017-01-19,47.32,47.32,26.33,34.05,-21.98,,0
2017-01-20,57.22,57.22,40.79,53.06,19.01,,0
2017-01-23,54.65,54.65,28.31,45.14,-7.92,,0
2017-01-24,58.61,71.28,55.84,71.28,26.14,,0
2017-01-25,77.42,80.59,73.66,75.04,3.76,,0
2017-01-26,72.47,76.43,65.54,66.73,-8.31,,0
2017-01-27,57.82,58.81,51.28,55.24,-11.49,,0
2017-01-30,27.32,30.09,15.64,30.09,-25.15,,0
2017-01-31,24.95,36.83,21.78,36.83,6.74,,0
2017-02-01,50.29,50.29,25.34,32.87,-3.96,,0
2017-02-02,36.43,48.91,36.43,47.92,15.05,,0
2017-02-03,68.31,76.03,63.36,73.86,25.94,,0
2017-02-06,67.51,69.88,54.13,59.84,-14.02,,0
2017-02-07,62.99,65.35,50.59,56.69,-3.15,,0
2017-02-08,40.94,57.28,40.94,54.72,-1.97,,0
2017-02-09,61.02,76.37,59.84,71.85,17.13,,0
2017-02-10,80.31,86.22,76.77,83.46,11.61,,0
2017-02-13,85.62,87.0,82.28,84.64,1.18,,0
2017-02-14,71.06,77.75,62.79,75.98,-8.66,,0
2017-02-15,67.12,78.14,65.55,75.39,-0.59,,0
2017-02-16,78.14,78.14,53.74,63.58,-11.81,,0
2017-02-17,42.12,63.38,42.12,63.38,-0.2,,0
2017-02-21,69.48,80.31,69.48,77.16,13.78,,0
2017-02-22,60.62,66.33,56.1,62.59,-14.57,,0
2017-02-23,74.8,74.8,46.45,57.87,-4.72,,0
2017-02-24,31.49,58.66,31.49,58.66,0.79,,0
2017-02-27,50.0,62.0,45.07,58.66,0.0,,0
2017-02-28,50.98,53.34,38.97,42.99,-15.67,,0
2017-03-01,70.41,82.64,69.62,76.72,33.73,,0
2017-03-02,64.89,69.42,53.64,54.83,-21.89,,0
2017-03-03,49.7,51.28,34.91,49.7,-5.13,,0
2017-03-06,19.32,38.06,17.55,29.38,-20.32,,0
2017-03-07,19.72,23.86,13.8,16.37,-13.01,,0
2017-03-08,28.99,37.86,22.68,24.65,8.28,,0
2017-03-09,31.36,43.19,23.47,33.33,8.68,,0
2017-03-10,59.96,65.08,39.4,55.84,22.51,,0
2017-03-13,64.15,64.15,51.88,62.57,6.73,,0
2017-03-14,43.16,46.33,32.87,44.13,-18.44,,0
2017-03-15,60.43,83.1,59.44,79.12,34.99,,0
2017-03-16,81.7,81.7,61.23,65.2,-13.92,,0
2017-03-17,69.38,69.38,57.85,59.84,-5.36,,0
2017-03-20,50.89,51.88,37.57,43.73,-16.11,,0
2017-03-21,48.31,48.31,15.1,15.9,-27.83,,0
2017-03-22,18.48,24.85,13.91,24.45,8.55,,0
2017-03-23,21.47,48.7,21.47,27.43,2.98,,0
2017-03-24,50.89,59.84,27.43,37.57,10.14,,0
2017-03-27,23.45,45.92,21.07,41.74,4.17,,0
2017-03-28,39.16,77.53,33.59,69.98,28.24,,0
2017-03-29,62.42,72.16,61.82,69.58,-0.4,,0
2017-03-30,65.2,75.74,65.2,72.16,2.58,,0
2017-03-31,57.65,71.57,57.65,59.84,-12.32,,0
2017-04-03,57.25,57.25,18.48,36.58,-23.26,,0
2017-04-04,25.44,40.95,23.65,38.36,1.78,,0
2017-04-05,54.07,74.95,29.82,31.01,-7.35,,0
2017-04-06,40.15,63.22,37.37,51.49,20.48,,0
2017-04-07,57.05,63.41,49.5,50.29,-1.2,,0
2017-04-10,58.61,76.83,47.72,60.99,10.7,,0
2017-04-11,38.41,58.01,29.1,58.01,-2.98,,0
2017-04-12,38.21,40.99,30.89,33.66,-24.35,,0
2017-04-13,30.09,41.38,18.01,18.01,-15.65,,0
2017-04-17,30.89,56.83,28.71,56.83,38.82,,0
2017-04-18,44.75,60.19,39.4,52.47,-4.36,,0
2017-04-19,77.22,77.22,56.63,60.99,8.52,,0
2017-04-20,69.3,77.82,64.35,74.05,13.06,,0
2017-04-21,64.95,68.51,53.86,57.22,-16.83,,0
2017-04-24,82.97,82.97,74.65,79.0,21.78,,0
2017-04-25,81.58,87.72,79.0,83.76,4.76,,0
2017-04-26,77.82,84.15,73.06,73.86,-9.9,,0
2017-04-27,64.75,71.08,56.83,63.56,-10.3,,0
2017-04-28,46.93,47.12,34.45,38.61,-24.95,,0
2017-05-01,40.39,43.96,32.87,36.63,-1.98,,0
2017-05-02,48.31,48.31,36.63,46.93,10.3,,0
2017-05-03,37.22,43.56,30.29,41.18,-5.75,,0
2017-05-04,55.44,55.44,40.99,51.28,10.1,,0
2017-05-05,61.58,71.68,55.04,71.68,20.4,,0
2017-05-08,71.48,71.48,54.05,59.4,-12.28,,0
2017-05-09,59.4,60.0,45.34,49.9,-9.5,,0
2017-05-10,43.36,54.05,43.36,53.46,3.56,,0
2017-05-11,35.64,38.61,21.58,38.21,-15.25,,0
2017-05-12,34.45,34.45,27.92,30.29,-7.92,,0
2017-05-15,43.36,66.13,43.36,61.58,31.29,,0
2017-05-16,65.94,65.94,40.19,47.32,-14.26,,0
2017-05-17,23.96,23.96,13.06,13.06,-34.26,,0
2017-05-18,17.62,30.69,15.64,23.56,10.5,,0
2017-05-19,27.52,65.14,27.52,54.85,31.29,,0
2017-05-22,76.43,80.99,72.87,78.01,23.16,,0
2017-05-23,86.93,87.12,80.79,81.18,3.17,,0
2017-05-24,77.42,78.81,70.49,76.63,-4.55,,0
2017-05-25,72.67,83.56,72.07,73.26,-3.37,,0
2017-05-26,68.51,68.91,63.56,66.53,-6.73,,0
2017-05-30,53.26,59.6,52.87,57.82,-8.71,,0
2017-05-31,55.84,55.84,39.4,52.87,-4.95,,0
2017-06-01,57.02,81.38,57.02,81.38,28.51,,0
2017-06-02,79.0,82.37,75.24,78.21,-3.17,,0
2017-06-05,72.27,75.84,64.95,65.14,-13.07,,0
2017-06-06,37.42,53.06,37.42,41.58,-23.56,,0
2017-06-07,34.65,42.77,32.67,41.18,-0.4,,0
2017-06-08,37.42,46.33,32.47,44.15,2.97,,0
2017-06-09,50.49,59.6,48.11,55.84,11.69,,0
2017-06-12,62.37,62.37,54.65,59.4,3.56,,0
2017-06-13,62.17,71.88,61.78,71.48,12.08,,0
2017-06-14,77.62,77.62,55.84,64.95,-6.53,,0
2017-06-15,39.6,56.63,38.61,56.23,-8.72,,0
2017-06-16,50.69,54.25,38.81,54.16,-2.07,,0
2017-06-19,64.48,74.8,64.48,74.8,20.64,,0
2017-06-20,61.3,61.3,42.06,42.06,-32.74,,0
2017-06-21,40.67,41.66,29.76,33.53,-8.53,,0
2017-06-22,30.75,37.5,25.39,30.75,-2.78,,0
2017-06-23,30.75,45.63,30.35,42.85,12.1,,0
2017-06-26,62.69,70.03,59.12,59.12,16.27,,0
2017-06-27,57.93,60.51,39.08,39.08,-20.04,,0
2017-06-28,56.15,65.47,50.79,62.1,23.02,,0
2017-06-29,58.13,58.13,28.96,35.91,-26.19,,0
2017-06-30,48.91,53.66,40.79,46.13,10.22,,0
2017-07-03,66.53,69.9,60.39,60.59,14.46,,0
2017-07-05,61.58,61.58,45.54,52.47,-8.12,,0
2017-07-06,41.78,41.78,22.17,25.34,-27.13,,0
2017-07-07,32.47,55.04,32.47,50.49,25.15,,0
2017-07-10,45.54,55.24,45.54,48.51,-1.98,,0
2017-07-11,49.9,52.67,38.01,48.11,-0.4,,0
2017-07-12,75.04,79.4,74.85,75.24,27.13,,0
2017-07-13,73.46,76.43,66.53,72.07,-3.17,,0
2017-07-14,74.65,86.53,74.65,82.97,10.9,,0
2017-07-17,75.64,84.55,74.25,78.61,-4.36,,0
2017-07-18,52.67,60.99,47.52,57.42,-21.19,,0
2017-07-19,60.99,73.06,60.99,73.06,15.64,,0
2017-07-20,71.88,74.25,65.14,67.92,-5.14,,0
2017-07-21,59.48,63.04,53.35,61.85,-6.07,,0
2017-07-24,55.92,59.88,53.55,54.54,-7.31,,0
2017-07-25,60.07,65.81,58.1,61.06,6.52,,0
2017-07-26,57.5,60.27,54.34,57.22,-3.84,,0
2017-07-27,48.51,51.88,37.82,48.31,-8.91,,0
2017-07-28,47.32,47.32,40.19,46.73,-1.58,,0
2017-07-31,52.87,54.65,41.98,45.74,-0.99,,0
2017-08-01,56.63,56.63,45.94,55.15,9.41,,0
2017-08-02,46.62,49.6,38.49,45.03,-10.12,,0
2017-08-03,44.24,48.01,41.46,43.65,-1.38,,0
2017-08-04,51.38,53.37,45.03,52.57,8.92,,0
2017-08-07,50.79,56.94,49.2,56.54,3.97,,0
2017-08-08,48.41,62.3,37.69,41.86,-14.68,,0
2017-08-09,33.92,39.68,26.98,39.68,-2.18,,0
2017-08-10,24.4,24.4,13.88,13.88,-25.8,,0
2017-08-11,13.88,20.63,13.86,14.45,0.57,,0
2017-08-14,49.9,67.72,49.9,63.36,48.91,,0
2017-08-15,65.34,67.92,60.0,60.99,-2.37,,0
2017-08-16,78.01,78.01,65.54,69.3,8.31,,0
2017-08-17,57.42,60.99,17.62,17.62,-51.68,,0
2017-08-18,7.92,22.37,7.32,13.86,-3.76,,0
2017-08-21,16.63,28.71,13.26,26.53,12.67,,0
2017-08-22,49.3,72.87,49.3,72.47,45.94,,0
2017-08-23,67.32,73.66,65.94,67.12,-5.35,,0
2017-08-24,73.66,73.66,54.45,56.43,-10.69,,0
2017-08-25,70.29,76.23,64.15,66.53,10.1,,0
2017-08-28,72.47,72.47,43.16,54.05,-12.48,,0
2017-08-29,33.06,54.85,33.06,50.69,-3.36,,0
2017-08-30,41.38,64.35,41.38,60.0,9.31,,0
2017-08-31,74.05,77.22,68.91,70.69,10.69,,0
2017-09-01,78.81,85.34,78.81,81.74,11.05,,0
2017-09-05,66.53,66.53,35.64,51.28,-30.46,,0
2017-09-06,53.66,53.66,43.16,48.31,-2.97,,0
2017-09-07,48.71,55.44,43.36,54.05,5.74,,0
2017-09-08,46.33,57.82,46.33,55.04,0.99,,0
2017-09-11,78.01,84.35,78.01,82.17,27.13,,0
2017-09-12,79.4,83.76,73.46,76.83,-5.34,,0
2017-09-13,75.24,75.24,68.31,70.29,-6.54,,0
2017-09-14,53.86,60.99,50.09,60.91,-9.38,,0
2017-09-15,49.8,57.34,46.42,57.34,-3.57,,0
2017-09-18,63.29,67.65,52.97,55.75,-1.59,,0
2017-09-19,61.9,61.9,49.6,54.36,-1.39,,0
2017-09-20,55.55,60.31,45.83,58.53,4.17,,0
2017-09-21,52.77,52.77,45.03,47.81,-10.72,,0
2017-09-22,47.22,55.35,47.22,54.16,6.35,,0
2017-09-25,53.17,59.52,42.26,55.95,1.79,,0
2017-09-26,58.92,60.51,53.57,53.57,-2.38,,0
2017-09-27,66.26,66.86,49.4,64.08,10.51,,0
2017-09-28,59.52,62.1,50.99,61.7,-2.38,,0
2017-09-29,59.52,67.65,56.94,66.46,4.76,,0
2017-10-02,66.07,75.99,66.07,75.99,9.53,,0
2017-10-03,70.63,70.63,64.68,69.44,-6.55,,0
2017-10-04,65.47,75.19,62.89,72.81,3.37,,0
2017-10-05,70.43,80.15,70.43,77.62,4.81,,0
2017-10-06,63.16,63.16,55.04,61.18,-16.44,,0
2017-10-09,63.16,63.16,42.77,48.71,-12.47,,0
2017-10-10,56.23,65.34,51.48,56.23,7.52,,0
2017-10-11,54.05,54.85,45.14,54.85,-1.38,,0
2017-10-12,54.45,62.97,52.47,60.99,6.14,,0
2017-10-13,66.73,69.7,61.98,62.77,1.78,,0
2017-10-16,62.57,62.57,51.28,56.83,-5.94,,0
2017-10-17,53.66,53.66,42.97,50.49,-6.34,,0
2017-10-18,55.64,55.64,46.13,49.9,-0.59,,0
2017-10-19,37.82,56.83,32.87,56.83,6.93,,0
2017-10-20,71.68,74.25,66.93,73.06,16.23,,0
2017-10-23,74.45,76.03,60.19,60.19,-12.87,,0
2017-10-24,62.77,62.77,57.22,59.0,-1.19,,0
2017-10-25,46.93,46.93,20.39,34.45,-24.55,,0
2017-10-26,47.12,54.85,45.54,47.92,13.47,,0
2017-10-27,37.02,54.65,37.02,54.45,6.53,,0
2017-10-30,45.94,48.51,37.22,40.59,-13.86,,0
2017-10-31,46.13,51.08,42.57,47.42,6.83,,0
2017-11-01,56.34,62.1,47.02,49.4,1.98,,0
2017-11-02,51.58,55.75,35.91,54.47,5.07,,0
2017-11-03,54.47,62.42,54.27,62.02,7.55,,0
2017-11-06,52.88,60.03,52.88,56.66,-5.36,,0
2017-11-07,58.25,65.6,49.1,54.85,-1.81,,0
2017-11-08,50.29,60.19,47.92,59.4,4.55,,0
2017-11-09,41.78,47.92,36.03,45.74,-13.66,,0
2017-11-10,37.22,40.99,33.26,39.4,-6.34,,0
2017-11-13,32.87,51.28,32.87,50.29,10.89,,0
2017-11-14,38.41,52.67,36.83,52.27,1.98,,0
2017-11-15,29.3,44.95,29.3,37.89,-14.38,,0
2017-11-16,48.21,71.82,48.21,66.26,28.37,,0
2017-11-17,51.38,63.69,51.38,58.53,-7.73,,0
2017-11-20,60.11,63.69,57.14,60.51,1.98,,0
2017-11-21,75.19,75.19,68.25,69.44,8.93,,0
2017-11-22,67.26,68.65,59.92,61.11,-8.33,,0
2017-11-24,70.83,70.83,59.92,61.9,0.79,,0
2017-11-27,56.15,58.92,50.59,53.17,-8.73,,0
2017-11-28,58.92,79.96,56.15,79.96,26.79,,0
2017-11-29,77.18,77.18,69.64,72.81,-7.15,,0
2017-11-30,76.78,82.93,74.0,76.78,3.97,,0
2017-12-01,76.19,78.37,39.68,69.44,-7.34,,0
2017-12-04,76.03,76.03,58.61,59.4,-10.04,,0
2017-12-05,56.23,57.02,39.8,40.59,-18.81,,0
2017-12-06,31.88,37.22,28.11,32.47,-8.12,,0
2017-12-07,31.28,52.87,31.28,50.69,18.22,,0
2017-12-08,60.39,72.47,55.44,72.47,21.78,,0
