Time,Open,High,Low,Last,Change,%Chg,Volume
2007-01-02,79.09,79.09,79.09,79.09,0.0,,0
2007-01-03,78.72,78.72,78.72,78.72,-0.37,,0
2007-01-04,78.1,78.1,78.1,78.1,-0.62,,0
2007-01-05,73.35,73.35,73.35,73.35,-4.75,,0
2007-01-08,74.38,74.38,74.38,74.38,1.03,,0
2007-01-09,73.14,73.14,73.14,73.14,-1.24,,0
2007-01-10,74.85,74.85,74.85,74.85,1.71,,0
2007-01-11,77.73,77.73,77.73,77.73,2.88,,0
2007-01-12,80.21,80.21,80.21,80.21,2.48,,0
2007-01-15,80.21,80.21,80.21,80.21,0.0,,0
2007-01-16,78.14,78.14,78.14,78.14,-2.07,,0
2007-01-17,78.35,78.35,78.35,78.35,0.21,,0
2007-01-18,76.91,76.91,76.91,76.91,-1.44,,0
2007-01-19,79.59,79.59,79.59,79.59,2.68,,0
2007-01-22,76.91,76.91,76.91,76.91,-2.68,,0
2007-01-23,78.14,78.14,78.14,78.14,1.23,,0
2007-01-24,80.0,80.0,80.0,80.0,1.86,,0
2007-01-25,75.88,75.88,75.88,75.88,-4.12,,0
2007-01-26,74.43,74.43,74.43,74.43,-1.45,,0
2007-01-29,74.23,74.23,74.23,74.23,-0.2,,0
2007-01-30,76.08,76.08,76.08,76.08,1.85,,0
2007-01-31,78.97,78.97,78.97,78.97,2.89,,0
2007-02-01,82.06,82.06,82.06,82.06,3.09,,0
2007-02-02,84.95,84.95,84.95,84.95,2.89,,0
2007-02-05,82.27,82.27,82.27,82.27,-2.68,,0
2007-02-06,83.51,83.51,83.51,83.51,1.24,,0
2007-02-07,84.12,84.12,84.12,84.12,0.61,,0
2007-02-08,84.12,84.12,84.12,84.12,0.0,,0
2007-02-09,80.0,80.0,80.0,80.0,-4.12,,0
2007-02-12,77.94,77.94,77.94,77.94,-2.06,,0
2007-02-13,81.65,81.65,81.65,81.65,3.71,,0
2007-02-14,84.33,84.33,84.33,84.33,2.68,,0
2007-02-15,84.74,84.74,84.74,84.74,0.41,,0
2007-02-16,84.33,84.33,84.33,84.33,-0.41,,0
2007-02-19,84.33,84.33,84.33,84.33,0.0,,0
2007-02-20,85.57,85.57,85.57,85.57,1.24,,0
2007-02-21,85.57,85.57,85.57,85.57,0.0,,0
2007-02-22,85.36,85.36,85.36,85.36,-0.21,,0
2007-02-23,82.89,82.89,82.89,82.89,-2.47,,0
2007-02-26,81.44,81.44,81.44,81.44,-1.45,,0
2007-02-27,62.47,62.47,62.47,62.47,-18.97,,0
2007-02-28,64.33,64.33,64.33,64.33,1.86,,0
2007-03-01,62.06,62.06,62.06,62.06,-2.27,,0
2007-03-02,50.93,50.93,50.93,50.93,-11.13,,0
2007-03-05,42.47,42.47,42.47,42.47,-8.46,,0
2007-03-06,53.2,53.2,53.2,53.2,10.73,,0
2007-03-07,51.34,51.34,51.34,51.34,-1.86,,0
2007-03-08,56.29,56.29,56.29,56.29,4.95,,0
2007-03-09,58.76,58.76,58.76,58.76,2.47,,0
2007-03-12,60.41,60.41,60.41,60.41,1.65,,0
2007-03-13,46.19,46.19,46.19,46.19,-14.22,,0
2007-03-14,47.63,47.63,47.63,47.63,1.44,,0
2007-03-15,50.93,50.93,50.93,50.93,3.3,,0
2007-03-16,47.84,47.84,47.84,47.84,-3.09,,0
2007-03-19,55.26,55.26,55.26,55.26,7.42,,0
2007-03-20,58.14,58.14,58.14,58.14,2.88,,0
2007-03-21,68.66,68.66,68.66,68.66,10.52,,0
2007-03-22,69.28,69.28,69.28,69.28,0.62,,0
2007-03-23,69.28,69.28,69.28,69.28,0.0,,0
2007-03-26,69.07,69.07,69.07,69.07,-0.21,,0
2007-03-27,64.95,64.95,64.95,64.95,-4.12,,0
2007-03-28,59.18,59.18,59.18,59.18,-5.77,,0
2007-03-29,60.0,60.0,60.0,60.0,0.82,,0
2007-03-30,59.38,59.38,59.38,59.38,-0.62,,0
2007-04-02,61.24,61.24,61.24,61.24,1.86,,0
2007-04-03,67.22,67.22,67.22,67.22,5.98,,0
2007-04-04,67.01,67.01,67.01,67.01,-0.21,,0
2007-04-05,68.25,68.25,68.25,68.25,1.24,,0
2007-04-06,68.25,68.25,68.25,68.25,0.0,,0
2007-04-09,67.01,67.01,67.01,67.01,-1.24,,0
2007-04-10,69.48,69.48,69.48,69.48,2.47,,0
2007-04-11,64.33,64.33,64.33,64.33,-5.15,,0
2007-04-12,67.01,67.01,67.01,67.01,2.68,,0
2007-04-13,70.31,70.31,70.31,70.31,3.3,,0
2007-04-16,77.32,77.32,77.32,77.32,7.01,,0
2007-04-17,77.11,77.11,77.11,77.11,-0.21,,0
2007-04-18,76.7,76.7,76.7,76.7,-0.41,,0
2007-04-19,74.49,74.49,74.49,74.49,-2.21,,0
2007-04-20,78.4,78.4,78.4,78.4,3.91,,0
2007-04-23,77.78,77.78,77.78,77.78,-0.62,,0
2007-04-24,76.54,76.54,76.54,76.54,-1.24,,0
2007-04-25,79.42,79.42,79.42,79.42,2.88,,0
2007-04-26,79.01,79.01,79.01,79.01,-0.41,,0
2007-04-27,78.19,78.19,78.19,78.19,-0.82,,0
2007-04-30,73.66,73.66,73.66,73.66,-4.53,,0
2007-05-01,72.84,72.84,72.84,72.84,-0.82,,0
2007-05-02,76.13,76.13,76.13,76.13,3.29,,0
2007-05-03,76.95,76.95,76.95,76.95,0.82,,0
2007-05-04,77.37,77.37,77.37,77.37,0.42,,0
2007-05-07,78.4,78.4,78.4,78.4,1.03,,0
2007-05-08,77.98,77.98,77.98,77.98,-0.42,,0
2007-05-09,79.22,79.22,79.22,79.22,1.24,,0
2007-05-10,72.63,72.63,72.63,72.63,-6.59,,0
2007-05-11,75.51,75.51,75.51,75.51,2.88,,0
2007-05-14,72.63,72.63,72.63,72.63,-2.88,,0
2007-05-15,70.16,70.16,70.16,70.16,-2.47,,0
2007-05-16,73.46,73.46,73.46,73.46,3.3,,0
2007-05-17,72.63,72.63,72.63,72.63,-0.83,,0
2007-05-18,76.34,76.34,76.34,76.34,3.71,,0
2007-05-21,77.16,77.16,77.16,77.16,0.82,,0
2007-05-22,77.57,77.57,77.57,77.57,0.41,,0
2007-05-23,76.95,76.95,76.95,76.95,-0.62,,0
2007-05-24,69.34,69.34,69.34,69.34,-7.61,,0
2007-05-25,70.99,70.99,70.99,70.99,1.65,,0
2007-05-28,70.99,70.99,70.99,70.99,0.0,,0
2007-05-29,72.43,72.43,72.43,72.43,1.44,,0
2007-05-30,77.37,77.37,77.37,77.37,4.94,,0
2007-05-31,77.78,77.78,77.78,77.78,0.41,,0
2007-06-01,79.22,79.22,79.22,79.22,1.44,,0
2007-06-04,78.4,78.4,78.4,78.4,-0.82,,0
2007-06-05,74.9,74.9,74.9,74.9,-3.5,,0
2007-06-06,69.75,69.75,69.75,69.75,-5.15,,0
2007-06-07,59.47,59.47,59.47,59.47,-10.28,,0
2007-06-08,66.05,66.05,66.05,66.05,6.58,,0
2007-06-11,65.84,65.84,65.84,65.84,-0.21,,0
2007-06-12,60.29,60.29,60.29,60.29,-5.55,,0
2007-06-13,67.9,67.9,67.9,67.9,7.61,,0
2007-06-14,68.92,68.92,68.92,68.92,1.02,,0
2007-06-15,70.35,70.35,70.35,70.35,1.43,,0
2007-06-18,68.51,68.51,68.51,68.51,-1.84,,0
2007-06-19,69.73,69.73,69.73,69.73,1.22,,0
2007-06-20,64.42,64.42,64.42,64.42,-5.31,,0
2007-06-21,67.08,67.08,67.08,67.08,2.66,,0
2007-06-22,60.74,60.74,60.74,60.74,-6.34,,0
2007-06-25,60.53,60.53,60.53,60.53,-0.21,,0
2007-06-26,57.26,57.26,57.26,57.26,-3.27,,0
2007-06-27,62.17,62.17,62.17,62.17,4.91,,0
2007-06-28,61.96,61.96,61.96,61.96,-0.21,,0
2007-06-29,60.53,60.53,60.53,60.53,-1.43,,0
2007-07-02,66.26,66.26,66.26,66.26,5.73,,0
2007-07-03,66.67,66.67,66.67,66.67,0.41,,0
2007-07-04,66.67,66.67,66.67,66.67,0.0,,0
2007-07-05,67.89,67.89,67.89,67.89,1.22,,0
2007-07-06,69.33,69.33,69.33,69.33,1.44,,0
2007-07-09,68.3,68.3,68.3,68.3,-1.03,,0
2007-07-10,59.71,59.71,59.71,59.71,-8.59,,0
2007-07-11,63.19,63.19,63.19,63.19,3.48,,0
2007-07-12,70.14,70.14,70.14,70.14,6.95,,0
2007-07-13,71.78,71.78,71.78,71.78,1.64,,0
2007-07-16,68.3,68.3,68.3,68.3,-3.48,,0
2007-07-17,68.1,68.1,68.1,68.1,-0.2,,0
2007-07-18,67.89,67.89,67.89,67.89,-0.21,,0
2007-07-19,70.55,70.55,70.55,70.55,2.66,,0
2007-07-20,61.76,61.76,61.76,61.76,-8.79,,0
2007-07-23,63.8,63.8,63.8,63.8,2.04,,0
2007-07-24,54.81,54.81,54.81,54.81,-8.99,,0
2007-07-25,52.76,52.76,52.76,52.76,-2.05,,0
2007-07-26,42.13,42.13,42.13,42.13,-10.63,,0
2007-07-27,34.15,34.15,34.15,34.15,-7.98,,0
2007-07-30,40.9,40.9,40.9,40.9,6.75,,0
2007-07-31,32.72,32.72,32.72,32.72,-8.18,,0
2007-08-01,37.22,37.22,37.22,37.22,4.5,,0
2007-08-02,40.08,40.08,40.08,40.08,2.86,,0
2007-08-03,31.49,31.49,31.49,31.49,-8.59,,0
2007-08-06,38.65,38.65,38.65,38.65,7.16,,0
2007-08-07,41.72,41.72,41.72,41.72,3.07,,0
2007-08-08,46.42,46.42,46.42,46.42,4.7,,0
2007-08-09,34.36,34.36,34.36,34.36,-12.06,,0
2007-08-10,35.17,35.17,35.17,35.17,0.81,,0
2007-08-13,35.58,35.58,35.58,35.58,0.41,,0
2007-08-14,26.99,26.99,26.99,26.99,-8.59,,0
2007-08-15,20.65,20.65,20.65,20.65,-6.34,,0
2007-08-16,19.63,19.63,19.63,19.63,-1.02,,0
2007-08-17,26.58,26.58,26.58,26.58,6.95,,0
2007-08-20,27.2,27.2,27.2,27.2,0.62,,0
2007-08-21,29.24,29.24,29.24,29.24,2.04,,0
2007-08-22,33.74,33.74,33.74,33.74,4.5,,0
2007-08-23,32.31,32.31,32.31,32.31,-1.43,,0
2007-08-24,36.61,36.61,36.61,36.61,4.3,,0
2007-08-27,32.72,32.72,32.72,32.72,-3.89,,0
2007-08-28,22.7,22.7,22.7,22.7,-10.02,,0
2007-08-29,33.13,33.13,33.13,33.13,10.43,,0
2007-08-30,31.49,31.49,31.49,31.49,-1.64,,0
2007-08-31,35.99,35.99,35.99,35.99,4.5,,0
2007-09-03,35.99,35.99,35.99,35.99,0.0,,0
2007-09-04,41.51,41.51,41.51,41.51,5.52,,0
2007-09-05,34.56,34.56,34.56,34.56,-6.95,,0
2007-09-06,36.4,36.4,36.4,36.4,1.84,,0
2007-09-07,28.83,28.83,28.83,28.83,-7.57,,0
2007-09-10,29.04,29.04,29.04,29.04,0.21,,0
2007-09-11,34.76,34.76,34.76,34.76,5.72,,0
2007-09-12,37.01,37.01,37.01,37.01,2.25,,0
2007-09-13,38.65,38.65,38.65,38.65,1.64,,0
2007-09-14,39.06,39.06,39.06,39.06,0.41,,0
2007-09-17,36.4,36.4,36.4,36.4,-2.66,,0
2007-09-18,51.94,51.94,51.94,51.94,15.54,,0
2007-09-19,57.06,57.06,57.06,57.06,5.12,,0
2007-09-20,51.74,51.74,51.74,51.74,-5.32,,0
2007-09-21,55.62,55.62,55.62,55.62,3.88,,0
2007-09-24,52.35,52.35,52.35,52.35,-3.27,,0
2007-09-25,50.72,50.72,50.72,50.72,-1.63,,0
2007-09-26,55.01,55.01,55.01,55.01,4.29,,0
2007-09-27,56.24,56.24,56.24,56.24,1.23,,0
2007-09-28,55.01,55.01,55.01,55.01,-1.23,,0
2007-10-01,61.22,61.22,61.22,61.22,6.21,,0
2007-10-02,62.04,62.04,62.04,62.04,0.82,,0
2007-10-03,60.2,60.2,60.2,60.2,-1.84,,0
2007-10-04,60.0,60.0,60.0,60.0,-0.2,,0
2007-10-05,67.14,67.14,67.14,67.14,7.14,,0
2007-10-08,65.92,65.92,65.92,65.92,-1.22,,0
2007-10-09,70.41,70.41,70.41,70.41,4.49,,0
2007-10-10,69.18,69.18,69.18,69.18,-1.23,,0
2007-10-11,64.9,64.9,64.9,64.9,-4.28,,0
2007-10-12,67.76,67.76,67.76,67.76,2.86,,0
2007-10-15,63.06,63.06,63.06,63.06,-4.7,,0
2007-10-16,59.18,59.18,59.18,59.18,-3.88,,0
2007-10-17,60.82,60.82,60.82,60.82,1.64,,0
2007-10-18,60.2,60.2,60.2,60.2,-0.62,,0
2007-10-19,47.55,47.55,47.55,47.55,-12.65,,0
2007-10-22,53.47,53.47,53.47,53.47,5.92,,0
2007-10-23,54.29,54.29,54.29,54.29,0.82,,0
2007-10-24,53.67,53.67,53.67,53.67,-0.62,,0
2007-10-25,55.71,55.71,55.71,55.71,2.04,,0
2007-10-26,61.22,61.22,61.22,61.22,5.51,,0
2007-10-29,61.63,61.63,61.63,61.63,0.41,,0
2007-10-30,59.39,59.39,59.39,59.39,-2.24,,0
2007-10-31,64.69,64.69,64.69,64.69,5.3,,0
2007-11-01,52.45,52.45,52.45,52.45,-12.24,,0
2007-11-02,53.06,53.06,53.06,53.06,0.61,,0
2007-11-05,51.22,51.22,51.22,51.22,-1.84,,0
2007-11-06,55.1,55.1,55.1,55.1,3.88,,0
2007-11-07,45.31,45.31,45.31,45.31,-9.79,,0
2007-11-08,47.96,47.96,47.96,47.96,2.65,,0
2007-11-09,40.61,40.61,40.61,40.61,-7.35,,0
2007-11-12,37.55,37.55,37.55,37.55,-3.06,,0
2007-11-13,46.12,46.12,46.12,46.12,8.57,,0
2007-11-14,44.9,44.9,44.9,44.9,-1.22,,0
2007-11-15,40.41,40.41,40.41,40.41,-4.49,,0
2007-11-16,43.67,43.67,43.67,43.67,3.26,,0
2007-11-19,37.55,37.55,37.55,37.55,-6.12,,0
2007-11-20,38.98,38.98,38.98,38.98,1.43,,0
2007-11-21,34.29,34.29,34.29,34.29,-4.69,,0
2007-11-22,34.29,34.29,34.29,34.29,0.0,,0
2007-11-23,39.18,39.18,39.18,39.18,4.89,,0
2007-11-26,33.47,33.47,33.47,33.47,-5.71,,0
2007-11-27,37.96,37.96,37.96,37.96,4.49,,0
2007-11-28,47.55,47.55,47.55,47.55,9.59,,0
2007-11-29,47.14,47.14,47.14,47.14,-0.41,,0
2007-11-30,50.0,50.0,50.0,50.0,2.86,,0
2007-12-03,48.78,48.78,48.78,48.78,-1.22,,0
2007-12-04,47.55,47.55,47.55,47.55,-1.23,,0
2007-12-05,52.45,52.45,52.45,52.45,4.9,,0
2007-12-06,58.37,58.37,58.37,58.37,5.92,,0
2007-12-07,57.96,57.96,57.96,57.96,-0.41,,0
2007-12-10,60.61,60.61,60.61,60.61,2.65,,0
2007-12-11,50.41,50.41,50.41,50.41,-10.2,,0
2007-12-12,53.88,53.88,53.88,53.88,3.47,,0
2007-12-13,53.67,53.67,53.67,53.67,-0.21,,0
2007-12-14,49.8,49.8,49.8,49.8,-3.87,,0
2007-12-17,42.24,42.24,42.24,42.24,-7.56,,0
2007-12-18,44.69,44.69,44.69,44.69,2.45,,0
2007-12-19,44.08,44.08,44.08,44.08,-0.61,,0
2007-12-20,47.55,47.55,47.55,47.55,3.47,,0
2007-12-21,53.67,53.67,53.67,53.67,6.12,,0
2007-12-24,56.12,56.12,56.12,56.12,2.45,,0
2007-12-26,54.9,54.9,54.9,54.9,-1.22,,0
2007-12-27,51.02,51.02,51.02,51.02,-3.88,,0
