Time,Open,High,Low,Last,Change,%Chg,Volume
2007-01-02,43.27,43.27,43.27,43.27,0.0,,0
2007-01-03,47.73,47.73,47.73,47.73,4.46,,0
2007-01-04,49.17,49.17,49.17,49.17,1.44,,0
2007-01-05,34.5,34.5,34.5,34.5,-14.67,,0
2007-01-08,41.94,41.94,41.94,41.94,7.44,,0
2007-01-09,45.45,45.45,45.45,45.45,3.51,,0
2007-01-10,49.9,49.9,49.9,49.9,4.45,,0
2007-01-11,60.41,60.41,60.41,60.41,10.51,,0
2007-01-12,61.65,61.65,61.65,61.65,1.24,,0
2007-01-15,61.65,61.65,61.65,61.65,0.0,,0
2007-01-16,63.51,63.51,63.51,63.51,1.86,,0
2007-01-17,62.89,62.89,62.89,62.89,-0.62,,0
2007-01-18,55.46,55.46,55.46,55.46,-7.43,,0
2007-01-19,62.27,62.27,62.27,62.27,6.81,,0
2007-01-22,56.49,56.49,56.49,56.49,-5.78,,0
2007-01-23,62.68,62.68,62.68,62.68,6.19,,0
2007-01-24,70.52,70.52,70.52,70.52,7.84,,0
2007-01-25,56.29,56.29,56.29,56.29,-14.23,,0
2007-01-26,55.26,55.26,55.26,55.26,-1.03,,0
2007-01-29,55.26,55.26,55.26,55.26,0.0,,0
2007-01-30,62.89,62.89,62.89,62.89,7.63,,0
2007-01-31,71.96,71.96,71.96,71.96,9.07,,0
2007-02-01,77.53,77.53,77.53,77.53,5.57,,0
2007-02-02,79.79,79.79,79.79,79.79,2.26,,0
2007-02-05,78.56,78.56,78.56,78.56,-1.23,,0
2007-02-06,79.79,79.79,79.79,79.79,1.23,,0
2007-02-07,80.0,80.0,80.0,80.0,0.21,,0
2007-02-08,80.21,80.21,80.21,80.21,0.21,,0
2007-02-09,70.72,70.72,70.72,70.72,-9.49,,0
2007-02-12,63.71,63.71,63.71,63.71,-7.01,,0
2007-02-13,70.93,70.93,70.93,70.93,7.22,,0
2007-02-14,76.29,76.29,76.29,76.29,5.36,,0
2007-02-15,77.32,77.32,77.32,77.32,1.03,,0
2007-02-16,78.97,78.97,78.97,78.97,1.65,,0
2007-02-19,78.97,78.97,78.97,78.97,0.0,,0
2007-02-20,80.41,80.41,80.41,80.41,1.44,,0
2007-02-21,77.94,77.94,77.94,77.94,-2.47,,0
2007-02-22,76.08,76.08,76.08,76.08,-1.86,,0
2007-02-23,70.52,70.52,70.52,70.52,-5.56,,0
2007-02-26,64.12,64.12,64.12,64.12,-6.4,,0
2007-02-27,18.97,18.97,18.97,18.97,-45.15,,0
2007-02-28,20.62,20.62,20.62,20.62,1.65,,0
2007-03-01,19.18,19.18,19.18,19.18,-1.44,,0
2007-03-02,10.1,10.1,10.1,10.1,-9.08,,0
2007-03-05,6.8,6.8,6.8,6.8,-3.3,,0
2007-03-06,14.23,14.23,14.23,14.23,7.43,,0
2007-03-07,14.64,14.64,14.64,14.64,0.41,,0
2007-03-08,22.47,22.47,22.47,22.47,7.83,,0
2007-03-09,24.74,24.74,24.74,24.74,2.27,,0
2007-03-12,32.37,32.37,32.37,32.37,7.63,,0
2007-03-13,14.85,14.85,14.85,14.85,-17.52,,0
2007-03-14,20.41,20.41,20.41,20.41,5.56,,0
2007-03-15,27.84,27.84,27.84,27.84,7.43,,0
2007-03-16,23.3,23.3,23.3,23.3,-4.54,,0
2007-03-19,38.56,38.56,38.56,38.56,15.26,,0
2007-03-20,57.53,57.53,57.53,57.53,18.97,,0
2007-03-21,85.15,85.15,85.15,85.15,27.62,,0
2007-03-22,84.74,84.74,84.74,84.74,-0.41,,0
2007-03-23,87.42,87.42,87.42,87.42,2.68,,0
2007-03-26,87.22,87.22,87.22,87.22,-0.2,,0
2007-03-27,77.11,77.11,77.11,77.11,-10.11,,0
2007-03-28,64.54,64.54,64.54,64.54,-12.57,,0
2007-03-29,68.66,68.66,68.66,68.66,4.12,,0
2007-03-30,67.42,67.42,67.42,67.42,-1.24,,0
2007-04-02,69.07,69.07,69.07,69.07,1.65,,0
2007-04-03,79.59,79.59,79.59,79.59,10.52,,0
2007-04-04,77.11,77.11,77.11,77.11,-2.48,,0
2007-04-05,81.44,81.44,81.44,81.44,4.33,,0
2007-04-06,81.44,81.44,81.44,81.44,0.0,,0
