Time,Open,High,Low,Last,Change,%Chg,Volume
2007-01-02,77.85,77.85,77.85,77.85,0.0,,0
2007-01-03,77.27,77.27,77.27,77.27,-0.58,,0
2007-01-04,76.86,76.86,76.86,76.86,-0.41,,0
2007-01-05,75.0,75.0,75.0,75.0,-1.86,,0
2007-01-08,76.03,76.03,76.03,76.03,1.03,,0
2007-01-09,77.48,77.48,77.48,77.48,1.45,,0
2007-01-10,78.14,78.14,78.14,78.14,0.66,,0
2007-01-11,80.21,80.21,80.21,80.21,2.07,,0
2007-01-12,82.06,82.06,82.06,82.06,1.85,,0
2007-01-15,82.06,82.06,82.06,82.06,0.0,,0
2007-01-16,81.44,81.44,81.44,81.44,-0.62,,0
2007-01-17,81.44,81.44,81.44,81.44,0.0,,0
2007-01-18,80.82,80.82,80.82,80.82,-0.62,,0
2007-01-19,81.65,81.65,81.65,81.65,0.83,,0
2007-01-22,80.82,80.82,80.82,80.82,-0.83,,0
2007-01-23,82.27,82.27,82.27,82.27,1.45,,0
2007-01-24,83.92,83.92,83.92,83.92,1.65,,0
2007-01-25,80.82,80.82,80.82,80.82,-3.1,,0
2007-01-26,80.62,80.62,80.62,80.62,-0.2,,0
2007-01-29,80.62,80.62,80.62,80.62,0.0,,0
2007-01-30,82.27,82.27,82.27,82.27,1.65,,0
2007-01-31,84.54,84.54,84.54,84.54,2.27,,0
2007-02-01,85.98,85.98,85.98,85.98,1.44,,0
2007-02-02,86.39,86.39,86.39,86.39,0.41,,0
2007-02-05,85.77,85.77,85.77,85.77,-0.62,,0
2007-02-06,86.6,86.6,86.6,86.6,0.83,,0
2007-02-07,87.22,87.22,87.22,87.22,0.62,,0
2007-02-08,86.6,86.6,86.6,86.6,-0.62,,0
2007-02-09,85.36,85.36,85.36,85.36,-1.24,,0
2007-02-12,84.74,84.74,84.74,84.74,-0.62,,0
2007-02-13,86.6,86.6,86.6,86.6,1.86,,0
2007-02-14,88.04,88.04,88.04,88.04,1.44,,0
2007-02-15,88.25,88.25,88.25,88.25,0.21,,0
2007-02-16,88.45,88.45,88.45,88.45,0.2,,0
2007-02-19,88.45,88.45,88.45,88.45,0.0,,0
2007-02-20,89.07,89.07,89.07,89.07,0.62,,0
2007-02-21,89.48,89.48,89.48,89.48,0.41,,0
2007-02-22,89.69,89.69,89.69,89.69,0.21,,0
2007-02-23,89.69,89.69,89.69,89.69,0.0,,0
2007-02-26,89.9,89.9,89.9,89.9,0.21,,0
2007-02-27,78.97,78.97,78.97,78.97,-10.93,,0
2007-02-28,81.44,81.44,81.44,81.44,2.47,,0
2007-03-01,80.41,80.41,80.41,80.41,-1.03,,0
2007-03-02,75.88,75.88,75.88,75.88,-4.53,,0
2007-03-05,70.72,70.72,70.72,70.72,-5.16,,0
2007-03-06,75.88,75.88,75.88,75.88,5.16,,0
2007-03-07,75.05,75.05,75.05,75.05,-0.83,,0
2007-03-08,78.76,78.76,78.76,78.76,3.71,,0
2007-03-09,78.56,78.56,78.56,78.56,-0.2,,0
2007-03-12,78.97,78.97,78.97,78.97,0.41,,0
2007-03-13,70.31,70.31,70.31,70.31,-8.66,,0
2007-03-14,72.78,72.78,72.78,72.78,2.47,,0
2007-03-15,75.05,75.05,75.05,75.05,2.27,,0
2007-03-16,73.61,73.61,73.61,73.61,-1.44,,0
2007-03-19,77.11,77.11,77.11,77.11,3.5,,0
2007-03-20,78.35,78.35,78.35,78.35,1.24,,0
2007-03-21,81.65,81.65,81.65,81.65,3.3,,0
2007-03-22,81.86,81.86,81.86,81.86,0.21,,0
2007-03-23,82.68,82.68,82.68,82.68,0.82,,0
2007-03-26,82.47,82.47,82.47,82.47,-0.21,,0
2007-03-27,81.86,81.86,81.86,81.86,-0.61,,0
2007-03-28,79.59,79.59,79.59,79.59,-2.27,,0
2007-03-29,80.0,80.0,80.0,80.0,0.41,,0
2007-03-30,79.59,79.59,79.59,79.59,-0.41,,0
2007-04-02,80.0,80.0,80.0,80.0,0.41,,0
2007-04-03,81.86,81.86,81.86,81.86,1.86,,0
2007-04-04,81.86,81.86,81.86,81.86,0.0,,0
2007-04-05,82.27,82.27,82.27,82.27,0.41,,0
2007-04-06,82.27,82.27,82.27,82.27,0.0,,0
2007-04-09,82.47,82.47,82.47,82.47,0.2,,0
2007-04-10,81.86,81.86,81.86,81.86,-0.61,,0
2007-04-11,80.41,80.41,80.41,80.41,-1.45,,0
2007-04-12,82.27,82.27,82.27,82.27,1.86,,0
2007-04-13,83.09,83.09,83.09,83.09,0.82,,0
2007-04-16,86.6,86.6,86.6,86.6,3.51,,0
2007-04-17,86.6,86.6,86.6,86.6,0.0,,0
2007-04-18,87.22,87.22,87.22,87.22,0.62,,0
2007-04-19,86.21,86.21,86.21,86.21,-1.01,,0
2007-04-20,86.83,86.83,86.83,86.83,0.62,,0
2007-04-23,87.24,87.24,87.24,87.24,0.41,,0
2007-04-24,86.63,86.63,86.63,86.63,-0.61,,0
2007-04-25,87.04,87.04,87.04,87.04,0.41,,0
2007-04-26,86.83,86.83,86.83,86.83,-0.21,,0
2007-04-27,85.19,85.19,85.19,85.19,-1.64,,0
2007-04-30,83.33,83.33,83.33,83.33,-1.86,,0
2007-05-01,83.54,83.54,83.54,83.54,0.21,,0
2007-05-02,84.98,84.98,84.98,84.98,1.44,,0
2007-05-03,84.77,84.77,84.77,84.77,-0.21,,0
2007-05-04,85.19,85.19,85.19,85.19,0.42,,0
2007-05-07,85.8,85.8,85.8,85.8,0.61,,0
2007-05-08,84.77,84.77,84.77,84.77,-1.03,,0
2007-05-09,86.21,86.21,86.21,86.21,1.44,,0
2007-05-10,82.51,82.51,82.51,82.51,-3.7,,0
2007-05-11,84.57,84.57,84.57,84.57,2.06,,0
2007-05-14,82.92,82.92,82.92,82.92,-1.65,,0
2007-05-15,81.48,81.48,81.48,81.48,-1.44,,0
2007-05-16,83.13,83.13,83.13,83.13,1.65,,0
2007-05-17,81.69,81.69,81.69,81.69,-1.44,,0
2007-05-18,82.51,82.51,82.51,82.51,0.82,,0
2007-05-21,82.92,82.92,82.92,82.92,0.41,,0
2007-05-22,83.33,83.33,83.33,83.33,0.41,,0
2007-05-23,82.72,82.72,82.72,82.72,-0.61,,0
2007-05-24,78.81,78.81,78.81,78.81,-3.91,,0
2007-05-25,79.63,79.63,79.63,79.63,0.82,,0
2007-05-28,79.63,79.63,79.63,79.63,0.0,,0
2007-05-29,81.07,81.07,81.07,81.07,1.44,,0
2007-05-30,83.54,83.54,83.54,83.54,2.47,,0
2007-05-31,84.16,84.16,84.16,84.16,0.62,,0
2007-06-01,84.36,84.36,84.36,84.36,0.2,,0
2007-06-04,84.77,84.77,84.77,84.77,0.41,,0
2007-06-05,82.51,82.51,82.51,82.51,-2.26,,0
2007-06-06,80.25,80.25,80.25,80.25,-2.26,,0
2007-06-07,73.05,73.05,73.05,73.05,-7.2,,0
2007-06-08,75.93,75.93,75.93,75.93,2.88,,0
2007-06-11,75.72,75.72,75.72,75.72,-0.21,,0
2007-06-12,71.6,71.6,71.6,71.6,-4.12,,0
2007-06-13,75.72,75.72,75.72,75.72,4.12,,0
2007-06-14,77.3,77.3,77.3,77.3,1.58,,0
2007-06-15,77.91,77.91,77.91,77.91,0.61,,0
2007-06-18,78.32,78.32,78.32,78.32,0.41,,0
2007-06-19,77.1,77.1,77.1,77.1,-1.22,,0
2007-06-20,74.44,74.44,74.44,74.44,-2.66,,0
2007-06-21,74.44,74.44,74.44,74.44,0.0,,0
2007-06-22,70.76,70.76,70.76,70.76,-3.68,,0
2007-06-25,70.14,70.14,70.14,70.14,-0.62,,0
2007-06-26,69.73,69.73,69.73,69.73,-0.41,,0
2007-06-27,72.8,72.8,72.8,72.8,3.07,,0
2007-06-28,73.42,73.42,73.42,73.42,0.62,,0
2007-06-29,71.57,71.57,71.57,71.57,-1.85,,0
2007-07-02,74.23,74.23,74.23,74.23,2.66,,0
2007-07-03,74.23,74.23,74.23,74.23,0.0,,0
2007-07-04,74.23,74.23,74.23,74.23,0.0,,0
2007-07-05,74.85,74.85,74.85,74.85,0.62,,0
2007-07-06,75.66,75.66,75.66,75.66,0.81,,0
2007-07-09,74.23,74.23,74.23,74.23,-1.43,,0
2007-07-10,68.71,68.71,68.71,68.71,-5.52,,0
2007-07-11,71.98,71.98,71.98,71.98,3.27,,0
2007-07-12,75.66,75.66,75.66,75.66,3.68,,0
2007-07-13,76.07,76.07,76.07,76.07,0.41,,0
2007-07-16,74.85,74.85,74.85,74.85,-1.22,,0
2007-07-17,74.03,74.03,74.03,74.03,-0.82,,0
2007-07-18,73.21,73.21,73.21,73.21,-0.82,,0
2007-07-19,73.21,73.21,73.21,73.21,0.0,,0
