Time,Open,High,Low,Last,Change,%Chg,Volume
2007-01-02,65.42,65.42,65.42,65.42,0.0,,0
2007-01-03,64.88,64.88,64.88,64.88,-0.54,,0
2007-01-04,66.53,66.53,66.53,66.53,1.65,,0
2007-01-05,55.79,55.79,55.79,55.79,-10.74,,0
2007-01-08,55.99,55.99,55.99,55.99,0.2,,0
2007-01-09,58.06,58.06,58.06,58.06,2.07,,0
2007-01-10,59.38,59.38,59.38,59.38,1.32,,0
2007-01-11,66.8,66.8,66.8,66.8,7.42,,0
2007-01-12,68.25,68.25,68.25,68.25,1.45,,0
2007-01-15,68.25,68.25,68.25,68.25,0.0,,0
2007-01-16,67.22,67.22,67.22,67.22,-1.03,,0
2007-01-17,67.42,67.42,67.42,67.42,0.2,,0
2007-01-18,61.86,61.86,61.86,61.86,-5.56,,0
2007-01-19,65.98,65.98,65.98,65.98,4.12,,0
2007-01-22,59.59,59.59,59.59,59.59,-6.39,,0
2007-01-23,65.57,65.57,65.57,65.57,5.98,,0
2007-01-24,71.55,71.55,71.55,71.55,5.98,,0
2007-01-25,60.41,60.41,60.41,60.41,-11.14,,0
2007-01-26,56.91,56.91,56.91,56.91,-3.5,,0
2007-01-29,57.32,57.32,57.32,57.32,0.41,,0
2007-01-30,61.44,61.44,61.44,61.44,4.12,,0
2007-01-31,67.63,67.63,67.63,67.63,6.19,,0
2007-02-01,73.81,73.81,73.81,73.81,6.18,,0
2007-02-02,75.88,75.88,75.88,75.88,2.07,,0
2007-02-05,74.43,74.43,74.43,74.43,-1.45,,0
2007-02-06,75.88,75.88,75.88,75.88,1.45,,0
2007-02-07,77.53,77.53,77.53,77.53,1.65,,0
2007-02-08,76.7,76.7,76.7,76.7,-0.83,,0
2007-02-09,74.43,74.43,74.43,74.43,-2.27,,0
2007-02-12,69.07,69.07,69.07,69.07,-5.36,,0
2007-02-13,73.81,73.81,73.81,73.81,4.74,,0
2007-02-14,79.79,79.79,79.79,79.79,5.98,,0
2007-02-15,79.38,79.38,79.38,79.38,-0.41,,0
2007-02-16,79.79,79.79,79.79,79.79,0.41,,0
2007-02-19,79.79,79.79,79.79,79.79,0.0,,0
2007-02-20,81.24,81.24,81.24,81.24,1.45,,0
2007-02-21,81.65,81.65,81.65,81.65,0.41,,0
2007-02-22,79.79,79.79,79.79,79.79,-1.86,,0
2007-02-23,77.11,77.11,77.11,77.11,-2.68,,0
