Time,Open,High,Low,Last,Change,%Chg,Volume
1990-01-02,0.6,0.6,0.6,0.6,,,0
1990-01-03,0.54,0.54,0.54,0.54,-0.06,-10.0,0
1990-01-04,0.61,0.61,0.61,0.61,0.07,12.963,0
1990-01-05,0.73,0.73,0.73,0.73,0.12,19.6721,0
1990-01-08,0.65,0.65,0.65,0.65,-0.08,-10.9589,0
1990-01-09,0.72,0.72,0.72,0.72,0.07,10.7692,0
1990-01-10,0.84,0.84,0.84,0.84,0.12,16.6667,0
1990-01-11,0.68,0.68,0.68,0.68,-0.16,-19.0476,0
1990-01-12,0.99,0.99,0.99,0.99,0.31,45.5882,0
1990-01-15,0.99,0.99,0.99,0.99,0.0,0.0,0
1990-01-16,0.93,0.93,0.93,0.93,-0.06,-6.06061,0
1990-01-17,0.82,0.82,0.82,0.82,-0.11,-11.828,0
1990-01-18,0.97,0.97,0.97,0.97,0.15,18.2927,0
1990-01-19,0.61,0.61,0.61,0.61,-0.36,-37.1134,0
1990-01-22,0.83,0.83,0.83,0.83,0.22,36.0656,0
1990-01-23,0.67,0.67,0.67,0.67,-0.16,-19.2771,0
1990-01-24,0.75,0.75,0.75,0.75,0.08,11.9403,0
1990-01-25,0.86,0.86,0.86,0.86,0.11,14.6667,0
1990-01-26,0.79,0.79,0.79,0.79,-0.07,-8.13953,0
1990-01-29,0.83,0.83,0.83,0.83,0.04,5.06329,0
1990-01-30,0.83,0.83,0.83,0.83,0.0,0.0,0
1990-01-31,0.64,0.64,0.64,0.64,-0.19,-22.8916,0
1990-02-01,0.69,0.69,0.69,0.69,0.05,7.8125,0
1990-02-02,0.65,0.65,0.65,0.65,-0.04,-5.7971,0
1990-02-05,0.8,0.8,0.8,0.8,0.15,23.0769,0
1990-02-06,0.76,0.76,0.76,0.76,-0.04,-5.0,0
1990-02-07,0.69,0.69,0.69,0.69,-0.07,-9.21053,0
1990-02-08,0.73,0.73,0.73,0.73,0.04,5.7971,0
1990-02-09,1.04,1.04,1.04,1.04,0.31,42.4658,0
1990-02-12,0.94,0.94,0.94,0.94,-0.1,-9.61538,0
1990-02-13,0.87,0.87,0.87,0.87,-0.07,-7.44681,0
1990-02-14,0.84,0.84,0.84,0.84,-0.03,-3.44828,0
1990-02-15,0.69,0.69,0.69,0.69,-0.15,-17.8571,0
1990-02-16,0.79,0.79,0.79,0.79,0.1,14.4928,0
1990-02-20,0.85,0.85,0.85,0.85,0.06,7.59494,0
1990-02-21,0.71,0.71,0.71,0.71,-0.14,-16.4706,0
1990-02-22,0.71,0.71,0.71,0.71,0.0,0.0,0
1990-02-23,0.88,0.88,0.88,0.88,0.17,23.9437,0
1990-02-26,0.73,0.73,0.73,0.73,-0.15,-17.0455,0
1990-02-27,0.78,0.78,0.78,0.78,0.05,6.84932,0
1990-02-28,0.73,0.73,0.73,0.73,-0.05,-6.41026,0
1990-03-01,0.73,0.73,0.73,0.73,0.0,0.0,0
1990-03-02,0.64,0.64,0.64,0.64,-0.09,-12.3288,0
1990-03-05,0.76,0.76,0.76,0.76,0.12,18.75,0
1990-03-06,0.74,0.74,0.74,0.74,-0.02,-2.63158,0
1990-03-07,0.73,0.73,0.73,0.73,-0.01,-1.35135,0
1990-03-08,0.68,0.68,0.68,0.68,-0.05,-6.84932,0
1990-03-09,0.71,0.71,0.71,0.71,0.03,4.41176,0
1990-03-12,0.67,0.67,0.67,0.67,-0.04,-5.6338,0
1990-03-13,0.73,0.73,0.73,0.73,0.06,8.95522,0
1990-03-14,0.69,0.69,0.69,0.69,-0.04,-5.47945,0
1990-03-15,0.61,0.61,0.61,0.61,-0.08,-11.5942,0
1990-03-16,0.49,0.49,0.49,0.49,-0.12,-19.6721,0
1990-03-19,0.8,0.8,0.8,0.8,0.31,63.2653,0
1990-03-20,0.69,0.69,0.69,0.69,-0.11,-13.75,0
1990-03-21,0.88,0.88,0.88,0.88,0.19,27.5362,0
1990-03-22,1.01,1.01,1.01,1.01,0.13,14.7727,0
1990-03-23,1.01,1.01,1.01,1.01,0.0,0.0,0
1990-03-26,0.63,0.63,0.63,0.63,-0.38,-37.6238,0
1990-03-27,0.69,0.69,0.69,0.69,0.06,9.52381,0
1990-03-28,0.61,0.61,0.61,0.61,-0.08,-11.5942,0
1990-03-29,0.74,0.74,0.74,0.74,0.13,21.3115,0
1990-03-30,0.98,0.98,0.98,0.98,0.24,32.4324,0
1990-04-02,0.87,0.87,0.87,0.87,-0.11,-11.2245,0
1990-04-03,0.62,0.62,0.62,0.62,-0.25,-28.7356,0
1990-04-04,0.9,0.9,0.9,0.9,0.28,45.1613,0
1990-04-05,0.7,0.7,0.7,0.7,-0.2,-22.2222,0
1990-04-06,0.7,0.7,0.7,0.7,0.0,0.0,0
1990-04-09,0.78,0.78,0.78,0.78,0.08,11.4286,0
1990-04-10,0.85,0.85,0.85,0.85,0.07,8.97436,0
1990-04-11,0.56,0.56,0.56,0.56,-0.29,-34.1176,0
1990-04-12,0.65,0.65,0.65,0.65,0.09,16.0714,0
1990-04-16,0.65,0.65,0.65,0.65,0.0,0.0,0
1990-04-17,0.78,0.78,0.78,0.78,0.13,20.0,0
1990-04-18,0.88,0.88,0.88,0.88,0.1,12.8205,0
1990-04-19,0.86,0.86,0.86,0.86,-0.02,-2.27273,0
1990-04-20,0.91,0.91,0.91,0.91,0.05,5.81395,0
1990-04-23,0.79,0.79,0.79,0.79,-0.12,-13.1868,0
1990-04-24,0.61,0.61,0.61,0.61,-0.18,-22.7848,0
1990-04-25,0.64,0.64,0.64,0.64,0.03,4.91803,0
1990-04-26,0.73,0.73,0.73,0.73,0.09,14.0625,0
1990-04-27,0.75,0.75,0.75,0.75,0.02,2.73973,0
1990-04-30,0.68,0.68,0.68,0.68,-0.07,-9.33333,0
1990-05-01,0.59,0.59,0.59,0.59,-0.09,-13.2353,0
1990-05-02,0.65,0.65,0.65,0.65,0.06,10.1695,0
1990-05-03,0.47,0.47,0.47,0.47,-0.18,-27.6923,0
1990-05-04,0.51,0.51,0.51,0.51,0.04,8.51064,0
1990-05-07,0.54,0.54,0.54,0.54,0.03,5.88235,0
1990-05-08,0.53,0.53,0.53,0.53,-0.01,-1.85185,0
1990-05-09,0.45,0.45,0.45,0.45,-0.08,-15.0943,0
1990-05-10,0.56,0.56,0.56,0.56,0.11,24.4444,0
1990-05-11,0.48,0.48,0.48,0.48,-0.08,-14.2857,0
1990-05-14,0.14,0.14,0.14,0.14,-0.34,-70.8333,0
1990-05-15,0.6,0.6,0.6,0.6,0.46,328.571,0
1990-05-16,0.85,0.85,0.85,0.85,0.25,41.6667,0
1990-05-17,0.71,0.71,0.71,0.71,-0.14,-16.4706,0
1990-05-18,0.44,0.44,0.44,0.44,-0.27,-38.0282,0
1990-05-21,0.6,0.6,0.6,0.6,0.16,36.3636,0
1990-05-22,0.57,0.57,0.57,0.57,-0.03,-5.0,0
1990-05-23,0.53,0.53,0.53,0.53,-0.04,-7.01754,0
1990-05-24,0.56,0.56,0.56,0.56,0.03,5.66038,0
1990-05-25,0.62,0.62,0.62,0.62,0.06,10.7143,0
1990-05-29,0.64,0.64,0.64,0.64,0.02,3.22581,0
1990-05-30,0.65,0.65,0.65,0.65,0.01,1.5625,0
1990-05-31,0.62,0.62,0.62,0.62,-0.03,-4.61538,0
1990-06-01,0.69,0.69,0.69,0.69,0.07,11.2903,0
1990-06-04,0.63,0.63,0.63,0.63,-0.06,-8.69565,0
1990-06-05,0.57,0.57,0.57,0.57,-0.06,-9.52381,0
1990-06-06,0.64,0.64,0.64,0.64,0.07,12.2807,0
1990-06-07,0.66,0.66,0.66,0.66,0.02,3.125,0
1990-06-08,0.76,0.76,0.76,0.76,0.1,15.1515,0
1990-06-11,0.78,0.78,0.78,0.78,0.02,2.63158,0
1990-06-12,0.64,0.64,0.64,0.64,-0.14,-17.9487,0
1990-06-13,0.61,0.61,0.61,0.61,-0.03,-4.6875,0
1990-06-14,0.63,0.63,0.63,0.63,0.02,3.27869,0
1990-06-15,0.59,0.59,0.59,0.59,-0.04,-6.34921,0
1990-06-18,0.92,0.92,0.92,0.92,0.33,55.9322,0
1990-06-19,0.82,0.82,0.82,0.82,-0.1,-10.8696,0
1990-06-20,0.65,0.65,0.65,0.65,-0.17,-20.7317,0
1990-06-21,0.7,0.7,0.7,0.7,0.05,7.69231,0
1990-06-22,0.61,0.61,0.61,0.61,-0.09,-12.8571,0
1990-06-25,0.95,0.95,0.95,0.95,0.34,55.7377,0
1990-06-26,0.82,0.82,0.82,0.82,-0.13,-13.6842,0
1990-06-27,0.61,0.61,0.61,0.61,-0.21,-25.6098,0
1990-06-28,0.53,0.53,0.53,0.53,-0.08,-13.1148,0
1990-06-29,0.59,0.59,0.59,0.59,0.06,11.3208,0
1990-07-02,0.6,0.6,0.6,0.6,0.01,1.69492,0
1990-07-03,0.64,0.64,0.64,0.64,0.04,6.66667,0
1990-07-05,0.77,0.77,0.77,0.77,0.13,20.3125,0
1990-07-06,0.67,0.67,0.67,0.67,-0.1,-12.987,0
1990-07-09,0.7,0.7,0.7,0.7,0.03,4.47761,0
1990-07-10,0.67,0.67,0.67,0.67,-0.03,-4.28571,0
1990-07-11,0.64,0.64,0.64,0.64,-0.03,-4.47761,0
1990-07-12,0.59,0.59,0.59,0.59,-0.05,-7.8125,0
