Time,Open,High,Low,Last,Change,%Chg,Volume
2004-03-29,19.8,19.8,19.8,19.8,-0.52,-2.5591,0
2004-03-30,19.62,19.62,19.62,19.62,-0.18,-0.9091,0
2004-03-31,19.75,19.75,19.75,19.75,0.13,0.6626,0
2004-04-01,19.62,19.62,19.62,19.62,-0.13,-0.6582,0
2004-04-02,18.89,18.89,18.89,18.89,-0.73,-3.7207,0
2004-04-05,18.53,18.53,18.53,18.53,-0.36,-1.9058,0
2004-04-06,18.79,18.79,18.79,18.79,0.26,1.4031,0
2004-04-07,19.09,19.09,19.09,19.09,0.3,1.5966,0
2004-04-08,19.05,19.05,19.05,19.05,-0.04,-0.2095,0
2004-04-12,18.67,18.67,18.67,18.67,-0.38,-1.9948,0
2004-04-13,19.3,19.3,19.3,19.3,0.63,3.3744,0
2004-04-14,19.46,19.46,19.46,19.46,0.16,0.829,0
2004-04-15,19.35,19.35,19.35,19.35,-0.11,-0.5653,0
2004-04-16,19.0,19.0,19.0,19.0,-0.35,-1.8088,0
2004-04-19,18.87,18.87,18.87,18.87,-0.13,-0.6842,0
2004-04-20,19.15,19.15,19.15,19.15,0.28,1.4838,0
2004-04-21,18.68,18.68,18.68,18.68,-0.47,-2.4543,0
2004-04-22,17.35,17.35,17.35,17.35,-1.33,-7.1199,0
2004-04-23,17.34,17.34,17.34,17.34,-0.01,-0.0576,0
2004-04-26,17.13,17.13,17.13,17.13,-0.21,-1.2111,0
2004-04-27,16.8,16.8,16.8,16.8,-0.33,-1.9264,0
2004-04-28,17.37,17.37,17.37,17.37,0.57,3.3929,0
2004-04-29,17.77,17.77,17.77,17.77,0.4,2.3028,0
2004-04-30,18.22,18.22,18.22,18.22,0.45,2.5324,0
2004-05-03,17.69,17.69,17.69,17.69,-0.53,-2.9089,0
2004-05-04,17.31,17.31,17.31,17.31,-0.38,-2.1481,0
2004-05-05,16.62,16.62,16.62,16.62,-0.69,-3.9861,0
2004-05-06,17.48,17.48,17.48,17.48,0.86,5.1745,0
2004-05-07,18.31,18.31,18.31,18.31,0.83,4.7483,0
2004-05-10,19.35,19.35,19.35,19.35,1.04,5.68,0
2004-05-11,18.38,18.38,18.38,18.38,-0.97,-5.0129,0
2004-05-12,18.2,18.2,18.2,18.2,-0.18,-0.9793,0
2004-05-13,18.38,18.38,18.38,18.38,0.18,0.989,0
2004-05-14,18.55,18.55,18.55,18.55,0.17,0.9249,0
2004-05-17,19.37,19.37,19.37,19.37,0.82,4.4205,0
2004-05-18,19.25,19.25,19.25,19.25,-0.12,-0.6195,0
2004-05-19,19.17,19.17,19.17,19.17,-0.08,-0.4156,0
2004-05-20,19.34,19.34,19.34,19.34,0.17,0.8868,0
2004-05-21,19.17,19.17,19.17,19.17,-0.17,-0.879,0
2004-05-24,18.77,18.77,18.77,18.77,-0.4,-2.0866,0
2004-05-25,17.5,17.5,17.5,17.5,-1.27,-6.7661,0
2004-05-26,17.61,17.61,17.61,17.61,0.11,0.6286,0
2004-05-27,17.35,17.35,17.35,17.35,-0.26,-1.4764,0
2004-05-28,17.58,17.58,17.58,17.58,0.23,1.3256,0
2004-06-01,17.6,17.6,17.6,17.6,0.02,0.1138,0
2004-06-02,17.65,17.65,17.65,17.65,0.05,0.2841,0
2004-06-03,17.6,17.6,17.6,17.6,-0.05,-0.2833,0
2004-06-04,17.28,17.28,17.28,17.28,-0.32,-1.8182,0
2004-06-07,16.58,16.58,16.58,16.58,-0.7,-4.0509,0
2004-06-08,16.18,16.18,16.18,16.18,-0.4,-2.4125,0
2004-06-09,16.2,16.2,16.2,16.2,0.02,0.1236,0
2004-06-10,15.71,15.71,15.71,15.71,-0.49,-3.0247,0
2004-06-14,16.29,16.29,16.29,16.29,0.58,3.6919,0
2004-06-15,15.03,15.03,15.03,15.03,-1.26,-7.7348,0
2004-06-16,17.1,17.1,17.1,17.1,2.07,13.7725,0
2004-06-17,17.14,17.14,17.14,17.14,0.04,0.2339,0
2004-06-18,17.0,17.0,17.0,17.0,-0.14,-0.8168,0
2004-06-21,17.26,17.26,17.26,17.26,0.26,1.5294,0
2004-06-22,16.77,16.77,16.77,16.77,-0.49,-2.8389,0
2004-06-23,15.79,15.79,15.79,15.79,-0.98,-5.8438,0
2004-06-24,16.02,16.02,16.02,16.02,0.23,1.4566,0
2004-06-25,16.23,16.23,16.23,16.23,0.21,1.3109,0
2004-06-28,16.37,16.37,16.37,16.37,0.14,0.8626,0
2004-06-29,15.98,15.98,15.98,15.98,-0.39,-2.3824,0
2004-06-30,15.38,15.38,15.38,15.38,-0.6,-3.7547,0
2004-07-01,15.67,15.67,15.67,15.67,0.29,1.8856,0
2004-07-02,15.56,15.56,15.56,15.56,-0.11,-0.702,0
2004-07-06,16.22,16.22,16.22,16.22,0.66,4.2416,0
2004-07-07,15.67,15.67,15.67,15.67,-0.55,-3.3909,0
2004-07-08,15.94,15.94,15.94,15.94,0.27,1.723,0
2004-07-09,15.74,15.74,15.74,15.74,-0.2,-1.2547,0
2004-07-12,15.09,15.09,15.09,15.09,-0.65,-4.1296,0
2004-07-13,14.31,14.31,14.31,14.31,-0.78,-5.169,0
2004-07-14,18.74,18.74,18.74,18.74,4.43,30.9574,0
2004-07-15,18.83,18.83,18.83,18.83,0.09,0.4803,0
2004-07-16,18.95,18.95,18.95,18.95,0.12,0.6373,0
2004-07-19,18.98,18.98,18.98,18.98,0.03,0.1583,0
2004-07-20,18.46,18.46,18.46,18.46,-0.52,-2.7397,0
2004-07-21,19.14,19.14,19.14,19.14,0.68,3.6836,0
2004-07-22,18.42,18.42,18.42,18.42,-0.72,-3.7618,0
2004-07-23,18.39,18.39,18.39,18.39,-0.03,-0.1629,0
2004-07-26,18.55,18.55,18.55,18.55,0.16,0.87,0
2004-07-27,17.88,17.88,17.88,17.88,-0.67,-3.6119,0
2004-07-28,17.5,17.5,17.5,17.5,-0.38,-2.1253,0
2004-07-29,16.86,16.86,16.86,16.86,-0.64,-3.6571,0
2004-07-30,16.68,16.68,16.68,16.68,-0.18,-1.0676,0
2004-08-02,16.41,16.41,16.41,16.41,-0.27,-1.6187,0
2004-08-03,16.58,16.58,16.58,16.58,0.17,1.036,0
2004-08-04,16.73,16.73,16.73,16.73,0.15,0.9047,0
2004-08-05,17.61,17.61,17.61,17.61,0.88,5.26,0
2004-08-06,18.37,18.37,18.37,18.37,0.76,4.3157,0
2004-08-09,18.0,18.0,18.0,18.0,-0.37,-2.0142,0
2004-08-10,17.43,17.43,17.43,17.43,-0.57,-3.1667,0
2004-08-11,17.49,17.49,17.49,17.49,0.06,0.3442,0
2004-08-12,18.12,18.12,18.12,18.12,0.63,3.6021,0
2004-08-13,17.87,17.87,17.87,17.87,-0.25,-1.3797,0
2004-08-16,17.2,17.2,17.2,17.2,-0.67,-3.7493,0
2004-08-17,16.6,16.6,16.6,16.6,-0.6,-3.4884,0
2004-08-18,17.81,17.81,17.81,17.81,1.21,7.2892,0
2004-08-19,17.89,17.89,17.89,17.89,0.08,0.4492,0
2004-08-20,17.65,17.65,17.65,17.65,-0.24,-1.3415,0
2004-08-23,17.47,17.47,17.47,17.47,-0.18,-1.0198,0
2004-08-24,17.1,17.1,17.1,17.1,-0.37,-2.1179,0
2004-08-25,16.5,16.5,16.5,16.5,-0.6,-3.5088,0
2004-08-26,16.41,16.41,16.41,16.41,-0.09,-0.5455,0
2004-08-27,16.15,16.15,16.15,16.15,-0.26,-1.5844,0
2004-08-30,16.44,16.44,16.44,16.44,0.29,1.7957,0
2004-08-31,16.17,16.17,16.17,16.17,-0.27,-1.6423,0
2004-09-01,16.02,16.02,16.02,16.02,-0.15,-0.9276,0
2004-09-02,15.39,15.39,15.39,15.39,-0.63,-3.9326,0
2004-09-03,15.26,15.26,15.26,15.26,-0.13,-0.8447,0
2004-09-07,14.89,14.89,14.89,14.89,-0.37,-2.4246,0
2004-09-08,14.59,14.59,14.59,14.59,-0.3,-2.0148,0
2004-09-09,14.46,14.46,14.46,14.46,-0.13,-0.891,0
2004-09-10,14.29,14.29,14.29,14.29,-0.17,-1.1757,0
2004-09-13,13.73,13.73,13.73,13.73,-0.56,-3.9188,0
2004-09-14,13.5,13.5,13.5,13.5,-0.23,-1.6752,0
2004-09-15,15.48,15.48,15.48,15.48,1.98,14.6667,0
2004-09-16,15.51,15.51,15.51,15.51,0.03,0.1938,0
2004-09-17,15.54,15.54,15.54,15.54,0.03,0.1934,0
2004-09-20,15.66,15.66,15.66,15.66,0.12,0.7722,0
2004-09-21,15.34,15.34,15.34,15.34,-0.32,-2.0434,0
2004-09-22,15.6,15.6,15.6,15.6,0.26,1.6949,0
2004-09-23,15.61,15.61,15.61,15.61,0.01,0.0641,0
2004-09-24,15.35,15.35,15.35,15.35,-0.26,-1.6656,0
2004-09-27,15.52,15.52,15.52,15.52,0.17,1.1075,0
2004-09-28,14.95,14.95,14.95,14.95,-0.57,-3.6727,0
2004-09-29,14.35,14.35,14.35,14.35,-0.6,-4.0134,0
2004-09-30,14.23,14.23,14.23,14.23,-0.12,-0.8362,0
2004-10-01,13.57,13.57,13.57,13.57,-0.66,-4.6381,0
2004-10-04,13.82,13.82,13.82,13.82,0.25,1.8423,0
2004-10-05,13.87,13.87,13.87,13.87,0.05,0.3618,0
2004-10-06,13.55,13.55,13.55,13.55,-0.32,-2.3071,0
2004-10-07,14.15,14.15,14.15,14.15,0.6,4.428,0
2004-10-08,14.73,14.73,14.73,14.73,0.58,4.0989,0
2004-10-11,14.81,14.81,14.81,14.81,0.08,0.5431,0
2004-10-12,15.02,15.02,15.02,15.02,0.21,1.418,0
2004-10-13,15.99,15.99,15.99,15.99,0.97,6.4581,0
2004-10-14,16.3,16.3,16.3,16.3,0.31,1.9387,0
2004-10-15,15.99,15.99,15.99,15.99,-0.31,-1.9018,0
2004-10-18,15.47,15.47,15.47,15.47,-0.52,-3.252,0
2004-10-19,15.6,15.6,15.6,15.6,0.13,0.8403,0
2004-10-20,16.05,16.05,16.05,16.05,0.45,2.8846,0
2004-10-21,15.32,15.32,15.32,15.32,-0.73,-4.5483,0
2004-10-22,15.65,15.65,15.65,15.65,0.33,2.154,0
2004-10-25,16.11,16.11,16.11,16.11,0.46,2.9393,0
2004-10-26,15.76,15.76,15.76,15.76,-0.35,-2.1726,0
2004-10-27,15.81,15.81,15.81,15.81,0.05,0.3173,0
2004-10-28,15.56,15.56,15.56,15.56,-0.25,-1.5813,0
2004-10-29,15.6,15.6,15.6,15.6,0.04,0.2571,0
2004-11-01,15.72,15.72,15.72,15.72,0.12,0.7692,0
2004-11-02,15.22,15.22,15.22,15.22,-0.5,-3.1807,0
2004-11-03,14.29,14.29,14.29,14.29,-0.93,-6.1104,0
2004-11-04,13.72,13.72,13.72,13.72,-0.57,-3.9888,0
2004-11-05,13.68,13.68,13.68,13.68,-0.04,-0.2915,0
2004-11-08,13.84,13.84,13.84,13.84,0.16,1.1696,0
2004-11-09,13.64,13.64,13.64,13.64,-0.2,-1.4451,0
2004-11-10,13.12,13.12,13.12,13.12,-0.52,-3.8123,0
2004-11-11,12.74,12.74,12.74,12.74,-0.38,-2.8963,0
2004-11-12,12.8,12.8,12.8,12.8,0.06,0.471,0
2004-11-15,12.71,12.71,12.71,12.71,-0.09,-0.7031,0
2004-11-16,12.58,12.58,12.58,12.58,-0.13,-1.0228,0
2004-11-17,15.12,15.12,15.12,15.12,2.54,20.1908,0
2004-11-18,15.12,15.12,15.12,15.12,0.0,0.0,0
2004-11-19,15.45,15.45,15.45,15.45,0.33,2.1825,0
2004-11-22,15.22,15.22,15.22,15.22,-0.23,-1.4887,0
2004-11-23,15.15,15.15,15.15,15.15,-0.07,-0.4599,0
2004-11-24,15.03,15.03,15.03,15.03,-0.12,-0.7921,0
2004-11-26,15.01,15.01,15.01,15.01,-0.02,-0.1331,0
2004-11-29,15.06,15.06,15.06,15.06,0.05,0.3331,0
2004-11-30,15.08,15.08,15.08,15.08,0.02,0.1328,0
2004-12-01,14.88,14.88,14.88,14.88,-0.2,-1.3263,0
2004-12-02,14.82,14.82,14.82,14.82,-0.06,-0.4032,0
2004-12-03,14.81,14.81,14.81,14.81,-0.01,-0.0675,0
2004-12-06,14.24,14.24,14.24,14.24,-0.57,-3.8488,0
2004-12-07,14.47,14.47,14.47,14.47,0.23,1.6152,0
2004-12-08,14.3,14.3,14.3,14.3,-0.17,-1.1748,0
2004-12-09,14.22,14.22,14.22,14.22,-0.08,-0.5594,0
2004-12-10,14.16,14.16,14.16,14.16,-0.06,-0.4219,0
2004-12-13,13.87,13.87,13.87,13.87,-0.29,-2.048,0
2004-12-14,13.89,13.89,13.89,13.89,0.02,0.1442,0
2004-12-15,13.93,13.93,13.93,13.93,0.04,0.288,0
2004-12-16,13.77,13.77,13.77,13.77,-0.16,-1.1486,0
2004-12-17,13.8,13.8,13.8,13.8,0.03,0.2179,0
2004-12-20,13.77,13.77,13.77,13.77,-0.03,-0.2174,0
2004-12-21,13.5,13.5,13.5,13.5,-0.27,-1.9608,0
2004-12-22,13.53,13.53,13.53,13.53,0.03,0.2222,0
2004-12-23,13.45,13.45,13.45,13.45,-0.08,-0.5913,0
2004-12-27,13.47,13.47,13.47,13.47,0.02,0.1487,0
2004-12-28,13.43,13.43,13.43,13.43,-0.04,-0.297,0
2004-12-29,13.42,13.42,13.42,13.42,-0.01,-0.0745,0
2004-12-30,13.48,13.48,13.48,13.48,0.06,0.4471,0
2004-12-31,13.52,13.52,13.52,13.52,0.04,0.2967,0
2005-01-03,13.83,13.83,13.83,13.83,0.31,2.2929,0
2005-01-04,13.92,13.92,13.92,13.92,0.09,0.6508,0
2005-01-05,13.99,13.99,13.99,13.99,0.07,0.5029,0
2005-01-06,13.74,13.74,13.74,13.74,-0.25,-1.787,0
2005-01-07,13.67,13.67,13.67,13.67,-0.07,-0.5095,0
2005-01-10,13.59,13.59,13.59,13.59,-0.08,-0.5852,0
2005-01-11,13.72,13.72,13.72,13.72,0.13,0.9566,0
2005-01-12,13.24,13.24,13.24,13.24,-0.48,-3.4985,0
2005-01-13,13.05,13.05,13.05,13.05,-0.19,-1.435,0
2005-01-14,12.93,12.93,12.93,12.93,-0.12,-0.9195,0
