Time,Open,High,Low,Last,Change,%Chg,Volume
2004-03-29,19.77,19.77,19.77,19.77,-0.39,-1.9345,0
2004-03-30,19.79,19.79,19.79,19.79,0.02,0.1012,0
2004-03-31,19.85,19.85,19.85,19.85,0.06,0.3032,0
2004-04-01,19.61,19.61,19.61,19.61,-0.24,-1.2091,0
2004-04-02,19.16,19.16,19.16,19.16,-0.45,-2.2947,0
2004-04-05,18.62,18.62,18.62,18.62,-0.54,-2.8184,0
2004-04-06,18.79,18.79,18.79,18.79,0.17,0.913,0
2004-04-07,19.12,19.12,19.12,19.12,0.33,1.7563,0
2004-04-08,19.0,19.0,19.0,19.0,-0.12,-0.6276,0
2004-04-12,18.9,18.9,18.9,18.9,-0.1,-0.5263,0
2004-04-13,19.29,19.29,19.29,19.29,0.39,2.0635,0
2004-04-14,19.47,19.47,19.47,19.47,0.18,0.9331,0
2004-04-15,19.47,19.47,19.47,19.47,0.0,0.0,0
2004-04-16,19.43,19.43,19.43,19.43,-0.04,-0.2054,0
2004-04-19,19.68,19.68,19.68,19.68,0.25,1.2867,0
2004-04-20,19.96,19.96,19.96,19.96,0.28,1.4228,0
2004-04-21,19.7,19.7,19.7,19.7,-0.26,-1.3026,0
2004-04-22,18.77,18.77,18.77,18.77,-0.93,-4.7208,0
2004-04-23,19.09,19.09,19.09,19.09,0.32,1.7048,0
2004-04-26,18.96,18.96,18.96,18.96,-0.13,-0.681,0
2004-04-27,18.77,18.77,18.77,18.77,-0.19,-1.0021,0
2004-04-28,19.27,19.27,19.27,19.27,0.5,2.6638,0
2004-04-29,19.64,19.64,19.64,19.64,0.37,1.9201,0
2004-04-30,19.85,19.85,19.85,19.85,0.21,1.0692,0
2004-05-03,19.27,19.27,19.27,19.27,-0.58,-2.9219,0
2004-05-04,19.2,19.2,19.2,19.2,-0.07,-0.3633,0
2004-05-05,18.79,18.79,18.79,18.79,-0.41,-2.1354,0
2004-05-06,19.41,19.41,19.41,19.41,0.62,3.2996,0
2004-05-07,19.87,19.87,19.87,19.87,0.46,2.3699,0
2004-05-10,20.43,20.43,20.43,20.43,0.56,2.8183,0
2004-05-11,19.97,19.97,19.97,19.97,-0.46,-2.2516,0
2004-05-12,19.61,19.61,19.61,19.61,-0.36,-1.8027,0
2004-05-13,19.58,19.58,19.58,19.58,-0.03,-0.153,0
2004-05-14,19.67,19.67,19.67,19.67,0.09,0.4597,0
2004-05-17,20.21,20.21,20.21,20.21,0.54,2.7453,0
2004-05-18,20.07,20.07,20.07,20.07,-0.14,-0.6927,0
2004-05-24,19.04,19.04,19.04,19.04,-1.03,-5.132,0
2004-05-25,18.0,18.0,18.0,18.0,-1.04,-5.4622,0
2004-05-26,18.09,18.09,18.09,18.09,0.09,0.5,0
2004-05-27,17.9,17.9,17.9,17.9,-0.19,-1.0503,0
2004-05-28,18.06,18.06,18.06,18.06,0.16,0.8939,0
2004-06-01,18.16,18.16,18.16,18.16,0.1,0.5537,0
2004-06-02,18.1,18.1,18.1,18.1,-0.06,-0.3304,0
2004-06-03,18.33,18.33,18.33,18.33,0.23,1.2707,0
2004-06-04,18.51,18.51,18.51,18.51,0.18,0.982,0
2004-06-07,18.07,18.07,18.07,18.07,-0.44,-2.3771,0
2004-06-08,17.73,17.73,17.73,17.73,-0.34,-1.8816,0
2004-06-09,17.86,17.86,17.86,17.86,0.13,0.7332,0
2004-06-10,17.57,17.57,17.57,17.57,-0.29,-1.6237,0
2004-06-14,17.93,17.93,17.93,17.93,0.36,2.0489,0
2004-06-15,17.23,17.23,17.23,17.23,-0.7,-3.9041,0
2004-06-16,19.22,19.22,19.22,19.22,1.99,11.5496,0
2004-06-17,19.17,19.17,19.17,19.17,-0.05,-0.2601,0
2004-06-18,19.18,19.18,19.18,19.18,0.01,0.0522,0
2004-06-21,19.12,19.12,19.12,19.12,-0.06,-0.3128,0
2004-06-22,18.68,18.68,18.68,18.68,-0.44,-2.3013,0
2004-06-23,17.87,17.87,17.87,17.87,-0.81,-4.3362,0
2004-06-24,18.25,18.25,18.25,18.25,0.38,2.1265,0
2004-06-25,18.36,18.36,18.36,18.36,0.11,0.6027,0
2004-06-28,18.46,18.46,18.46,18.46,0.1,0.5447,0
2004-06-29,18.32,18.32,18.32,18.32,-0.14,-0.7584,0
2004-06-30,18.14,18.14,18.14,18.14,-0.18,-0.9825,0
2004-07-01,18.28,18.28,18.28,18.28,0.14,0.7718,0
2004-07-02,18.27,18.27,18.27,18.27,-0.01,-0.0547,0
2004-07-06,18.72,18.72,18.72,18.72,0.45,2.4631,0
2004-07-07,18.44,18.44,18.44,18.44,-0.28,-1.4957,0
2004-07-08,18.82,18.82,18.82,18.82,0.38,2.0607,0
2004-07-09,19.03,19.03,19.03,19.03,0.21,1.1158,0
2004-07-12,19.03,19.03,19.03,19.03,0.0,0.0,0
2004-07-13,18.79,18.79,18.79,18.79,-0.24,-1.2612,0
2004-07-19,19.91,19.91,19.91,19.91,1.12,5.9606,0
2004-07-20,19.61,19.61,19.61,19.61,-0.3,-1.5068,0
2004-07-21,20.58,20.58,20.58,20.58,0.97,4.9465,0
2004-07-22,20.24,20.24,20.24,20.24,-0.34,-1.6521,0
2004-07-23,20.59,20.59,20.59,20.59,0.35,1.7292,0
2004-07-26,20.66,20.66,20.66,20.66,0.07,0.34,0
2004-07-27,20.25,20.25,20.25,20.25,-0.41,-1.9845,0
2004-07-28,20.05,20.05,20.05,20.05,-0.2,-0.9877,0
2004-07-29,20.06,20.06,20.06,20.06,0.01,0.0499,0
2004-07-30,20.06,20.06,20.06,20.06,0.0,0.0,0
2004-08-02,19.78,19.78,19.78,19.78,-0.28,-1.3958,0
2004-08-03,19.72,19.72,19.72,19.72,-0.06,-0.3033,0
2004-08-04,19.48,19.48,19.48,19.48,-0.24,-1.217,0
2004-08-05,19.91,19.91,19.91,19.91,0.43,2.2074,0
