Date,Fear_Greed
2011-01-03 00:00:00,68.0
2011-01-04 00:00:00,68.0
2011-01-05 00:00:00,67.0
2011-01-06 00:00:00,64.0
2011-01-07 00:00:00,63.0
2011-01-10 00:00:00,58.0
2011-01-11 00:00:00,58.0
2011-01-12 00:00:00,58.0
2011-01-13 00:00:00,58.0
2011-01-14 00:00:00,60.0
2011-01-18 00:00:00,56.0
2011-01-19 00:00:00,55.0
2011-01-20 00:00:00,54.0
2011-01-21 00:00:00,47.0
2011-01-24 00:00:00,45.0
2011-01-25 00:00:00,43.0
2011-01-26 00:00:00,43.0
2011-01-27 00:00:00,43.0
2011-01-28 00:00:00,43.0
2011-01-31 00:00:00,41.0
2011-02-01 00:00:00,41.0
2011-02-02 00:00:00,46.0
2011-02-03 00:00:00,47.0
2011-02-04 00:00:00,49.0
2011-02-07 00:00:00,56.0
2011-02-08 00:00:00,56.0
2011-02-09 00:00:00,56.0
2011-02-10 00:00:00,56.0
2011-02-11 00:00:00,56.0
2011-02-14 00:00:00,61.0
2011-02-15 00:00:00,61.0
2011-02-16 00:00:00,61.0
2011-02-17 00:00:00,61.0
2011-02-18 00:00:00,56.0
2011-02-22 00:00:00,42.0
2011-02-23 00:00:00,42.0
2011-02-24 00:00:00,42.0
2011-02-25 00:00:00,42.0
2011-02-28 00:00:00,43.0
2011-03-01 00:00:00,43.0
2011-03-02 00:00:00,42.0
2011-03-03 00:00:00,41.0
2011-03-04 00:00:00,39.0
2011-03-07 00:00:00,35.0
2011-03-08 00:00:00,27.0
2011-03-09 00:00:00,26.0
2011-03-10 00:00:00,26.0
2011-03-11 00:00:00,26.0
2011-03-14 00:00:00,13.0
2011-03-15 00:00:00,13.0
2011-03-16 00:00:00,11.0
2011-03-17 00:00:00,9.0
2011-03-18 00:00:00,9.0
2011-03-21 00:00:00,14.0
2011-03-22 00:00:00,15.0
2011-03-23 00:00:00,16.0
2011-03-24 00:00:00,16.0
2011-03-25 00:00:00,19.0
2011-03-28 00:00:00,23.0
2011-03-29 00:00:00,23.0
2011-03-30 00:00:00,24.0
2011-03-31 00:00:00,24.0
2011-04-01 00:00:00,27.0
2011-04-04 00:00:00,31.0
2011-04-05 00:00:00,35.0
2011-04-06 00:00:00,37.0
2011-04-07 00:00:00,37.0
2011-04-08 00:00:00,37.0
2011-04-11 00:00:00,34.0
2011-04-12 00:00:00,33.0
2011-04-13 00:00:00,33.0
2011-04-14 00:00:00,30.0
2011-04-15 00:00:00,28.0
2011-04-18 00:00:00,24.0
2011-04-19 00:00:00,24.0
2011-04-20 00:00:00,25.0
2011-04-21 00:00:00,30.0
2011-04-25 00:00:00,35.0
2011-04-26 00:00:00,36.0
2011-04-27 00:00:00,37.0
2011-04-28 00:00:00,37.0
2011-04-29 00:00:00,41.0
2011-05-02 00:00:00,36.0
2011-05-03 00:00:00,31.0
2011-05-04 00:00:00,30.0
2011-05-05 00:00:00,29.0
2011-05-06 00:00:00,27.0
2011-05-09 00:00:00,28.0
2011-05-10 00:00:00,31.0
2011-05-11 00:00:00,31.0
2011-05-12 00:00:00,32.0
2011-05-13 00:00:00,32.0
2011-05-16 00:00:00,27.0
2011-05-17 00:00:00,27.0
2011-05-18 00:00:00,25.0
2011-05-19 00:00:00,23.0
2011-05-20 00:00:00,22.0
2011-05-23 00:00:00,16.0
2011-05-24 00:00:00,13.0
2011-05-25 00:00:00,13.0
2011-05-26 00:00:00,15.0
2011-05-27 00:00:00,16.0
2011-05-31 00:00:00,16.0
2011-06-01 00:00:00,15.0
2011-06-02 00:00:00,12.0
2011-06-03 00:00:00,9.0
2011-06-06 00:00:00,6.0
2011-06-07 00:00:00,6.0
2011-06-08 00:00:00,6.0
2011-06-09 00:00:00,6.0
2011-06-10 00:00:00,5.0
2011-06-13 00:00:00,6.0
2011-06-14 00:00:00,5.0
2011-06-15 00:00:00,5.0
2011-06-16 00:00:00,6.0
2011-06-17 00:00:00,7.0
2011-06-20 00:00:00,9.0
2011-06-21 00:00:00,9.0
2011-06-22 00:00:00,10.0
2011-06-23 00:00:00,10.0
2011-06-24 00:00:00,11.0
2011-06-27 00:00:00,25.0
2011-06-28 00:00:00,29.0
2011-06-29 00:00:00,30.0
2011-06-30 00:00:00,32.0
2011-07-01 00:00:00,34.0
2011-07-05 00:00:00,51.0
2011-07-06 00:00:00,52.0
2011-07-07 00:00:00,48.0
2011-07-08 00:00:00,43.0
2011-07-11 00:00:00,35.0
2011-07-12 00:00:00,31.0
2011-07-13 00:00:00,31.0
2011-07-14 00:00:00,31.0
2011-07-15 00:00:00,32.0
