Time,Open,High,Low,Last,Change,%Chg,Volume
2005-01-04,245.0,245.0,245.0,245.0,127.0,+107.63%,0.0
2005-01-05,393.0,393.0,393.0,393.0,148.0,+60.41%,0.0
2005-01-06,295.0,295.0,295.0,295.0,-98.0,-24.94%,0.0
2005-01-07,303.0,303.0,303.0,303.0,8.0,+2.71%,0.0
2005-01-10,250.0,250.0,250.0,250.0,-53.0,-17.49%,0.0
2005-01-11,355.0,355.0,355.0,355.0,105.0,+42.00%,0.0
2005-01-12,395.0,395.0,395.0,395.0,40.0,+11.27%,0.0
2005-01-13,208.0,208.0,208.0,208.0,-187.0,-47.34%,0.0
2005-01-14,152.0,152.0,152.0,152.0,-56.0,-26.92%,0.0
2005-01-18,157.0,157.0,157.0,157.0,5.0,+3.29%,0.0
2005-01-19,114.0,114.0,114.0,114.0,-43.0,-27.39%,0.0
2005-01-20,266.0,266.0,266.0,266.0,152.0,+133.33%,0.0
2005-01-21,261.0,261.0,261.0,261.0,-5.0,-1.88%,0.0
2005-01-24,352.0,352.0,352.0,352.0,91.0,+34.87%,0.0
2005-01-25,253.0,253.0,253.0,253.0,-99.0,-28.13%,0.0
2005-01-26,166.0,166.0,166.0,166.0,-87.0,-34.39%,0.0
2005-01-27,155.0,155.0,155.0,155.0,-11.0,-6.63%,0.0
2005-01-28,183.0,183.0,183.0,183.0,28.0,+18.06%,0.0
2005-01-31,80.0,80.0,80.0,80.0,-103.0,-56.28%,0.0
2005-02-01,50.0,50.0,50.0,50.0,-30.0,-37.50%,0.0
2005-02-02,47.0,47.0,47.0,47.0,-3.0,-6.00%,0.0
2005-02-03,69.0,69.0,69.0,69.0,22.0,+46.81%,0.0
2005-02-04,41.0,41.0,41.0,41.0,-28.0,-40.58%,0.0
2005-02-07,41.0,41.0,41.0,41.0,0.0,0.00%,0.0
2005-02-08,57.0,57.0,57.0,57.0,16.0,+39.02%,0.0
2005-02-09,80.0,80.0,80.0,80.0,23.0,+40.35%,0.0
2005-02-10,83.0,83.0,83.0,83.0,3.0,+3.75%,0.0
2005-02-11,64.0,64.0,64.0,64.0,-19.0,-22.89%,0.0
2005-02-14,42.0,42.0,42.0,42.0,-22.0,-34.38%,0.0
2005-02-15,37.0,37.0,37.0,37.0,-5.0,-11.90%,0.0
2005-02-16,39.0,39.0,39.0,39.0,2.0,+5.41%,0.0
2005-02-17,41.0,41.0,41.0,41.0,2.0,+5.13%,0.0
2005-02-18,69.0,69.0,69.0,69.0,28.0,+68.29%,0.0
2005-02-22,205.0,205.0,205.0,205.0,136.0,+197.10%,0.0
2005-02-23,131.0,131.0,131.0,131.0,-74.0,-36.10%,0.0
2005-02-24,152.0,152.0,152.0,152.0,21.0,+16.03%,0.0
2005-02-25,43.0,43.0,43.0,43.0,-109.0,-71.71%,0.0
2005-02-28,76.0,76.0,76.0,76.0,33.0,+76.74%,0.0
2005-03-01,39.0,39.0,39.0,39.0,-37.0,-48.68%,0.0
2005-03-02,57.0,57.0,57.0,57.0,18.0,+46.15%,0.0
2005-03-03,58.0,58.0,58.0,58.0,1.0,+1.75%,0.0
2005-03-04,37.0,37.0,37.0,37.0,-21.0,-36.21%,0.0
2005-03-07,36.0,36.0,36.0,36.0,-1.0,-2.70%,0.0
2005-03-08,57.0,57.0,57.0,57.0,21.0,+58.33%,0.0
2005-03-09,135.0,135.0,135.0,135.0,78.0,+136.84%,0.0
2005-03-10,179.0,179.0,179.0,179.0,44.0,+32.59%,0.0
2005-03-11,143.0,143.0,143.0,143.0,-36.0,-20.11%,0.0
2005-03-14,137.0,137.0,137.0,137.0,-6.0,-4.20%,0.0
2005-03-15,145.0,145.0,145.0,145.0,8.0,+5.84%,0.0
2005-03-16,277.0,277.0,277.0,277.0,132.0,+91.03%,0.0
2005-03-17,192.0,192.0,192.0,192.0,-85.0,-30.69%,0.0
2005-03-18,239.0,239.0,239.0,239.0,47.0,+24.48%,0.0
2005-03-21,262.0,262.0,262.0,262.0,23.0,+9.62%,0.0
2005-03-22,308.0,308.0,308.0,308.0,46.0,+17.56%,0.0
2005-03-23,545.0,545.0,545.0,545.0,237.0,+76.95%,0.0
2005-03-24,245.0,245.0,245.0,245.0,-300.0,-55.05%,0.0
2005-03-28,298.0,298.0,298.0,298.0,53.0,+21.63%,0.0
2005-03-29,552.0,552.0,552.0,552.0,254.0,+85.23%,0.0
2005-03-30,280.0,280.0,280.0,280.0,-272.0,-49.28%,0.0
2005-03-31,115.0,115.0,115.0,115.0,-165.0,-58.93%,0.0
2005-04-01,205.0,205.0,205.0,205.0,90.0,+78.26%,0.0
2005-04-04,277.0,277.0,277.0,277.0,72.0,+35.12%,0.0
2005-04-05,88.0,88.0,88.0,88.0,-189.0,-68.23%,0.0
2005-04-06,76.0,76.0,76.0,76.0,-12.0,-13.64%,0.0
2005-04-07,84.0,84.0,84.0,84.0,8.0,+10.53%,0.0
2005-04-08,112.0,112.0,112.0,112.0,28.0,+33.33%,0.0
2005-04-11,195.0,195.0,195.0,195.0,83.0,+74.11%,0.0
2005-04-12,293.0,293.0,293.0,293.0,98.0,+50.26%,0.0
2005-04-13,207.0,207.0,207.0,207.0,-86.0,-29.35%,0.0
2005-04-14,466.0,466.0,466.0,466.0,259.0,+125.12%,0.0
2005-04-15,720.0,720.0,720.0,720.0,254.0,+54.51%,0.0
2005-04-18,604.0,604.0,604.0,604.0,-116.0,-16.11%,0.0
2005-04-19,141.0,141.0,141.0,141.0,-463.0,-76.66%,0.0
2005-04-20,300.0,300.0,300.0,300.0,159.0,+112.77%,0.0
2005-04-21,141.0,141.0,141.0,141.0,-159.0,-53.00%,0.0
2005-04-22,228.0,228.0,228.0,228.0,87.0,+61.70%,0.0
2005-04-25,89.0,89.0,89.0,89.0,-139.0,-60.96%,0.0
2005-04-26,168.0,168.0,168.0,168.0,79.0,+88.76%,0.0
2005-04-27,302.0,302.0,302.0,302.0,134.0,+79.76%,0.0
2005-04-28,352.0,352.0,352.0,352.0,50.0,+16.56%,0.0
2005-04-29,348.0,348.0,348.0,348.0,-4.0,-1.14%,0.0
2005-05-02,117.0,117.0,117.0,117.0,-231.0,-66.38%,0.0
2005-05-03,109.0,109.0,109.0,109.0,-8.0,-6.84%,0.0
2005-05-04,70.0,70.0,70.0,70.0,-39.0,-35.78%,0.0
2005-05-05,53.0,53.0,53.0,53.0,-17.0,-24.29%,0.0
2005-05-06,50.0,50.0,50.0,50.0,-3.0,-5.66%,0.0
2005-05-09,43.0,43.0,43.0,43.0,-7.0,-14.00%,0.0
2005-05-10,82.0,82.0,82.0,82.0,39.0,+90.70%,0.0
2005-05-11,115.0,115.0,115.0,115.0,33.0,+40.24%,0.0
2005-05-12,191.0,191.0,191.0,191.0,76.0,+66.09%,0.0
2005-05-13,321.0,321.0,321.0,321.0,130.0,+68.06%,0.0
2005-05-16,173.0,173.0,173.0,173.0,-148.0,-46.11%,0.0
2005-05-17,82.0,82.0,82.0,82.0,-91.0,-52.60%,0.0
2005-05-18,32.0,32.0,32.0,32.0,-50.0,-60.98%,0.0
2005-05-19,21.0,21.0,21.0,21.0,-11.0,-34.38%,0.0
2005-05-20,23.0,23.0,23.0,23.0,2.0,+9.52%,0.0
2005-05-23,26.0,26.0,26.0,26.0,3.0,+13.04%,0.0
