Time,Open,High,Low,Last,Change,%Chg,Volume
1990-01-02,111.0,111.0,111.0,111.0,,,0
1990-01-03,111.0,111.0,111.0,111.0,0.0,0.0,0
1990-01-04,58.0,58.0,58.0,58.0,-53.0,-47.74774774774775,0
1990-01-05,34.0,34.0,34.0,34.0,-24.0,-41.37931034482759,0
1990-01-08,31.0,31.0,31.0,31.0,-3.0,-8.823529411764707,0
1990-01-09,53.0,53.0,53.0,53.0,22.0,70.96774193548387,0
1990-01-10,39.0,39.0,39.0,39.0,-14.0,-26.41509433962264,0
1990-01-11,48.0,48.0,48.0,48.0,9.0,23.076923076923077,0
1990-01-12,21.0,21.0,21.0,21.0,-27.0,-56.25,0
1990-01-15,8.0,8.0,8.0,8.0,-13.0,-61.904761904761905,0
1990-01-16,8.0,8.0,8.0,8.0,0.0,0.0,0
1990-01-17,14.0,14.0,14.0,14.0,6.0,75.0,0
1990-01-18,13.0,13.0,13.0,13.0,-1.0,-7.142857142857142,0
1990-01-19,14.0,14.0,14.0,14.0,1.0,7.6923076923076925,0
1990-01-22,9.0,9.0,9.0,9.0,-5.0,-35.714285714285715,0
1990-01-23,10.0,10.0,10.0,10.0,1.0,11.11111111111111,0
1990-01-24,9.0,9.0,9.0,9.0,-1.0,-10.0,0
1990-01-25,9.0,9.0,9.0,9.0,0.0,0.0,0
1990-01-26,8.0,8.0,8.0,8.0,-1.0,-11.11111111111111,0
1990-01-29,9.0,9.0,9.0,9.0,1.0,12.5,0
1990-01-30,9.0,9.0,9.0,9.0,0.0,0.0,0
1990-01-31,8.0,8.0,8.0,8.0,-1.0,-11.11111111111111,0
1990-02-01,17.0,17.0,17.0,17.0,9.0,112.5,0
1990-02-02,16.0,16.0,16.0,16.0,-1.0,-5.88235294117647,0
1990-02-05,20.0,20.0,20.0,20.0,4.0,25.0,0
1990-02-06,17.0,17.0,17.0,17.0,-3.0,-15.0,0
1990-02-07,31.0,31.0,31.0,31.0,14.0,82.35294117647058,0
1990-02-08,42.0,42.0,42.0,42.0,11.0,35.483870967741936,0
1990-02-09,22.0,22.0,22.0,22.0,-20.0,-47.61904761904761,0
1990-02-12,11.0,11.0,11.0,11.0,-11.0,-50.0,0
1990-02-13,16.0,16.0,16.0,16.0,5.0,45.45454545454545,0
1990-02-14,24.0,24.0,24.0,24.0,8.0,50.0,0
1990-02-15,31.0,31.0,31.0,31.0,7.0,29.166666666666668,0
1990-02-16,30.0,30.0,30.0,30.0,-1.0,-3.225806451612903,0
1990-02-20,13.0,13.0,13.0,13.0,-17.0,-56.666666666666664,0
1990-02-21,10.0,10.0,10.0,10.0,-3.0,-23.076923076923077,0
1990-02-22,21.0,21.0,21.0,21.0,11.0,110.00000000000001,0
1990-02-23,3.0,3.0,3.0,3.0,-18.0,-85.71428571428571,0
1990-02-26,6.0,6.0,6.0,6.0,3.0,100.0,0
1990-02-27,17.0,17.0,17.0,17.0,11.0,183.33333333333331,0
1990-02-28,28.0,28.0,28.0,28.0,11.0,64.70588235294117,0
1990-03-01,30.0,30.0,30.0,30.0,2.0,7.142857142857142,0
1990-03-02,29.0,29.0,29.0,29.0,-1.0,-3.3333333333333335,0
1990-03-05,27.0,27.0,27.0,27.0,-2.0,-6.896551724137931,0
1990-03-06,32.0,32.0,32.0,32.0,5.0,18.51851851851852,0
1990-03-07,40.0,40.0,40.0,40.0,8.0,25.0,0
1990-03-08,38.0,38.0,38.0,38.0,-2.0,-5.0,0
1990-03-09,28.0,28.0,28.0,28.0,-10.0,-26.31578947368421,0
1990-03-12,24.0,24.0,24.0,24.0,-4.0,-14.285714285714285,0
1990-03-13,22.0,22.0,22.0,22.0,-2.0,-8.333333333333332,0
1990-03-14,17.0,17.0,17.0,17.0,-5.0,-22.727272727272727,0
1990-03-15,19.0,19.0,19.0,19.0,2.0,11.76470588235294,0
1990-03-16,42.0,42.0,42.0,42.0,23.0,121.05263157894737,0
1990-03-19,32.0,32.0,32.0,32.0,-10.0,-23.809523809523807,0
1990-03-20,48.0,48.0,48.0,48.0,16.0,50.0,0
1990-03-21,20.0,20.0,20.0,20.0,-28.0,-58.333333333333336,0
1990-03-22,10.0,10.0,10.0,10.0,-10.0,-50.0,0
1990-03-23,18.0,18.0,18.0,18.0,8.0,80.0,0
1990-03-26,31.0,31.0,31.0,31.0,13.0,72.22222222222221,0
1990-03-27,21.0,21.0,21.0,21.0,-10.0,-32.25806451612903,0
1990-03-28,21.0,21.0,21.0,21.0,0.0,0.0,0
1990-03-29,20.0,20.0,20.0,20.0,-1.0,-4.761904761904762,0
1990-03-30,12.0,12.0,12.0,12.0,-8.0,-40.0,0
1990-04-02,6.0,6.0,6.0,6.0,-6.0,-50.0,0
1990-04-03,30.0,30.0,30.0,30.0,24.0,400.0,0
1990-04-04,34.0,34.0,34.0,34.0,4.0,13.333333333333334,0
1990-04-05,25.0,25.0,25.0,25.0,-9.0,-26.47058823529412,0
1990-04-06,25.0,25.0,25.0,25.0,0.0,0.0,0
