Time,Open,High,Low,Last,Change,%Chg,Volume
1990-01-02,6.0,6.0,6.0,6.0,,,0
1990-01-03,7.0,7.0,7.0,7.0,1.0,16.666666666666664,0
1990-01-04,13.0,13.0,13.0,13.0,6.0,85.71428571428571,0
1990-01-05,7.0,7.0,7.0,7.0,-6.0,-46.15384615384615,0
1990-01-08,22.0,22.0,22.0,22.0,15.0,214.28571428571428,0
1990-01-09,18.0,18.0,18.0,18.0,-4.0,-18.181818181818183,0
1990-01-10,34.0,34.0,34.0,34.0,16.0,88.88888888888889,0
1990-01-11,28.0,28.0,28.0,28.0,-6.0,-17.647058823529413,0
1990-01-12,59.0,59.0,59.0,59.0,31.0,110.71428571428572,0
1990-01-15,67.0,67.0,67.0,67.0,8.0,13.559322033898304,0
1990-01-16,86.0,86.0,86.0,86.0,19.0,28.35820895522388,0
1990-01-17,44.0,44.0,44.0,44.0,-42.0,-48.837209302325576,0
1990-01-18,84.0,84.0,84.0,84.0,40.0,90.9090909090909,0
1990-01-19,54.0,54.0,54.0,54.0,-30.0,-35.714285714285715,0
1990-01-22,105.0,105.0,105.0,105.0,51.0,94.44444444444444,0
1990-01-23,123.0,123.0,123.0,123.0,18.0,17.142857142857142,0
1990-01-24,194.0,194.0,194.0,194.0,71.0,57.72357723577236,0
1990-01-25,76.0,76.0,76.0,76.0,-118.0,-60.824742268041234,0
1990-01-26,154.0,154.0,154.0,154.0,78.0,102.63157894736842,0
1990-01-29,134.0,134.0,134.0,134.0,-20.0,-12.987012987012985,0
1990-01-30,193.0,193.0,193.0,193.0,59.0,44.02985074626866,0
1990-01-31,87.0,87.0,87.0,87.0,-106.0,-54.92227979274611,0
1990-02-01,69.0,69.0,69.0,69.0,-18.0,-20.689655172413794,0
1990-02-02,47.0,47.0,47.0,47.0,-22.0,-31.88405797101449,0
1990-02-05,37.0,37.0,37.0,37.0,-10.0,-21.27659574468085,0
1990-02-06,61.0,61.0,61.0,61.0,24.0,64.86486486486487,0
1990-02-07,68.0,68.0,68.0,68.0,7.0,11.475409836065573,0
1990-02-08,39.0,39.0,39.0,39.0,-29.0,-42.64705882352941,0
1990-02-09,49.0,49.0,49.0,49.0,10.0,25.64102564102564,0
1990-02-12,73.0,73.0,73.0,73.0,24.0,48.97959183673469,0
1990-02-13,85.0,85.0,85.0,85.0,12.0,16.43835616438356,0
1990-02-14,62.0,62.0,62.0,62.0,-23.0,-27.058823529411764,0
1990-02-15,55.0,55.0,55.0,55.0,-7.0,-11.29032258064516,0
1990-02-16,37.0,37.0,37.0,37.0,-18.0,-32.72727272727273,0
1990-02-20,78.0,78.0,78.0,78.0,41.0,110.8108108108108,0
1990-02-21,91.0,91.0,91.0,91.0,13.0,16.666666666666664,0
1990-02-22,51.0,51.0,51.0,51.0,-40.0,-43.956043956043956,0
1990-02-23,94.0,94.0,94.0,94.0,43.0,84.31372549019608,0
