Time,Open,High,Low,Last,Change,%Chg,Volume
2011-01-03,16.04,16.04,16.04,16.04,0.0,0.0,0
2011-01-04,16.06,16.06,16.06,16.06,0.02,0.124688279,0
2011-01-05,15.57,15.57,15.57,15.57,-0.49,-3.051058531,0
2011-01-06,15.71,15.71,15.71,15.71,0.14,0.899165061,0
2011-01-07,15.01,15.01,15.01,15.01,-0.7,-4.455760662,0
2011-01-10,15.81,15.81,15.81,15.81,0.8,5.329780147,0
2011-01-11,14.93,14.93,14.93,14.93,-0.88,-5.566097407,0
2011-01-12,14.82,14.82,14.82,14.82,-0.11,-0.736771601,0
2011-01-13,14.92,14.92,14.92,14.92,0.1,0.674763833,0
2011-01-14,14.3,14.3,14.3,14.3,-0.62,-4.155495979,0
2011-01-18,16.34,16.34,16.34,16.34,2.04,14.26573427,0
2011-01-19,17.74,17.74,17.74,17.74,1.4,8.567931457,0
2011-01-20,16.98,16.98,16.98,16.98,-0.76,-4.28410372,0
2011-01-21,17.32,17.32,17.32,17.32,0.34,2.002355713,0
2011-01-24,17.38,17.38,17.38,17.38,0.06,0.346420323,0
2011-01-25,17.75,17.75,17.75,17.75,0.37,2.128883774,0
2011-01-26,16.27,16.27,16.27,16.27,-1.48,-8.338028169,0
2011-01-27,15.07,15.07,15.07,15.07,-1.2,-7.3755378,0
2011-01-28,21.25,21.25,21.25,21.25,6.18,41.00862641,0
2011-01-31,20.5,20.5,20.5,20.5,-0.75,-3.529411765,0
2011-02-01,17.21,17.21,17.21,17.21,-3.29,-16.04878049,0
2011-02-02,16.83,16.83,16.83,16.83,-0.38,-2.208018594,0
2011-02-03,15.38,15.38,15.38,15.38,-1.45,-8.615567439,0
2011-02-04,14.19,14.19,14.19,14.19,-1.19,-7.737321196,0
2011-02-07,15.33,15.33,15.33,15.33,1.14,8.033826638,0
2011-02-08,14.56,14.56,14.56,14.56,-0.77,-5.02283105,0
2011-02-09,14.3,14.3,14.3,14.3,-0.26,-1.785714286,0
2011-02-10,14.53,14.53,14.53,14.53,0.23,1.608391608,0
2011-02-11,14.79,14.79,14.79,14.79,0.26,1.789401239,0
2011-02-14,16.16,16.16,16.16,16.16,1.37,9.263015551,0
2011-02-15,16.58,16.58,16.58,16.58,0.42,2.599009901,0
2011-02-16,16.87,16.87,16.87,16.87,0.29,1.749095296,0
2011-02-17,15.81,15.81,15.81,15.81,-1.06,-6.283343213,0
2011-02-18,14.92,14.92,14.92,14.92,-0.89,-5.629348514,0
2011-02-22,22.09,22.09,22.09,22.09,7.17,48.05630027,0
2011-02-23,22.77,22.77,22.77,22.77,0.68,3.07831598,0
2011-02-24,21.51,21.51,21.51,21.51,-1.26,-5.533596838,0
2011-02-25,18.47,18.47,18.47,18.47,-3.04,-14.13296141,0
2011-02-28,18.3,18.3,18.3,18.3,-0.17,-0.920411478,0
2011-03-01,21.59,21.59,21.59,21.59,3.29,17.97814208,0
2011-03-02,20.78,20.78,20.78,20.78,-0.81,-3.751736915,0
2011-03-03,16.85,16.85,16.85,16.85,-3.93,-18.91241578,0
2011-03-04,17.69,17.69,17.69,17.69,0.84,4.985163205,0
2011-03-07,20.97,20.97,20.97,20.97,3.28,18.5415489,0
2011-03-08,19.34,19.34,19.34,19.34,-1.63,-7.773009061,0
2011-03-09,19.93,19.93,19.93,19.93,0.59,3.050672182,0
2011-03-10,22.89,22.89,22.89,22.89,2.96,14.85198194,0
2011-03-11,19.4,19.4,19.4,19.4,-3.49,-15.24683268,0
2011-03-14,21.93,21.93,21.93,21.93,2.53,13.04123711,0
2011-03-15,25.9,25.9,25.9,25.9,3.97,18.10305518,0
2011-03-16,31.04,31.04,31.04,31.04,5.14,19.84555985,0
2011-03-17,28.62,28.62,28.62,28.62,-2.42,-7.796391753,0
2011-03-18,25.31,25.31,25.31,25.31,-3.31,-11.56533892,0
2011-03-21,21.02,21.02,21.02,21.02,-4.29,-16.9498222,0
2011-03-22,20.17,20.17,20.17,20.17,-0.85,-4.04376784,0
2011-03-23,19.06,19.06,19.06,19.06,-1.11,-5.503222608,0
2011-03-24,17.42,17.42,17.42,17.42,-1.64,-8.604407135,0
2011-03-25,17.49,17.49,17.49,17.49,0.07,0.401836969,0
2011-03-28,19.84,19.84,19.84,19.84,2.35,13.43624929,0
2011-03-29,17.46,17.46,17.46,17.46,-2.38,-11.99596774,0
2011-03-30,16.98,16.98,16.98,16.98,-0.48,-2.749140893,0
2011-03-31,16.31,16.31,16.31,16.31,-0.67,-3.94581861,0
2011-04-01,15.15,15.15,15.15,15.15,-1.16,-7.112201104,0
2011-04-04,16.72,16.72,16.72,16.72,1.57,10.3630363,0
2011-04-05,15.81,15.81,15.81,15.81,-0.91,-5.442583732,0
2011-04-06,15.21,15.21,15.21,15.21,-0.6,-3.795066414,0
2011-04-07,15.93,15.93,15.93,15.93,0.72,4.733727811,0
2011-04-08,17.21,17.21,17.21,17.21,1.28,8.035153798,0
2011-04-11,18.39,18.39,18.39,18.39,1.18,6.856478791,0
2011-04-12,18.93,18.93,18.93,18.93,0.54,2.936378467,0
2011-04-13,17.97,17.97,17.97,17.97,-0.96,-5.071315372,0
2011-04-14,15.99,15.99,15.99,15.99,-1.98,-11.01836394,0
2011-04-15,14.28,14.28,14.28,14.28,-1.71,-10.69418386,0
2011-04-18,17.63,17.63,17.63,17.63,3.35,23.45938375,0
2011-04-19,15.91,15.91,15.91,15.91,-1.72,-9.756097561,0
2011-04-20,15.04,15.04,15.04,15.04,-0.87,-5.468258957,0
2011-04-21,13.03,13.03,13.03,13.03,-2.01,-13.3643617,0
2011-04-25,15.05,15.05,15.05,15.05,2.02,15.50268611,0
2011-04-26,15.16,15.16,15.16,15.16,0.11,0.73089701,0
2011-04-27,14.61,14.61,14.61,14.61,-0.55,-3.627968338,0
2011-04-28,12.81,12.81,12.81,12.81,-1.8,-12.32032854,0
2011-04-29,13.09,13.09,13.09,13.09,0.28,2.18579235,0
2011-05-02,15.16,15.16,15.16,15.16,2.07,15.81359817,0
2011-05-03,15.71,15.71,15.71,15.71,0.55,3.627968338,0
2011-05-04,16.37,16.37,16.37,16.37,0.66,4.201145767,0
2011-05-05,18.87,18.87,18.87,18.87,2.5,15.27183873,0
2011-05-06,18.89,18.89,18.89,18.89,0.02,0.105988341,0
2011-05-09,16.56,16.56,16.56,16.56,-2.33,-12.33456855,0
2011-05-10,14.58,14.58,14.58,14.58,-1.98,-11.95652174,0
2011-05-11,16.8,16.8,16.8,16.8,2.22,15.22633745,0
2011-05-12,15.1,15.1,15.1,15.1,-1.7,-10.11904762,0
2011-05-13,17.13,17.13,17.13,17.13,2.03,13.44370861,0
2011-05-16,19.71,19.71,19.71,19.71,2.58,15.06129597,0
