Time,Open,High,Low,Last,Change,%Chg,Volume
1990-01-02,17.24,17.24,17.24,17.24,,,0
1990-01-03,18.19,18.19,18.19,18.19,0.95,5.510440835,0
1990-01-04,19.22,19.22,19.22,19.22,1.03,5.662451897,0
1990-01-05,20.11,20.11,20.11,20.11,0.89,4.630593132,0
1990-01-08,20.26,20.26,20.26,20.26,0.15,0.745897563,0
1990-01-09,22.2,22.2,22.2,22.2,1.94,9.575518263,0
1990-01-10,22.44,22.44,22.44,22.44,0.24,1.081081081,0
1990-01-11,20.05,20.05,20.05,20.05,-2.39,-10.65062389,0
1990-01-12,24.64,24.64,24.64,24.64,4.59,22.89276808,0
1990-01-15,26.34,26.34,26.34,26.34,1.7,6.899350649,0
1990-01-16,24.18,24.18,24.18,24.18,-2.16,-8.200455581,0
1990-01-17,24.16,24.16,24.16,24.16,-0.02,-0.082712986,0
1990-01-18,24.34,24.34,24.34,24.34,0.18,0.745033113,0
1990-01-19,22.5,22.5,22.5,22.5,-1.84,-7.55957272,0
1990-01-22,26.7,26.7,26.7,26.7,4.2,18.66666667,0
1990-01-23,24.72,24.72,24.72,24.72,-1.98,-7.415730337,0
1990-01-24,25.39,25.39,25.39,25.39,0.67,2.710355987,0
1990-01-25,25.63,25.63,25.63,25.63,0.24,0.945254037,0
1990-01-26,26.28,26.28,26.28,26.28,0.65,2.536090519,0
1990-01-29,26.44,26.44,26.44,26.44,0.16,0.608828006,0
1990-01-30,27.25,27.25,27.25,27.25,0.81,3.063540091,0
1990-01-31,25.36,25.36,25.36,25.36,-1.89,-6.935779817,0
1990-02-01,24.87,24.87,24.87,24.87,-0.49,-1.932176656,0
1990-02-02,24.32,24.32,24.32,24.32,-0.55,-2.211499799,0
1990-02-05,24.54,24.54,24.54,24.54,0.22,0.904605263,0
1990-02-06,24.69,24.69,24.69,24.69,0.15,0.611246944,0
1990-02-07,24.29,24.29,24.29,24.29,-0.4,-1.620089105,0
1990-02-08,23.77,23.77,23.77,23.77,-0.52,-2.140798683,0
1990-02-09,23.69,23.69,23.69,23.69,-0.08,-0.336558687,0
1990-02-12,24.38,24.38,24.38,24.38,0.69,2.912621359,0
1990-02-13,23.76,23.76,23.76,23.76,-0.62,-2.543068089,0
1990-02-14,22.05,22.05,22.05,22.05,-1.71,-7.196969697,0
1990-02-15,19.71,19.71,19.71,19.71,-2.34,-10.6122449,0
1990-02-16,20.78,20.78,20.78,20.78,1.07,5.428716388,0
1990-02-20,22.78,22.78,22.78,22.78,2.0,9.624639076,0
1990-02-21,23.89,23.89,23.89,23.89,1.11,4.872695347,0
