Time,Open,High,Low,Last,Change,%Chg,Volume
1997-01-08,0.32,0.32,0.32,0.32,,,0
1997-01-09,0.35,0.35,0.35,0.35,0.03,9.374999999999991,0
1997-01-10,0.34,0.34,0.34,0.34,-0.01,-2.857142857,0
1997-01-13,0.32,0.32,0.32,0.32,-0.02,-5.882352941,0
1997-01-14,0.37,0.37,0.37,0.37,0.05,15.624999999999996,0
1997-01-15,0.38,0.38,0.38,0.38,0.01,2.7027027027027053,0
1997-01-16,0.32,0.32,0.32,0.32,-0.06,-15.78947368,0
1997-01-17,0.32,0.32,0.32,0.32,0.0,0,0
1997-01-20,0.39,0.39,0.39,0.39,0.07,21.875000000000004,0
1997-01-21,0.35,0.35,0.35,0.35,-0.04,-10.25641026,0
1997-01-22,0.41,0.41,0.41,0.41,0.06,17.142857142857142,0
1997-01-23,0.39,0.39,0.39,0.39,-0.02,-4.87804878,0
1997-01-24,0.4,0.4,0.4,0.4,0.01,2.5641025641025665,0
1997-01-27,0.49,0.49,0.49,0.49,0.09,22.499999999999993,0
1997-01-28,0.4,0.4,0.4,0.4,-0.09,-18.36734694,0
1997-01-29,0.36,0.36,0.36,0.36,-0.04,-10,0
1997-01-30,0.39,0.39,0.39,0.39,0.03,8.333333333333341,0
1997-01-31,0.34,0.34,0.34,0.34,-0.05,-12.82051282,0
1997-02-03,0.36,0.36,0.36,0.36,0.0199999999999999,5.8823529411764595,0
1997-02-04,0.47,0.47,0.47,0.47,0.1099999999999999,30.555555555555554,0
1997-02-05,0.48,0.48,0.48,0.48,0.01,2.1276595744680873,0
1997-02-06,0.49,0.49,0.49,0.49,0.01,2.0833333333333353,0
1997-02-07,0.44,0.44,0.44,0.44,-0.05,-10.20408163,0
1997-02-10,0.51,0.51,0.51,0.51,0.07,15.909090909090912,0
1997-02-11,0.53,0.53,0.53,0.53,0.02,3.921568627450984,0
1997-02-12,0.44,0.44,0.44,0.44,-0.09,-16.98113208,0
1997-02-13,0.41,0.41,0.41,0.41,-0.03,-6.818181818,0
1997-02-14,0.43,0.43,0.43,0.43,0.02,4.878048780487809,0
1997-02-18,0.51,0.51,0.51,0.51,0.08,18.60465116,0
1997-02-19,0.42,0.42,0.42,0.42,-0.09,-17.64705882,0
1997-02-20,0.51,0.51,0.51,0.51,0.09,21.428571428571434,0
1997-02-21,0.66,0.66,0.66,0.66,0.15,29.41176470588236,0
1997-02-24,0.34,0.34,0.34,0.34,-0.32,-48.48484848,0
1997-02-25,0.37,0.37,0.37,0.37,0.03,8.823529411764696,0
1997-02-26,0.51,0.51,0.51,0.51,0.14,37.83783783783784,0
1997-02-27,0.38,0.38,0.38,0.38,-0.13,-25.49019608,0
1997-02-28,0.59,0.59,0.59,0.59,0.2099999999999999,55.263157894736835,0
1997-03-03,0.54,0.54,0.54,0.54,-0.05,-8.474576271,0
1997-03-04,0.48,0.48,0.48,0.48,-0.06,-11.11111111,0
1997-03-05,0.49,0.49,0.49,0.49,0.01,2.0833333333333353,0
1997-03-06,0.54,0.54,0.54,0.54,0.05,10.204081632653072,0
1997-03-07,0.47,0.47,0.47,0.47,-0.07,-12.96296296,0
1997-03-10,0.44,0.44,0.44,0.44,-0.03,-6.382978723,0
1997-03-11,0.48,0.48,0.48,0.48,0.04,9.090909090909086,0
1997-03-12,0.59,0.59,0.59,0.59,0.1099999999999999,22.916666666666664,0
1997-03-13,0.57,0.57,0.57,0.57,-0.02,-3.389830508,0
1997-03-14,0.5,0.5,0.5,0.5,-0.07,-12.28070175,0
1997-03-17,0.61,0.61,0.61,0.61,0.1099999999999999,21.999999999999996,0
1997-03-18,0.62,0.62,0.62,0.62,0.01,1.6393442622950833,0
1997-03-19,0.59,0.59,0.59,0.59,-0.03,-4.838709677,0
1997-03-20,0.61,0.61,0.61,0.61,0.02,3.3898305084745797,0
1997-03-21,0.73,0.73,0.73,0.73,0.12,19.672131147540984,0
1997-03-24,0.52,0.52,0.52,0.52,-0.21,-28.76712329,0
1997-03-25,0.4,0.4,0.4,0.4,-0.12,-23.07692308,0
1997-03-26,0.49,0.49,0.49,0.49,0.09,22.499999999999993,0
1997-03-27,0.51,0.51,0.51,0.51,0.02,4.081632653061228,0
1997-03-31,0.66,0.66,0.66,0.66,0.15,29.41176470588236,0
1997-04-01,0.63,0.63,0.63,0.63,-0.03,-4.545454545,0
1997-04-02,0.51,0.51,0.51,0.51,-0.12,-19.04761905,0
1997-04-03,0.66,0.66,0.66,0.66,0.15,29.41176470588236,0
1997-04-04,0.44,0.44,0.44,0.44,-0.22,-33.33333333,0
1997-04-07,0.41,0.41,0.41,0.41,-0.03,-6.818181818,0
1997-04-08,0.48,0.48,0.48,0.48,0.07,17.073170731707318,0
1997-04-09,0.41,0.41,0.41,0.41,-0.07,-14.58333333,0
1997-04-10,0.49,0.49,0.49,0.49,0.08,19.512195121951226,0
1997-04-11,0.71,0.71,0.71,0.71,0.2199999999999999,44.897959183673464,0
1997-04-14,0.61,0.61,0.61,0.61,-0.1,-14.08450704,0
1997-04-15,0.58,0.58,0.58,0.58,-0.03,-4.918032787,0
1997-04-16,0.59,0.59,0.59,0.59,0.01,1.7241379310344844,0
1997-04-17,0.61,0.61,0.61,0.61,0.02,3.3898305084745797,0
1997-04-18,0.7,0.7,0.7,0.7,0.09,14.754098360655732,0
1997-04-21,0.47,0.47,0.47,0.47,-0.23,-32.85714286,0
1997-04-22,0.6,0.6,0.6,0.6,0.13,27.659574468085108,0
1997-04-23,0.53,0.53,0.53,0.53,-0.07,-11.66666667,0
1997-04-24,0.49,0.49,0.49,0.49,-0.04,-7.547169811,0
1997-04-25,0.68,0.68,0.68,0.68,0.19,38.77551020408164,0
1997-04-28,0.55,0.55,0.55,0.55,-0.13,-19.11764706,0
1997-04-29,0.34,0.34,0.34,0.34,-0.21,-38.18181818,0
1997-04-30,0.5,0.5,0.5,0.5,0.1599999999999999,47.058823529411754,0
1997-05-01,0.34,0.34,0.34,0.34,-0.16,-32,0
1997-05-02,0.34,0.34,0.34,0.34,0.0,0,0
1997-05-05,0.34,0.34,0.34,0.34,0.0,0,0
1997-05-06,0.41,0.41,0.41,0.41,0.07,20.58823529411763,0
1997-05-07,0.4,0.4,0.4,0.4,-0.01,-2.43902439,0
1997-05-08,0.41,0.41,0.41,0.41,0.01,2.4999999999999885,0
1997-05-09,0.36,0.36,0.36,0.36,-0.05,-12.19512195,0
1997-05-12,0.39,0.39,0.39,0.39,0.03,8.333333333333341,0
1997-05-13,0.4,0.4,0.4,0.4,0.01,2.5641025641025665,0
1997-05-14,0.43,0.43,0.43,0.43,0.03,7.499999999999993,0
1997-05-15,0.36,0.36,0.36,0.36,-0.07,-16.27906977,0
1997-05-16,0.41,0.41,0.41,0.41,0.05,13.888888888888888,0
1997-05-19,0.36,0.36,0.36,0.36,-0.05,-12.19512195,0
1997-05-20,0.41,0.41,0.41,0.41,0.05,13.888888888888888,0
1997-05-21,0.31,0.31,0.31,0.31,-0.1,-24.3902439,0
1997-05-22,0.43,0.43,0.43,0.43,0.12,38.70967741935484,0
1997-05-23,0.38,0.38,0.38,0.38,-0.05,-11.62790698,0
1997-05-27,0.29,0.29,0.29,0.29,-0.09,-23.68421053,0
1997-05-28,0.31,0.31,0.31,0.31,0.02,6.896551724137938,0
1997-05-29,0.34,0.34,0.34,0.34,0.03,9.677419354838717,0
1997-05-30,0.39,0.39,0.39,0.39,0.05,14.705882352941172,0
1997-06-02,0.37,0.37,0.37,0.37,-0.02,-5.128205128,0
1997-06-03,0.41,0.41,0.41,0.41,0.04,10.810810810810805,0
1997-06-04,0.56,0.56,0.56,0.56,0.15,36.58536585365856,0
1997-06-05,0.42,0.42,0.42,0.42,-0.14,-25,0
1997-06-06,0.36,0.36,0.36,0.36,-0.06,-14.28571429,0
1997-06-09,0.32,0.32,0.32,0.32,-0.04,-11.11111111,0
1997-06-10,0.34,0.34,0.34,0.34,0.02,6.250000000000005,0
1997-06-11,0.44,0.44,0.44,0.44,0.1,29.411764705882344,0
1997-06-12,0.32,0.32,0.32,0.32,-0.12,-27.27272727,0
1997-06-13,0.39,0.39,0.39,0.39,0.07,21.875000000000004,0
1997-06-16,0.36,0.36,0.36,0.36,-0.03,-7.692307692,0
1997-06-17,0.3,0.3,0.3,0.3,-0.06,-16.66666667,0
1997-06-18,0.38,0.38,0.38,0.38,0.08,26.66666666666667,0
1997-06-19,0.38,0.38,0.38,0.38,0.0,0,0
1997-06-20,0.36,0.36,0.36,0.36,-0.02,-5.263157895,0
1997-06-23,0.44,0.44,0.44,0.44,0.08,22.222222222222225,0
1997-06-24,0.33,0.33,0.33,0.33,-0.11,-25,0
1997-06-25,0.36,0.36,0.36,0.36,0.03,9.090909090909081,0
1997-06-26,0.51,0.51,0.51,0.51,0.15,41.66666666666667,0
1997-06-27,0.48,0.48,0.48,0.48,-0.03,-5.882352941,0
1997-06-30,0.45,0.45,0.45,0.45,-0.03,-6.25,0
1997-07-01,0.35,0.35,0.35,0.35,-0.1,-22.22222222,0
1997-07-02,0.38,0.38,0.38,0.38,0.03,8.571428571,0
1997-07-03,0.36,0.36,0.36,0.36,-0.02,-5.263157895,0
1997-07-07,0.36,0.36,0.36,0.36,0.0,0,0
1997-07-08,0.34,0.34,0.34,0.34,-0.02,-5.555555556,0
1997-07-09,0.32,0.32,0.32,0.32,-0.02,-5.882352941,0
1997-07-10,0.31,0.31,0.31,0.31,-0.01,-3.125,0
1997-07-11,0.36,0.36,0.36,0.36,0.05,16.129032258064512,0
1997-07-14,0.37,0.37,0.37,0.37,0.01,2.7777777777777803,0
1997-07-15,0.38,0.38,0.38,0.38,0.01,2.7027027027027053,0
1997-07-16,0.33,0.33,0.33,0.33,-0.05,-13.15789474,0
1997-07-17,0.34,0.34,0.34,0.34,0.01,3.030303030303033,0
1997-07-18,0.38,0.38,0.38,0.38,0.04,11.764705882352935,0
1997-07-21,0.45,0.45,0.45,0.45,0.07,18.42105263157895,0
1997-07-22,0.35,0.35,0.35,0.35,-0.1,-22.22222222,0
1997-07-23,0.36,0.36,0.36,0.36,0.01,2.857142857,0
1997-07-24,0.43,0.43,0.43,0.43,0.07,19.444444444444446,0
1997-07-25,0.34,0.34,0.34,0.34,-0.09,-20.93023256,0
1997-07-28,0.4,0.4,0.4,0.4,0.06,17.64705882352941,0
1997-07-29,0.45,0.45,0.45,0.45,0.05,12.499999999999996,0
1997-07-30,0.32,0.32,0.32,0.32,-0.13,-28.88888889,0
1997-07-31,0.44,0.44,0.44,0.44,0.12,37.5,0
1997-08-01,0.43,0.43,0.43,0.43,-0.01,-2.272727273,0
1997-08-04,0.41,0.41,0.41,0.41,-0.02,-4.651162791,0
1997-08-05,0.32,0.32,0.32,0.32,-0.09,-21.95121951,0
1997-08-06,0.32,0.32,0.32,0.32,0.0,0,0
1997-08-07,0.32,0.32,0.32,0.32,0.0,0,0
1997-08-08,0.48,0.48,0.48,0.48,0.1599999999999999,49.999999999999986,0
1997-08-11,0.38,0.38,0.38,0.38,-0.1,-20.83333333,0
1997-08-12,0.48,0.48,0.48,0.48,0.1,26.315789473684205,0
1997-08-13,0.6,0.6,0.6,0.6,0.12,25,0
1997-08-14,0.42,0.42,0.42,0.42,-0.18,-30,0
1997-08-15,0.61,0.61,0.61,0.61,0.19,45.23809523809524,0
1997-08-18,0.5,0.5,0.5,0.5,-0.11,-18.03278689,0
1997-08-19,0.33,0.33,0.33,0.33,-0.17,-34,0
1997-08-20,0.3,0.3,0.3,0.3,-0.03,-9.090909091,0
1997-08-21,0.6,0.6,0.6,0.6,0.3,100,0
1997-08-22,0.57,0.57,0.57,0.57,-0.03,-5,0
1997-08-25,0.43,0.43,0.43,0.43,-0.14,-24.56140351,0
1997-08-26,0.38,0.38,0.38,0.38,-0.05,-11.62790698,0
1997-08-27,0.39,0.39,0.39,0.39,0.01,2.6315789473684235,0
1997-08-28,0.39,0.39,0.39,0.39,0.0,0,0
1997-08-29,0.41,0.41,0.41,0.41,0.0199999999999999,5.128205128205118,0
1997-09-02,0.39,0.39,0.39,0.39,-0.02,-4.87804878,0
1997-09-03,0.39,0.39,0.39,0.39,0.0,0,0
1997-09-04,0.34,0.34,0.34,0.34,-0.05,-12.82051282,0
1997-09-05,0.31,0.31,0.31,0.31,-0.03,-8.823529412,0
1997-09-08,0.33,0.33,0.33,0.33,0.02,6.451612903225811,0
1997-09-09,0.41,0.41,0.41,0.41,0.08,24.242424242424228,0
1997-09-10,0.36,0.36,0.36,0.36,-0.05,-12.19512195,0
1997-09-11,0.46,0.46,0.46,0.46,0.1,27.77777777777779,0
1997-09-12,0.37,0.37,0.37,0.37,-0.09,-19.56521739,0
1997-09-15,0.4,0.4,0.4,0.4,0.03,8.108108108108116,0
1997-09-16,0.37,0.37,0.37,0.37,-0.03,-7.5,0
1997-09-17,0.35,0.35,0.35,0.35,-0.02,-5.405405405,0
1997-09-18,0.34,0.34,0.34,0.34,-0.01,-2.857142857,0
1997-09-19,0.39,0.39,0.39,0.39,0.05,14.705882352941172,0
1997-09-22,0.34,0.34,0.34,0.34,-0.05,-12.82051282,0
1997-09-23,0.38,0.38,0.38,0.38,0.04,11.764705882352935,0
1997-09-24,0.35,0.35,0.35,0.35,-0.03,-7.894736842,0
1997-09-25,0.36,0.36,0.36,0.36,0.01,2.857142857,0
1997-09-26,0.36,0.36,0.36,0.36,0.0,0,0
1997-09-29,0.37,0.37,0.37,0.37,0.01,2.7777777777777803,0
1997-09-30,0.38,0.38,0.38,0.38,0.01,2.7027027027027053,0
1997-10-01,0.35,0.35,0.35,0.35,-0.03,-7.894736842,0
1997-10-02,0.3,0.3,0.3,0.3,-0.05,-14.28571429,0
1997-10-03,0.28,0.28,0.28,0.28,-0.02,-6.666666667,0
1997-10-06,0.36,0.36,0.36,0.36,0.08,28.57142857142855,0
1997-10-07,0.37,0.37,0.37,0.37,0.01,2.7777777777777803,0
1997-10-08,0.35,0.35,0.35,0.35,-0.02,-5.405405405,0
1997-10-09,0.31,0.31,0.31,0.31,-0.04,-11.42857143,0
1997-10-10,0.32,0.32,0.32,0.32,0.01,3.2258064516129057,0
1997-10-13,0.39,0.39,0.39,0.39,0.07,21.875000000000004,0
1997-10-14,0.41,0.41,0.41,0.41,0.0199999999999999,5.128205128205118,0
1997-10-15,0.42,0.42,0.42,0.42,0.01,2.4390243902439046,0
1997-10-16,0.47,0.47,0.47,0.47,0.05,11.904761904761903,0
1997-10-17,0.65,0.65,0.65,0.65,0.18,38.29787234042554,0
1997-10-20,0.39,0.39,0.39,0.39,-0.26,-40,0
1997-10-21,0.35,0.35,0.35,0.35,-0.04,-10.25641026,0
1997-10-22,0.52,0.52,0.52,0.52,0.17,48.57142857142859,0
1997-10-23,0.55,0.55,0.55,0.55,0.03,5.7692307692307745,0
1997-10-24,0.51,0.51,0.51,0.51,-0.04,-7.272727273,0
1997-10-27,0.67,0.67,0.67,0.67,0.16,31.37254901960785,0
1997-10-28,0.55,0.55,0.55,0.55,-0.12,-17.91044776,0
1997-10-29,0.45,0.45,0.45,0.45,-0.1,-18.18181818,0
1997-10-30,0.58,0.58,0.58,0.58,0.1299999999999999,28.888888888888875,0
1997-10-31,0.54,0.54,0.54,0.54,-0.04,-6.896551724,0
1997-11-03,0.4,0.4,0.4,0.4,-0.14,-25.92592593,0
1997-11-04,0.4,0.4,0.4,0.4,0.0,0,0
1997-11-05,0.4,0.4,0.4,0.4,0.0,0,0
1997-11-06,0.42,0.42,0.42,0.42,0.0199999999999999,5,0
1997-11-07,0.52,0.52,0.52,0.52,0.1,23.80952380952382,0
1997-11-10,0.38,0.38,0.38,0.38,-0.14,-26.92307692,0
1997-11-11,0.49,0.49,0.49,0.49,0.1099999999999999,28.947368421052627,0
1997-11-12,0.56,0.56,0.56,0.56,0.07,14.285714285714299,0
1997-11-13,0.72,0.72,0.72,0.72,0.1599999999999999,28.57142857142855,0
1997-11-14,0.52,0.52,0.52,0.52,-0.2,-27.77777778,0
1997-11-17,0.42,0.42,0.42,0.42,-0.1,-19.23076923,0
1997-11-18,0.48,0.48,0.48,0.48,0.06,14.285714285714285,0
1997-11-19,0.64,0.64,0.64,0.64,0.16,33.33333333333334,0
1997-11-20,0.44,0.44,0.44,0.44,-0.2,-31.25,0
1997-11-21,0.51,0.51,0.51,0.51,0.07,15.909090909090912,0
1997-11-24,0.48,0.48,0.48,0.48,-0.03,-5.882352941,0
1997-11-25,0.47,0.47,0.47,0.47,-0.01,-2.083333333,0
1997-11-26,0.67,0.67,0.67,0.67,0.2,42.55319148936172,0
1997-11-28,0.49,0.49,0.49,0.49,-0.18,-26.86567164,0
1997-12-01,0.39,0.39,0.39,0.39,-0.1,-20.40816327,0
1997-12-02,0.5,0.5,0.5,0.5,0.1099999999999999,28.20512821,0
1997-12-03,0.5,0.5,0.5,0.5,0.0,0,0
1997-12-04,0.38,0.38,0.38,0.38,-0.12,-24,0
1997-12-05,0.39,0.39,0.39,0.39,0.01,2.6315789473684235,0
1997-12-08,0.35,0.35,0.35,0.35,-0.04,-10.25641026,0
1997-12-09,0.53,0.53,0.53,0.53,0.18,51.428571428571445,0
1997-12-10,0.57,0.57,0.57,0.57,0.0399999999999999,7.547169811320741,0
1997-12-11,0.6,0.6,0.6,0.6,0.03,5.263157894736848,0
1997-12-12,0.62,0.62,0.62,0.62,0.02,3.3333333333333366,0
1997-12-15,0.32,0.32,0.32,0.32,-0.3,-48.38709677,0
1997-12-16,0.51,0.51,0.51,0.51,0.19,59.375,0
1997-12-17,0.61,0.61,0.61,0.61,0.1,19.607843137254896,0
1997-12-18,0.58,0.58,0.58,0.58,-0.03,-4.918032787,0
1997-12-19,0.85,0.85,0.85,0.85,0.27,46.55172413793104,0
1997-12-22,0.43,0.43,0.43,0.43,-0.42,-49.41176471,0
1997-12-23,0.48,0.48,0.48,0.48,0.05,11.627906976744184,0
