Time,Open,High,Low,Last,Change,%Chg,Volume
1980-01-01,0.462,0.462,0.462,0.462,0.014,3.13%,0.0
1980-02-01,0.502,0.502,0.502,0.502,0.04,8.66%,0.0
1980-03-01,0.436,0.436,0.436,0.436,-0.066,-13.15%,0.0
1980-04-01,0.374,0.374,0.374,0.374,-0.062,-14.22%,0.0
1980-05-01,0.294,0.294,0.294,0.294,-0.08,-21.39%,0.0
1980-06-01,0.303,0.303,0.303,0.303,0.009,3.06%,0.0
1980-07-01,0.35,0.35,0.35,0.35,0.047,15.51%,0.0
1980-08-01,0.455,0.455,0.455,0.455,0.105,30.00%,0.0
1980-09-01,0.501,0.501,0.501,0.501,0.046,10.11%,0.0
1980-10-01,0.555,0.555,0.555,0.555,0.054,10.78%,0.0
1980-11-01,0.582,0.582,0.582,0.582,0.027,4.86%,0.0
1980-12-01,0.53,0.53,0.53,0.53,-0.052,-8.93%,0.0
1981-01-01,0.492,0.492,0.492,0.492,-0.038,-7.17%,0.0
1981-02-01,0.488,0.488,0.488,0.488,-0.004,-0.81%,0.0
1981-03-01,0.496,0.496,0.496,0.496,0.008,1.64%,0.0
1981-04-01,0.516,0.516,0.516,0.516,0.02,4.03%,0.0
1981-05-01,0.535,0.535,0.535,0.535,0.019,3.68%,0.0
1981-06-01,0.507,0.507,0.507,0.507,-0.028,-5.23%,0.0
1981-07-01,0.467,0.467,0.467,0.467,-0.04,-7.89%,0.0
1981-08-01,0.483,0.483,0.483,0.483,0.016,3.43%,0.0
1981-09-01,0.425,0.425,0.425,0.425,-0.058,-12.01%,0.0
1981-10-01,0.4,0.4,0.4,0.4,-0.025,-5.88%,0.0
1981-11-01,0.361,0.361,0.361,0.361,-0.039,-9.75%,0.0
1981-12-01,0.378,0.378,0.378,0.378,0.017,4.71%,0.0
1982-01-01,0.382,0.382,0.382,0.382,0.004,1.06%,0.0
1982-02-01,0.383,0.383,0.383,0.383,0.001,0.26%,0.0
1982-03-01,0.368,0.368,0.368,0.368,-0.015,-3.92%,0.0
1982-04-01,0.378,0.378,0.378,0.378,0.01,2.72%,0.0
1982-05-01,0.355,0.355,0.355,0.355,-0.023,-6.08%,0.0
1982-06-01,0.383,0.383,0.383,0.383,0.028,7.89%,0.0
1982-07-01,0.384,0.384,0.384,0.384,0.001,0.26%,0.0
1982-08-01,0.383,0.383,0.383,0.383,-0.001,-0.26%,0.0
1982-09-01,0.388,0.388,0.388,0.388,0.005,1.31%,0.0
1982-10-01,0.394,0.394,0.394,0.394,0.006,1.55%,0.0
1982-11-01,0.392,0.392,0.392,0.392,-0.002,-0.51%,0.0
1982-12-01,0.428,0.428,0.428,0.428,0.036,9.18%,0.0
1983-01-01,0.46,0.46,0.46,0.46,0.032,7.48%,0.0
1983-02-01,0.544,0.544,0.544,0.544,0.084,18.26%,0.0
1983-03-01,0.539,0.539,0.539,0.539,-0.005,-0.92%,0.0
1983-04-01,0.542,0.542,0.542,0.542,0.003,0.56%,0.0
1983-05-01,0.561,0.561,0.561,0.561,0.019,3.51%,0.0
1983-06-01,0.575,0.575,0.575,0.575,0.014,2.50%,0.0
1983-07-01,0.636,0.636,0.636,0.636,0.061,10.61%,0.0
1983-08-01,0.631,0.631,0.631,0.631,-0.005,-0.79%,0.0
1983-09-01,0.625,0.625,0.625,0.625,-0.006,-0.95%,0.0
1983-10-01,0.644,0.644,0.644,0.644,0.019,3.04%,0.0
1983-11-01,0.66,0.66,0.66,0.66,0.016,2.48%,0.0
1983-12-01,0.699,0.699,0.699,0.699,0.039,5.91%,0.0
1984-01-01,0.605,0.605,0.605,0.605,-0.094,-13.45%,0.0
1984-02-01,0.613,0.613,0.613,0.613,0.008,1.32%,0.0
1984-03-01,0.589,0.589,0.589,0.589,-0.024,-3.92%,0.0
1984-04-01,0.61,0.61,0.61,0.61,0.021,3.57%,0.0
1984-05-01,0.586,0.586,0.586,0.586,-0.024,-3.93%,0.0
1984-06-01,0.581,0.581,0.581,0.581,-0.005,-0.85%,0.0
1984-07-01,0.561,0.561,0.561,0.561,-0.02,-3.44%,0.0
