Time,Open,High,Low,Last,Change,%Chg,Volume
2007-10-01,21.0,21.0,21.0,21.0,-24.0,-53.33%,50822200.0
2007-10-02,33.0,33.0,33.0,33.0,12.0,+57.14%,21446700.0
2007-10-03,41.0,41.0,41.0,41.0,8.0,+24.24%,16598300.0
2007-10-04,43.0,43.0,43.0,43.0,2.0,+4.88%,28100100.0
2007-10-05,27.0,27.0,27.0,27.0,-16.0,-37.21%,30716100.0
2007-10-08,41.0,41.0,41.0,41.0,14.0,+51.85%,22941000.0
2007-10-09,42.0,42.0,42.0,42.0,1.0,+2.44%,48383500.0
2007-10-10,49.0,49.0,49.0,49.0,7.0,+16.67%,67031100.0
2007-10-11,39.0,39.0,39.0,39.0,-10.0,-20.41%,53181900.0
2007-10-12,51.0,51.0,51.0,51.0,12.0,+30.77%,40629700.0
2007-10-15,38.0,38.0,38.0,38.0,-13.0,-25.49%,58984400.0
2007-10-16,42.0,42.0,42.0,42.0,4.0,+10.53%,69299504.0
2007-10-17,35.0,35.0,35.0,35.0,-7.0,-16.67%,9699200.0
2007-10-18,51.0,51.0,51.0,51.0,16.0,+45.71%,48604200.0
2007-10-19,23.0,23.0,23.0,23.0,-28.0,-54.90%,75713000.0
2007-10-22,37.0,37.0,37.0,37.0,14.0,+60.87%,46923800.0
2007-10-23,47.0,47.0,47.0,47.0,10.0,+27.03%,67017700.0
2007-10-24,35.0,35.0,35.0,35.0,-12.0,-25.53%,19863100.0
2007-10-25,41.0,41.0,41.0,41.0,6.0,+17.14%,29944200.0
2007-10-26,39.0,39.0,39.0,39.0,-2.0,-4.88%,36564200.0
2007-10-29,44.0,44.0,44.0,44.0,5.0,+12.82%,144360800.0
2007-10-30,50.0,50.0,50.0,50.0,6.0,+13.64%,20515900.0
2007-10-31,36.0,36.0,36.0,36.0,-14.0,-28.00%,26507400.0
2007-11-01,23.0,23.0,23.0,23.0,-13.0,-36.11%,62619200.0
2007-11-02,30.0,30.0,30.0,30.0,7.0,+30.43%,54260400.0
2007-11-05,27.0,27.0,27.0,27.0,-3.0,-10.00%,123434600.0
2007-11-06,32.0,32.0,32.0,32.0,5.0,+18.52%,128202200.0
2007-11-07,23.0,23.0,23.0,23.0,-9.0,-28.13%,1393700.0
2007-11-08,31.0,31.0,31.0,31.0,8.0,+34.78%,67417000.0
2007-11-09,41.0,41.0,41.0,41.0,10.0,+32.26%,133474496.0
2007-11-12,36.0,36.0,36.0,36.0,-5.0,-12.20%,97814704.0
2007-11-13,23.0,23.0,23.0,23.0,-13.0,-36.11%,46452800.0
2007-11-14,28.0,28.0,28.0,28.0,5.0,+21.74%,39118900.0
2007-11-15,37.0,37.0,37.0,37.0,9.0,+32.14%,52011600.0
2007-11-16,33.0,33.0,33.0,33.0,-4.0,-10.81%,26212500.0
2007-11-19,32.0,32.0,32.0,32.0,-1.0,-3.03%,6687500.0
2007-11-20,39.0,39.0,39.0,39.0,7.0,+21.88%,69103200.0
2007-11-21,32.0,32.0,32.0,32.0,-7.0,-17.95%,16699300.0
2007-11-23,32.0,32.0,32.0,32.0,0.0,0.00%,12805000.0
2007-11-26,30.0,30.0,30.0,30.0,-2.0,-6.25%,56421800.0
2007-11-27,34.0,34.0,34.0,34.0,4.0,+13.33%,112284000.0
2007-11-28,25.0,25.0,25.0,25.0,-9.0,-26.47%,5235500.0
2007-11-29,37.0,37.0,37.0,37.0,12.0,+48.00%,272090304.0
2007-11-30,37.0,37.0,37.0,37.0,0.0,0.00%,19246400.0
2007-12-03,30.0,30.0,30.0,30.0,-7.0,-18.92%,9606600.0
2007-12-04,42.0,42.0,42.0,42.0,12.0,+40.00%,50542500.0
2007-12-05,35.0,35.0,35.0,35.0,-7.0,-16.67%,19672500.0
2007-12-06,26.0,26.0,26.0,26.0,-9.0,-25.71%,14406700.0
2007-12-07,37.0,37.0,37.0,37.0,11.0,+42.31%,69281000.0
2007-12-10,38.0,38.0,38.0,38.0,1.0,+2.70%,13149700.0
2007-12-11,20.0,20.0,20.0,20.0,-18.0,-47.37%,1502600.0
2007-12-12,33.0,33.0,33.0,33.0,13.0,+65.00%,8914900.0
2007-12-13,35.0,35.0,35.0,35.0,2.0,+6.06%,11327800.0
2007-12-14,39.0,39.0,39.0,39.0,4.0,+11.43%,36284400.0
2007-12-17,33.0,33.0,33.0,33.0,-6.0,-15.38%,41626600.0
2007-12-18,38.0,38.0,38.0,38.0,5.0,+15.15%,24459000.0
2007-12-19,38.0,38.0,38.0,38.0,0.0,0.00%,24409300.0
2007-12-20,36.0,36.0,36.0,36.0,-2.0,-5.26%,62812700.0
2007-12-21,31.0,31.0,31.0,31.0,-5.0,-13.89%,82087696.0
2007-12-24,37.0,37.0,37.0,37.0,6.0,+19.35%,5592400.0
2007-12-26,46.0,46.0,46.0,46.0,9.0,+24.32%,40705700.0
2007-12-27,24.0,24.0,24.0,24.0,-22.0,-47.83%,5156500.0
2007-12-28,35.0,35.0,35.0,35.0,11.0,+45.83%,30150800.0
2007-12-31,43.0,43.0,43.0,43.0,8.0,+22.86%,25165100.0
2008-01-02,33.0,33.0,33.0,33.0,-10.0,-23.26%,13928500.0
2008-01-03,43.0,43.0,43.0,43.0,10.0,+30.30%,44761000.0
2008-01-04,23.0,23.0,23.0,23.0,-20.0,-46.51%,6875900.0
2008-01-07,26.0,26.0,26.0,26.0,3.0,+13.04%,20258200.0
2008-01-08,27.0,27.0,27.0,27.0,1.0,+3.85%,8659100.0
2008-01-09,28.0,28.0,28.0,28.0,1.0,+3.70%,25653200.0
2008-01-10,31.0,31.0,31.0,31.0,3.0,+10.71%,15743700.0
2008-01-11,26.0,26.0,26.0,26.0,-5.0,-16.13%,25633100.0
2008-01-14,35.0,35.0,35.0,35.0,9.0,+34.62%,11552500.0
2008-01-15,23.0,23.0,23.0,23.0,-12.0,-34.29%,4760100.0
2008-01-16,22.0,22.0,22.0,22.0,-1.0,-4.35%,11741500.0
2008-01-17,21.0,21.0,21.0,21.0,-1.0,-4.55%,14779500.0
2008-01-18,29.0,29.0,29.0,29.0,8.0,+38.10%,29270200.0
2008-01-23,19.0,19.0,19.0,19.0,-10.0,-34.48%,20187700.0
2008-01-24,23.0,23.0,23.0,23.0,4.0,+21.05%,71494704.0
2008-01-25,33.0,33.0,33.0,33.0,10.0,+43.48%,20063800.0
2008-01-28,25.0,25.0,25.0,25.0,-8.0,-24.24%,69074096.0
2008-01-29,40.0,40.0,40.0,40.0,15.0,+60.00%,11391200.0
2008-01-30,42.0,42.0,42.0,42.0,2.0,+5.00%,60343700.0
2008-01-31,35.0,35.0,35.0,35.0,-7.0,-16.67%,16393000.0
2008-02-01,23.0,23.0,23.0,23.0,-12.0,-34.29%,9180200.0
2008-02-04,32.0,32.0,32.0,32.0,9.0,+39.13%,20350000.0
2008-02-05,25.0,25.0,25.0,25.0,-7.0,-21.88%,4665100.0
2008-02-06,40.0,40.0,40.0,40.0,15.0,+60.00%,42465400.0
2008-02-07,30.0,30.0,30.0,30.0,-10.0,-25.00%,12188000.0
2008-02-08,42.0,42.0,42.0,42.0,12.0,+40.00%,64636400.0
2008-02-11,42.0,42.0,42.0,42.0,0.0,0.00%,44207200.0
2008-02-12,35.0,35.0,35.0,35.0,-7.0,-16.67%,19797600.0
2008-02-13,22.0,22.0,22.0,22.0,-13.0,-37.14%,12641400.0
2008-02-14,20.0,20.0,20.0,20.0,-2.0,-9.09%,7473900.0
2008-02-15,49.0,49.0,49.0,49.0,29.0,+145.00%,69790304.0
2008-02-19,37.0,37.0,37.0,37.0,-12.0,-24.49%,21686400.0
2008-02-20,35.0,35.0,35.0,35.0,-2.0,-5.41%,11494500.0
2008-02-21,32.0,32.0,32.0,32.0,-3.0,-8.57%,10024900.0
2008-02-22,43.0,43.0,43.0,43.0,11.0,+34.38%,44098700.0
2008-02-25,27.0,27.0,27.0,27.0,-16.0,-37.21%,19705700.0
2008-02-26,40.0,40.0,40.0,40.0,13.0,+48.15%,34575700.0
2008-02-27,35.0,35.0,35.0,35.0,-5.0,-12.50%,15774500.0
2008-02-28,24.0,24.0,24.0,24.0,-11.0,-31.43%,35047500.0
2008-02-29,20.0,20.0,20.0,20.0,-4.0,-16.67%,6561100.0
2008-03-03,23.0,23.0,23.0,23.0,3.0,+15.00%,12461500.0
2008-03-04,39.0,39.0,39.0,39.0,16.0,+69.57%,42949700.0
2008-03-05,27.0,27.0,27.0,27.0,-12.0,-30.77%,11166500.0
2008-03-06,21.0,21.0,21.0,21.0,-6.0,-22.22%,7478100.0
2008-03-07,35.0,35.0,35.0,35.0,14.0,+66.67%,82715000.0
