Time,Open,High,Low,Last,Change,%Chg,Volume
1950-01-03,16.66,16.66,16.66,16.66,0,0,0
1950-01-04,16.85,16.85,16.85,16.85,0,0,0
1950-01-05,16.93,16.93,16.93,16.93,0,0,0
1950-01-06,16.98,16.98,16.98,16.98,0,0,0
1950-01-09,17.08,17.08,17.08,17.08,0,0,0
1950-01-10,17.030001,17.030001,17.030001,17.030001,0,0,0
1950-01-11,17.09,17.09,17.09,17.09,0,0,0
1950-01-12,16.76,16.76,16.76,16.76,0,0,0
1950-01-13,16.67,16.67,16.67,16.67,0,0,0
1950-01-16,16.719999,16.719999,16.719999,16.719999,0,0,0
1950-01-17,16.860001,16.860001,16.860001,16.860001,0,0,0
1950-01-18,16.85,16.85,16.85,16.85,0,0,0
1950-01-19,16.870001,16.870001,16.870001,16.870001,0,0,0
1950-01-20,16.9,16.9,16.9,16.9,0,0,0
1950-01-23,16.92,16.92,16.92,16.92,0,0,0
1950-01-24,16.860001,16.860001,16.860001,16.860001,0,0,0
1950-01-25,16.74,16.74,16.74,16.74,0,0,0
1950-01-26,16.73,16.73,16.73,16.73,0,0,0
1950-01-27,16.82,16.82,16.82,16.82,0,0,0
1950-01-30,17.02,17.02,17.02,17.02,0,0,0
1950-01-31,17.049999,17.049999,17.049999,17.049999,0,0,0
1950-02-01,17.049999,17.049999,17.049999,17.049999,0,0,0
1950-02-02,17.23,17.23,17.23,17.23,0,0,0
1950-02-03,17.290001,17.290001,17.290001,17.290001,0,0,0
1950-02-06,17.32,17.32,17.32,17.32,0,0,0
1950-02-07,17.23,17.23,17.23,17.23,0,0,0
1950-02-08,17.209999,17.209999,17.209999,17.209999,0,0,0
1950-02-09,17.280001,17.280001,17.280001,17.280001,0,0,0
1950-02-10,17.24,17.24,17.24,17.24,0,0,0
1950-02-14,17.059999,17.059999,17.059999,17.059999,0,0,0
1950-02-15,17.059999,17.059999,17.059999,17.059999,0,0,0
1950-02-16,16.99,16.99,16.99,16.99,0,0,0
1950-02-17,17.15,17.15,17.15,17.15,0,0,0
1950-02-20,17.200001,17.200001,17.200001,17.200001,0,0,0
1950-02-21,17.17,17.17,17.17,17.17,0,0,0
1950-02-23,17.209999,17.209999,17.209999,17.209999,0,0,0
1950-02-24,17.280001,17.280001,17.280001,17.280001,0,0,0
1950-02-27,17.280001,17.280001,17.280001,17.280001,0,0,0
1950-02-28,17.219999,17.219999,17.219999,17.219999,0,0,0
1950-03-01,17.24,17.24,17.24,17.24,0,0,0
1950-03-02,17.23,17.23,17.23,17.23,0,0,0
1950-03-03,17.290001,17.290001,17.290001,17.290001,0,0,0
1950-03-06,17.32,17.32,17.32,17.32,0,0,0
1950-03-07,17.200001,17.200001,17.200001,17.200001,0,0,0
1950-03-08,17.190001,17.190001,17.190001,17.190001,0,0,0
1950-03-09,17.07,17.07,17.07,17.07,0,0,0
1950-03-10,17.09,17.09,17.09,17.09,0,0,0
1950-03-13,17.120001,17.120001,17.120001,17.120001,0,0,0
1950-03-14,17.25,17.25,17.25,17.25,0,0,0
1950-03-15,17.450001,17.450001,17.450001,17.450001,0,0,0
1950-03-16,17.49,17.49,17.49,17.49,0,0,0
1950-03-17,17.450001,17.450001,17.450001,17.450001,0,0,0
1950-03-20,17.440001,17.440001,17.440001,17.440001,0,0,0
1950-03-21,17.450001,17.450001,17.450001,17.450001,0,0,0
1950-03-22,17.549999,17.549999,17.549999,17.549999,0,0,0
1950-03-23,17.559999,17.559999,17.559999,17.559999,0,0,0
1950-03-24,17.559999,17.559999,17.559999,17.559999,0,0,0
1950-03-27,17.459999,17.459999,17.459999,17.459999,0,0,0
1950-03-28,17.530001,17.530001,17.530001,17.530001,0,0,0
1950-03-29,17.440001,17.440001,17.440001,17.440001,0,0,0
1950-03-30,17.299999,17.299999,17.299999,17.299999,0,0,0
1950-03-31,17.290001,17.290001,17.290001,17.290001,0,0,0
1950-04-03,17.530001,17.530001,17.530001,17.530001,0,0,0
1950-04-04,17.549999,17.549999,17.549999,17.549999,0,0,0
1950-04-05,17.629999,17.629999,17.629999,17.629999,0,0,0
1950-04-06,17.780001,17.780001,17.780001,17.780001,0,0,0
1950-04-10,17.85,17.85,17.85,17.85,0,0,0
1950-04-11,17.75,17.75,17.75,17.75,0,0,0
1950-04-12,17.940001,17.940001,17.940001,17.940001,0,0,0
1950-04-13,17.98,17.98,17.98,17.98,0,0,0
1950-04-14,17.959999,17.959999,17.959999,17.959999,0,0,0
1950-04-17,17.879999,17.879999,17.879999,17.879999,0,0,0
1950-04-18,18.030001,18.030001,18.030001,18.030001,0,0,0
1950-04-19,18.049999,18.049999,18.049999,18.049999,0,0,0
1950-04-20,17.93,17.93,17.93,17.93,0,0,0
1950-04-21,17.959999,17.959999,17.959999,17.959999,0,0,0
1950-04-24,17.83,17.83,17.83,17.83,0,0,0
1950-04-25,17.83,17.83,17.83,17.83,0,0,0
1950-04-26,17.76,17.76,17.76,17.76,0,0,0
1950-04-27,17.860001,17.860001,17.860001,17.860001,0,0,0
1950-04-28,17.959999,17.959999,17.959999,17.959999,0,0,0
1950-05-01,18.219999,18.219999,18.219999,18.219999,0,0,0
1950-05-02,18.110001,18.110001,18.110001,18.110001,0,0,0
1950-05-03,18.27,18.27,18.27,18.27,0,0,0
1950-05-04,18.120001,18.120001,18.120001,18.120001,0,0,0
1950-05-05,18.219999,18.219999,18.219999,18.219999,0,0,0
1950-05-08,18.27,18.27,18.27,18.27,0,0,0
1950-05-09,18.27,18.27,18.27,18.27,0,0,0
1950-05-10,18.290001,18.290001,18.290001,18.290001,0,0,0
1950-05-11,18.290001,18.290001,18.290001,18.290001,0,0,0
1950-05-12,18.18,18.18,18.18,18.18,0,0,0
1950-05-15,18.26,18.26,18.26,18.26,0,0,0
1950-05-16,18.440001,18.440001,18.440001,18.440001,0,0,0
1950-05-17,18.52,18.52,18.52,18.52,0,0,0
1950-05-18,18.559999,18.559999,18.559999,18.559999,0,0,0
1950-05-19,18.68,18.68,18.68,18.68,0,0,0
1950-05-22,18.6,18.6,18.6,18.6,0,0,0
1950-05-23,18.709999,18.709999,18.709999,18.709999,0,0,0
1950-05-24,18.690001,18.690001,18.690001,18.690001,0,0,0
1950-05-25,18.690001,18.690001,18.690001,18.690001,0,0,0
1950-05-26,18.67,18.67,18.67,18.67,0,0,0
1950-05-29,18.719999,18.719999,18.719999,18.719999,0,0,0
1950-05-31,18.780001,18.780001,18.780001,18.780001,0,0,0
1950-06-01,18.77,18.77,18.77,18.77,0,0,0
1950-06-02,18.790001,18.790001,18.790001,18.790001,0,0,0
1950-06-05,18.6,18.6,18.6,18.6,0,0,0
1950-06-06,18.879999,18.879999,18.879999,18.879999,0,0,0
1950-06-07,18.93,18.93,18.93,18.93,0,0,0
